time,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18061088000000.0,18116700000000.0,18082534000000.0,18058270000000.0
2022.0,17996274000000.0,18057315000000.0,17935119000000.0,17843807000000.0
2023.0,17868727000000.0,17894344000000.0,17826421000000.0,17686596000000.0
2024.0,17751951000000.0,17762097000000.0,17723705000000.0,17545057000000.0
2025.0,17690430000000.0,17619010000000.0,17541325000000.0,17384767000000.0
2026.0,17649654000000.0,17512626000000.0,17454567000000.0,17208319000000.0
2027.0,17540584000000.0,17414580000000.0,17371266000000.0,16988740000000.0
2028.0,17480792000000.0,17348134000000.0,17222254000000.0,16759143000000.0
2029.0,17335078000000.0,17209481000000.0,17058742000000.0,16632455000000.0
2030.0,17204563000000.0,17162019000000.0,16859802000000.0,16542491000000.0
2031.0,17067156000000.0,16918512000000.0,16602140000000.0,16422180000000.0
2032.0,16878594000000.0,16765680000000.0,16489121000000.0,16314792000000.0
2033.0,16785650000000.0,16623602000000.0,16406500000000.0,16191315000000.0
2034.0,16616569000000.0,16550674000000.0,16300528000000.0,16001072000000.0
2035.0,16495794000000.0,16502376000000.0,16221283000000.0,15792826000000.0
2036.0,16359336000000.0,16400088000000.0,16136644000000.0,15659357000000.0
2037.0,16174757000000.0,16285417000000.0,15992404000000.0,15474342000000.0
2038.0,16104262000000.0,16051869000000.0,15809104000000.0,15232199000000.0
2039.0,15993334000000.0,15853759000000.0,15687336000000.0,15091654000000.0
2040.0,15806856000000.0,15630099000000.0,15498911000000.0,15019231000000.0
2041.0,15682148000000.0,15422714000000.0,15317347000000.0,14816594000000.0
2042.0,15464537000000.0,15214697000000.0,15149822000000.0,14548675000000.0
2043.0,15304881000000.0,15046703000000.0,14937226000000.0,14373745000000.0
2044.0,15152165000000.0,14924827000000.0,14771160000000.0,14175168000000.0
2045.0,15035584000000.0,14756207000000.0,14559975000000.0,13961220000000.0
2046.0,14850063000000.0,14672645000000.0,14367404000000.0,13734653000000.0
2047.0,14683842000000.0,14538131000000.0,14195022000000.0,13525464000000.0
2048.0,14503810000000.0,14387844000000.0,14098581000000.0,13277772000000.0
2049.0,14416617000000.0,14282208000000.0,13883981000000.0,13039472000000.0
2050.0,14283869000000.0,14035917000000.0,13635357000000.0,12859750000000.0
2051.0,14140961000000.0,13861567000000.0,13456880000000.0,12657768000000.0
2052.0,13931129000000.0,13796939000000.0,13255776000000.0,12373983000000.0
2053.0,13730385000000.0,13670122000000.0,13165276000000.0,12105790000000.0
2054.0,13629817000000.0,13540073000000.0,13013533000000.0,11907394000000.0
2055.0,13446496000000.0,13389873000000.0,12829248000000.0,11676682000000.0
2056.0,13310858000000.0,13248750000000.0,12642044000000.0,11372222000000.0
2057.0,13115021000000.0,13082311000000.0,12524776000000.0,11062885000000.0
2058.0,12885182000000.0,12925283000000.0,12275001000000.0,10797838000000.0
2059.0,12661363000000.0,12812610000000.0,12087940000000.0,10614197000000.0
2060.0,12410925000000.0,12684330000000.0,11946157000000.0,10433263000000.0
2061.0,12239144000000.0,12548409000000.0,11779670000000.0,10251167000000.0
2062.0,12056199000000.0,12413516000000.0,11574417000000.0,10032645000000.0
2063.0,11815833000000.0,12300039000000.0,11379399000000.0,9821471000000.0
2064.0,11640936000000.0,12130244000000.0,11266522000000.0,9622174000000.0
2065.0,11471717000000.0,12035550000000.0,11066000000000.0,9452308000000.0
2066.0,11277640000000.0,11953086000000.0,10973483000000.0,9313287000000.0
2067.0,11140618000000.0,11810843000000.0,10893240000000.0,9193945000000.0
2068.0,11010298000000.0,11763671000000.0,10767980000000.0,9071476000000.0
2069.0,10860713000000.0,11664210000000.0,10583550000000.0,8869066000000.0
2070.0,10685309000000.0,11652846000000.0,10504807000000.0,8726886500000.0
2071.0,10566236000000.0,11562622000000.0,10426768000000.0,8559029400000.0
2072.0,10424351000000.0,11385949000000.0,10235977000000.0,8396685700000.0
2073.0,10313960000000.0,11284589000000.0,10126180000000.0,8196972000000.0
2074.0,10181543000000.0,11200570000000.0,9994358000000.0,8043396000000.0
2075.0,10059974000000.0,11119520000000.0,9817115000000.0,7930854000000.0
2076.0,9891185000000.0,11020374000000.0,9690483000000.0,7827343500000.0
2077.0,9742378000000.0,10908426000000.0,9639093000000.0,7672940000000.0
2078.0,9641969000000.0,10841935000000.0,9559784000000.0,7515988000000.0
2079.0,9548222000000.0,10736017000000.0,9412264000000.0,7369829000000.0
2080.0,9484401000000.0,10592664000000.0,9347208000000.0,7236132000000.0
2081.0,9354302000000.0,10527649000000.0,9308851000000.0,7145950000000.0
2082.0,9279319000000.0,10391153000000.0,9171603000000.0,7029792000000.0
2083.0,9172984000000.0,10335754000000.0,9038046000000.0,6909988000000.0
2084.0,9059714000000.0,10285629000000.0,8965095000000.0,6836499500000.0
2085.0,9011541000000.0,10215388000000.0,8925478000000.0,6696123000000.0
2086.0,8966126000000.0,10162058000000.0,8864738000000.0,6618365300000.0
2087.0,8885903000000.0,10082418000000.0,8757549500000.0,6507769400000.0
2088.0,8713834300000.0,10010281000000.0,8675456500000.0,6375930300000.0
2089.0,8634873400000.0,9952258000000.0,8609598500000.0,6344097000000.0
2090.0,8545743000000.0,9943721000000.0,8556896600000.0,6305839300000.0
2091.0,8497435500000.0,9956602000000.0,8478775000000.0,6223352600000.0
2092.0,8459356500000.0,9896792000000.0,8394998000000.0,6161829000000.0
2093.0,8402390000000.0,9856657000000.0,8343686000000.0,6140868000000.0
2094.0,8328211000000.0,9802714000000.0,8322988000000.0,6095402000000.0
2095.0,8248769000000.0,9786321000000.0,8233399400000.0,6053182000000.0
2096.0,8204513000000.0,9766794000000.0,8178693000000.0,6024026700000.0
2097.0,8190411000000.0,9735018000000.0,8167931500000.0,5990879000000.0
2098.0,8169886000000.0,9707795000000.0,8105706400000.0,5994607000000.0
2099.0,8113001000000.0,9684019000000.0,8055052000000.0,5958863400000.0
2100.0,8031058300000.0,9672209000000.0,8021835000000.0,5903496500000.0
