time,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0
2000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0
2001.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0
2002.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0
2003.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0
2004.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0
2005.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0
2006.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0
2007.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0
2008.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0
2009.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0
2010.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0
2011.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0
2012.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0
2013.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0
2014.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0
2015.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0
2016.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0
2017.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0
2018.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0
2019.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0
2020.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0
2021.0,852920960000.0,838152550000.0,837970500000.0,838941700000.0
2022.0,834700500000.0,827002400000.0,829721000000.0,833245600000.0
2023.0,807348100000.0,821071700000.0,817683000000.0,826611470000.0
2024.0,794129800000.0,801439200000.0,801348000000.0,815718200000.0
2025.0,784267800000.0,786138660000.0,783572100000.0,819347060000.0
2026.0,768747700000.0,768036100000.0,771103900000.0,810447800000.0
2027.0,762405260000.0,744378500000.0,739570800000.0,796919000000.0
2028.0,760026500000.0,735583140000.0,716885500000.0,780910600000.0
2029.0,753678900000.0,714945500000.0,700236000000.0,767758800000.0
2030.0,747804300000.0,697645330000.0,688954740000.0,761174300000.0
2031.0,739255700000.0,686853850000.0,681537630000.0,742221800000.0
2032.0,709580300000.0,660908150000.0,677539400000.0,731459550000.0
2033.0,685985700000.0,640023660000.0,667792640000.0,725849740000.0
2034.0,672703400000.0,627237600000.0,640052200000.0,714617200000.0
2035.0,666105400000.0,606245600000.0,629843500000.0,695607700000.0
2036.0,652969200000.0,584336800000.0,628572750000.0,685648200000.0
2037.0,632594960000.0,571296100000.0,604840400000.0,684334000000.0
2038.0,620097240000.0,563423940000.0,599090900000.0,670147400000.0
2039.0,616395400000.0,553212200000.0,589080040000.0,656046100000.0
2040.0,610249150000.0,539583200000.0,589480600000.0,654469500000.0
2041.0,600106800000.0,535361650000.0,580971800000.0,643966400000.0
2042.0,589745200000.0,528026080000.0,568133300000.0,631830740000.0
2043.0,573995300000.0,513019280000.0,552687700000.0,629105600000.0
2044.0,568166600000.0,501202600000.0,550616960000.0,622951300000.0
2045.0,560790200000.0,481911700000.0,531279350000.0,619858800000.0
2046.0,547856840000.0,471592000000.0,514384300000.0,607657600000.0
2047.0,528570500000.0,452827580000.0,504953600000.0,605421440000.0
2048.0,516540730000.0,446060200000.0,502566750000.0,594966400000.0
2049.0,514209200000.0,436899280000.0,495032470000.0,579191640000.0
2050.0,515044440000.0,424840300000.0,487482060000.0,572574900000.0
2051.0,503507000000.0,414984540000.0,476750700000.0,563635200000.0
2052.0,487621720000.0,405247920000.0,463740100000.0,550989500000.0
2053.0,473603640000.0,391409960000.0,458274340000.0,543922880000.0
2054.0,463681950000.0,382470650000.0,442620540000.0,537403900000.0
2055.0,453024400000.0,377127100000.0,435653770000.0,538953700000.0
2056.0,450318570000.0,371568350000.0,432896080000.0,542087770000.0
2057.0,444193900000.0,364745000000.0,423449700000.0,542321080000.0
2058.0,440367050000.0,355929500000.0,418314900000.0,535636800000.0
2059.0,434173200000.0,353249170000.0,412548370000.0,518109860000.0
2060.0,422184000000.0,344172920000.0,415627900000.0,521970480000.0
2061.0,417968300000.0,344638260000.0,417495880000.0,519656300000.0
2062.0,410169000000.0,334376240000.0,414106700000.0,509455700000.0
2063.0,398285300000.0,328750200000.0,409836880000.0,509761650000.0
2064.0,393015950000.0,322414100000.0,403905450000.0,506727370000.0
2065.0,389891300000.0,313991530000.0,396323980000.0,510066330000.0
2066.0,385588430000.0,300906870000.0,393747960000.0,504624320000.0
2067.0,381524480000.0,291104880000.0,387389060000.0,497122100000.0
2068.0,373438120000.0,289806780000.0,387404630000.0,494570140000.0
2069.0,365824900000.0,288782120000.0,385057260000.0,498846170000.0
2070.0,360971600000.0,280525400000.0,381150230000.0,512819530000.0
2071.0,353293400000.0,282880250000.0,377427720000.0,507348800000.0
2072.0,340617000000.0,285586950000.0,366812360000.0,504194200000.0
2073.0,334891400000.0,284838000000.0,365094540000.0,499252760000.0
2074.0,329105100000.0,282723940000.0,368784440000.0,506666940000.0
2075.0,323935340000.0,278751200000.0,363471730000.0,509052060000.0
2076.0,319772520000.0,279228900000.0,356174400000.0,512532450000.0
2077.0,317268230000.0,274271540000.0,355596300000.0,509262430000.0
2078.0,316058040000.0,272171040000.0,345111070000.0,505794850000.0
2079.0,310216820000.0,269496570000.0,337690850000.0,500040070000.0
2080.0,305375200000.0,264482830000.0,330992780000.0,498320870000.0
2081.0,292914500000.0,269045350000.0,333966800000.0,489491900000.0
2082.0,293601200000.0,263321200000.0,328734200000.0,490111200000.0
2083.0,290472430000.0,259791770000.0,328205000000.0,487778450000.0
2084.0,289460620000.0,255109730000.0,325383200000.0,485820240000.0
2085.0,284577300000.0,254199700000.0,320606370000.0,492899960000.0
2086.0,283350660000.0,254949150000.0,318125280000.0,489070820000.0
2087.0,280965800000.0,248852890000.0,311389160000.0,488581300000.0
2088.0,278811280000.0,242682330000.0,306215420000.0,482913750000.0
2089.0,275364500000.0,248041980000.0,303833580000.0,481611320000.0
2090.0,271788640000.0,245510700000.0,292805400000.0,479436730000.0
2091.0,272812820000.0,240023060000.0,290638140000.0,477894500000.0
2092.0,275073800000.0,235593370000.0,288141870000.0,481972780000.0
2093.0,273685710000.0,237022120000.0,291789500000.0,478408740000.0
2094.0,273721080000.0,237858440000.0,291105180000.0,480363840000.0
2095.0,273229710000.0,232823050000.0,284153770000.0,486702940000.0
2096.0,274962120000.0,232342040000.0,280418060000.0,488075430000.0
2097.0,275152240000.0,232921100000.0,274338170000.0,485664720000.0
2098.0,277342900000.0,229988550000.0,269413060000.0,489161230000.0
2099.0,274361570000.0,231078260000.0,268615010000.0,487623920000.0
2100.0,272174430000.0,229979130000.0,270034260000.0,487847800000.0
