time,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,NORESM2-MM,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,CESM2-WACCM,INM-CM4-8,INM-CM5-0,EC-EARTH3
2000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0
2001.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0
2002.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0
2003.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0
2004.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0
2005.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0
2006.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0
2007.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0
2008.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0
2009.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0
2010.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0
2011.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0
2012.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0
2013.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0
2014.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0
2015.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0
2016.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0
2017.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0
2018.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0
2019.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0
2020.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0
2021.0,832805860000.0,842967800000.0,845751900000.0,833868800000.0,842239400000.0,835623100000.0,834969530000.0,849332540000.0,837114130000.0,842855740000.0,842568040000.0,836830950000.0,837399540000.0
2022.0,823319800000.0,829504160000.0,823277650000.0,825827460000.0,823578460000.0,820474200000.0,826074460000.0,853090100000.0,826120600000.0,823588200000.0,834375060000.0,824991100000.0,815523560000.0
2023.0,802167850000.0,807621400000.0,807629950000.0,812609800000.0,806777800000.0,796346100000.0,804905350000.0,846499500000.0,815384500000.0,801857900000.0,815131460000.0,812326000000.0,798379150000.0
