time,EC-EARTH3-VEG,CAMS-CSM1-0,MRI-ESM2-0,GFDL-ESM4
2000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0
2001.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0
2002.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0
2003.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0
2004.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0
2005.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0
2006.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0
2007.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0
2008.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0
2009.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0
2010.0,27145800000000.0,27145800000000.0,27145800000000.0,27145800000000.0
2011.0,27077634000000.0,27077634000000.0,27077634000000.0,27077634000000.0
2012.0,26995537000000.0,26995537000000.0,26995537000000.0,26995537000000.0
2013.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0
2014.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0
2015.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0
2016.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0
2017.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0
2018.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0
2019.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0
2020.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0
2021.0,26753146000000.0,26798330000000.0,26779585000000.0,26767518000000.0
2022.0,26717448000000.0,26797014000000.0,26751776000000.0,26684238000000.0
2023.0,26699828000000.0,26742218000000.0,26739806000000.0,26702544000000.0
2024.0,26633604000000.0,26700390000000.0,26656710000000.0,26666740000000.0
2025.0,26468760000000.0,26639765000000.0,26526563000000.0,26650616000000.0
2026.0,26411014000000.0,26569865000000.0,26514467000000.0,26659223000000.0
2027.0,26302020000000.0,26527836000000.0,26462348000000.0,26630989000000.0
2028.0,26203057000000.0,26493841000000.0,26511197000000.0,26579493000000.0
2029.0,26113336000000.0,26471968000000.0,26475976000000.0,26584675000000.0
2030.0,26028305000000.0,26393587000000.0,26375663000000.0,26555166000000.0
2031.0,26015850000000.0,26344084000000.0,26294354000000.0,26511675000000.0
2032.0,25962704000000.0,26326652000000.0,26247193000000.0,26478673000000.0
2033.0,25834822000000.0,26321462000000.0,26177564000000.0,26452452000000.0
2034.0,25718474000000.0,26312027000000.0,26044050000000.0,26344786000000.0
2035.0,25535300000000.0,26258280000000.0,25923036000000.0,26169676000000.0
2036.0,25476974000000.0,26260315000000.0,25793195000000.0,26079511000000.0
2037.0,25392730000000.0,26273785000000.0,25624247000000.0,26059395000000.0
2038.0,25368019000000.0,26268515000000.0,25503160000000.0,25972252000000.0
2039.0,25350671000000.0,26191782000000.0,25381868000000.0,25905519000000.0
2040.0,25318197000000.0,26142258000000.0,25334253000000.0,25873575000000.0
2041.0,25157708000000.0,26115096000000.0,25219360000000.0,25859293000000.0
2042.0,25018480000000.0,26090483000000.0,25192179000000.0,25788542000000.0
2043.0,24966957000000.0,26064525000000.0,25133866000000.0,25739970000000.0
2044.0,24896965000000.0,25981364000000.0,25061568000000.0,25688856000000.0
2045.0,24783782000000.0,25913314000000.0,25033700000000.0,25675835000000.0
2046.0,24728054000000.0,25900226000000.0,24930356000000.0,25647366000000.0
2047.0,24595230000000.0,25852104000000.0,24883839000000.0,25551037000000.0
2048.0,24500245000000.0,25830873000000.0,24896724000000.0,25515161000000.0
2049.0,24456236000000.0,25836485000000.0,24730898000000.0,25433263000000.0
2050.0,24435950000000.0,25818586000000.0,24591010000000.0,25381436000000.0
2051.0,24361107000000.0,25770246000000.0,24452503000000.0,25306150000000.0
2052.0,24375036000000.0,25710050000000.0,24303188000000.0,25290445000000.0
2053.0,24295530000000.0,25689263000000.0,24132070000000.0,25309400000000.0
2054.0,24266016000000.0,25702000000000.0,24093758000000.0,25271116000000.0
2055.0,24218450000000.0,25683040000000.0,24036110000000.0,25155672000000.0
2056.0,24166563000000.0,25667360000000.0,23957399000000.0,25052181000000.0
2057.0,24087554000000.0,25634057000000.0,23856230000000.0,25073065000000.0
2058.0,24034560000000.0,25605639000000.0,23739142000000.0,25102358000000.0
2059.0,23990314000000.0,25570495000000.0,23663850000000.0,25122950000000.0
2060.0,23960282000000.0,25513282000000.0,23584588000000.0,25065280000000.0
2061.0,23858294000000.0,25473151000000.0,23517775000000.0,25033815000000.0
2062.0,23762785000000.0,25460980000000.0,23548324000000.0,25002630000000.0
2063.0,23676680000000.0,25408102000000.0,23437848000000.0,24935480000000.0
2064.0,23653268000000.0,25382477000000.0,23337374000000.0,24939864000000.0
2065.0,23581554000000.0,25354285000000.0,23332630000000.0,24893425000000.0
2066.0,23488069000000.0,25287048000000.0,23341103000000.0,24881375000000.0
2067.0,23425903000000.0,25256941000000.0,23328115000000.0,24847147000000.0
2068.0,23337567000000.0,25186896000000.0,23278574000000.0,24809046000000.0
2069.0,23284358000000.0,25181870000000.0,23246311000000.0,24718150000000.0
2070.0,23205876000000.0,25152720000000.0,23229844000000.0,24643742000000.0
2071.0,23119239000000.0,25169085000000.0,23281422000000.0,24600847000000.0
2072.0,22985256000000.0,25210774000000.0,23242540000000.0,24547498000000.0
2073.0,22903555000000.0,25225130000000.0,23171913000000.0,24467620000000.0
2074.0,22851462000000.0,25153090000000.0,23111657000000.0,24405999000000.0
2075.0,22786120000000.0,25113074000000.0,23098963000000.0,24347532000000.0
2076.0,22731823000000.0,25098010000000.0,23013674000000.0,24313892000000.0
2077.0,22623583000000.0,24999860000000.0,22931140000000.0,24328626000000.0
2078.0,22583087000000.0,24978246000000.0,22847802000000.0,24321660000000.0
2079.0,22538250000000.0,24920608000000.0,22775690000000.0,24228361000000.0
