time,NORESM2-MM,MPI-ESM1-2-HR,INM-CM4-8,INM-CM5-0,FGOALS-F3-L,BCC-CSM2-MR,CESM2,EC-EARTH3,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM
2000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0
2001.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0
2002.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0
2003.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0
2004.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0
2005.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0
2006.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0
2007.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0
2008.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0
2009.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0
2010.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0
2011.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0
2012.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0
2013.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0
2014.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0
2015.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0
2016.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0
2017.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0
