time,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0,CAMS-CSM1-0
2000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14488368000000.0,14543223000000.0,14539688000000.0,14531903000000.0
2022.0,14441981000000.0,14514591000000.0,14493072000000.0,14513247000000.0
2023.0,14407597000000.0,14407890000000.0,14375852000000.0,14503595000000.0
2024.0,14301532000000.0,14329565000000.0,14291404000000.0,14481284000000.0
2025.0,14211656000000.0,14280656000000.0,14198914000000.0,14407157000000.0
2026.0,14102360000000.0,14219098000000.0,14183714000000.0,14380615000000.0
2027.0,14060971000000.0,14202914000000.0,14103023000000.0,14335084000000.0
2028.0,13987036000000.0,14121890000000.0,14023878000000.0,14289430000000.0
2029.0,13906423000000.0,14058099000000.0,13964360000000.0,14249737000000.0
2030.0,13811689000000.0,13972376000000.0,13902118000000.0,14218547000000.0
2031.0,13734020000000.0,13915025000000.0,13818321000000.0,14170538000000.0
2032.0,13697808000000.0,13875232000000.0,13746172000000.0,14128403000000.0
2033.0,13601452000000.0,13838830000000.0,13639279000000.0,14129982000000.0
2034.0,13511810000000.0,13731385000000.0,13572643000000.0,14140317000000.0
2035.0,13391595000000.0,13648723000000.0,13505191000000.0,14137572000000.0
2036.0,13322510000000.0,13586435000000.0,13415343000000.0,14082771000000.0
2037.0,13256703000000.0,13554135000000.0,13364858000000.0,14056634000000.0
2038.0,13172115000000.0,13477228000000.0,13260771000000.0,13988510000000.0
2039.0,13079935000000.0,13462047000000.0,13156651000000.0,13927677000000.0
2040.0,12991153000000.0,13385653000000.0,13038071000000.0,13898194000000.0
2041.0,12863991000000.0,13339057000000.0,12931357000000.0,13869504000000.0
2042.0,12760159000000.0,13278099000000.0,12857350000000.0,13794470000000.0
2043.0,12714361000000.0,13213269000000.0,12709978000000.0,13761576000000.0
2044.0,12691605000000.0,13167124000000.0,12634641000000.0,13713283000000.0
2045.0,12630525000000.0,13137209000000.0,12519771000000.0,13705139000000.0
2046.0,12580038000000.0,13043051000000.0,12471529000000.0,13618658000000.0
2047.0,12503950000000.0,12990345000000.0,12421061000000.0,13585819000000.0
2048.0,12455828000000.0,12938947000000.0,12338684000000.0,13558069000000.0
2049.0,12401059000000.0,12873481000000.0,12298873000000.0,13514332000000.0
2050.0,12365152000000.0,12855035000000.0,12212583000000.0,13448983000000.0
2051.0,12336582000000.0,12821025000000.0,12163417000000.0,13411930000000.0
2052.0,12307116000000.0,12780165000000.0,12094017000000.0,13379601000000.0
2053.0,12249306000000.0,12738835000000.0,11998458000000.0,13345620000000.0
2054.0,12188926000000.0,12681110000000.0,11921431000000.0,13299872000000.0
2055.0,12133229000000.0,12599734000000.0,11815902000000.0,13286228000000.0
2056.0,12054610000000.0,12556673000000.0,11751743000000.0,13263075000000.0
2057.0,11997926000000.0,12499984000000.0,11676716000000.0,13251949000000.0
2058.0,11885663000000.0,12448194000000.0,11585212000000.0,13218328000000.0
2059.0,11809459000000.0,12384435000000.0,11562760000000.0,13204661000000.0
2060.0,11719563000000.0,12342975000000.0,11499698000000.0,13131615000000.0
2061.0,11671611000000.0,12322733000000.0,11511443000000.0,13112425000000.0
2062.0,11649131000000.0,12255279000000.0,11496462000000.0,13083490000000.0
2063.0,11568803000000.0,12167392000000.0,11387054000000.0,13033909000000.0
2064.0,11522898000000.0,12122202000000.0,11385042000000.0,13023180000000.0
2065.0,11461237000000.0,12069812000000.0,11345326000000.0,13036000000000.0
2066.0,11401546000000.0,11991504000000.0,11347711000000.0,12987659000000.0
2067.0,11355913000000.0,11980871000000.0,11338374000000.0,12999594000000.0
2068.0,11317583000000.0,11957818000000.0,11314326000000.0,12926973000000.0
2069.0,11251384000000.0,11920983000000.0,11322776000000.0,12913036000000.0
2070.0,11192971000000.0,11905263000000.0,11260970000000.0,12893177000000.0
2071.0,11101015000000.0,11880768000000.0,11252183000000.0,12859749000000.0
2072.0,11070681000000.0,11853117000000.0,11188543000000.0,12824571000000.0
2073.0,11003236000000.0,11787050000000.0,11142495000000.0,12769696000000.0
2074.0,10932982000000.0,11711116000000.0,11109733000000.0,12740299000000.0
2075.0,10866361000000.0,11697326000000.0,11066047000000.0,12721737000000.0
2076.0,10791134000000.0,11646197000000.0,11028322000000.0,12639664000000.0
2077.0,10708537000000.0,11578544000000.0,11006081000000.0,12625315000000.0
2078.0,10633897000000.0,11538592000000.0,10987564000000.0,12591368000000.0
2079.0,10548561000000.0,11482338000000.0,10982091000000.0,12572303000000.0
2080.0,10472749000000.0,11435835000000.0,10934159000000.0,12549617000000.0
2081.0,10396372000000.0,11406512000000.0,10861776000000.0,12556423000000.0
2082.0,10342151000000.0,11405971000000.0,10802103000000.0,12552928000000.0
2083.0,10299183000000.0,11407792000000.0,10783452000000.0,12525666000000.0
2084.0,10217050000000.0,11371957000000.0,10730604000000.0,12479847000000.0
2085.0,10178415000000.0,11382527000000.0,10696567000000.0,12401905000000.0
2086.0,10123429000000.0,11345423000000.0,10644858000000.0,12367830000000.0
2087.0,10049337000000.0,11383276000000.0,10591659000000.0,12341541000000.0
2088.0,9980723000000.0,11393465000000.0,10572587000000.0,12291401000000.0
2089.0,9948658000000.0,11359111000000.0,10560217000000.0,12236360000000.0
2090.0,9887000000000.0,11317976000000.0,10529364000000.0,12212088000000.0
2091.0,9811809000000.0,11288178000000.0,10509165000000.0,12218929000000.0
2092.0,9755965000000.0,11266965000000.0,10490524000000.0,12190832000000.0
2093.0,9690160000000.0,11194145000000.0,10450471000000.0,12217517000000.0
2094.0,9589205000000.0,11165879000000.0,10391802000000.0,12159098000000.0
2095.0,9521550000000.0,11132265000000.0,10386765000000.0,12134872000000.0
2096.0,9448672000000.0,11128823000000.0,10368911000000.0,12085883000000.0
2097.0,9366085000000.0,11088080000000.0,10339398000000.0,12032114000000.0
2098.0,9315244000000.0,11090164000000.0,10324329000000.0,12010474000000.0
2099.0,9262985000000.0,11081429000000.0,10305642000000.0,11962910000000.0
2100.0,9151269000000.0,11035236000000.0,10299015000000.0,11920582000000.0
