time,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,MPI-ESM1-2-HR,EC-EARTH3,CESM2,INM-CM4-8,INM-CM5-0,NORESM2-MM,CANESM5,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,ACCESS-CM2,IPSL-CM6A-LR,EC-EARTH3-VEG,ACCESS-ESM1-5
2000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0
