time,EC-EARTH3-VEG,NORESM2-MM,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,CESM2,EC-EARTH3,MPI-ESM1-2-HR,INM-CM5-0,INM-CM4-8,CESM2-WACCM,CAMS-CSM1-0,CMCC-CM2-SR5,MRI-ESM2-0
2000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14502285000000.0,14536724000000.0,14541051000000.0,14507440000000.0,14559329000000.0,14526643000000.0,14471265000000.0,14513327000000.0,14508143000000.0,14527853000000.0,14530091000000.0,14562684000000.0,14624450000000.0,14473986000000.0
2022.0,14416674000000.0,14458221000000.0,14522072000000.0,14448347000000.0,14523392000000.0,14458708000000.0,14393525000000.0,14441445000000.0,14453657000000.0,14463830000000.0,14476909000000.0,14525002000000.0,14629170000000.0,14386808000000.0
2023.0,14373322000000.0,14382841000000.0,14468986000000.0,14448400000000.0,14489084000000.0,14398161000000.0,14275502000000.0,14389103000000.0,14413443000000.0,14462769000000.0,14398312000000.0,14458916000000.0,14594629000000.0,14331682000000.0
2024.0,14303604000000.0,14315753000000.0,14443216000000.0,14419977000000.0,14455906000000.0,14337066000000.0,14194470000000.0,14330047000000.0,14388781000000.0,14394404000000.0,14335542000000.0,14403258000000.0,14534094000000.0,14260900000000.0
2025.0,14203965000000.0,14238758000000.0,14358390000000.0,14351656000000.0,14411768000000.0,14295179000000.0,14086764000000.0,14261845000000.0,14290673000000.0,14314845000000.0,14270295000000.0,14324515000000.0,14490862000000.0,14190974000000.0
2026.0,14152152000000.0,14179305000000.0,14298370000000.0,14326636000000.0,14384079000000.0,14251675000000.0,13963446000000.0,14217815000000.0,14191046000000.0,14234496000000.0,14185376000000.0,14252712000000.0,14477013000000.0,14120343000000.0
2027.0,14122311000000.0,14151351000000.0,14292728000000.0,14328555000000.0,14330638000000.0,14131728000000.0,13871901000000.0,14187817000000.0,14109271000000.0,14162450000000.0,14116857000000.0,14224287000000.0,14410123000000.0,14055000000000.0
2028.0,14049038000000.0,14125241000000.0,14192609000000.0,14292125000000.0,14307605000000.0,14044648000000.0,13753816000000.0,14098601000000.0,14022074000000.0,14142740000000.0,14048574000000.0,14215336000000.0,14365101000000.0,13991923000000.0
2029.0,13997489000000.0,14077597000000.0,14125396000000.0,14251680000000.0,14250192000000.0,14014700000000.0,13656872000000.0,14000438000000.0,13963541000000.0,14053832000000.0,13965131000000.0,14206819000000.0,14231819000000.0,13925490000000.0
2030.0,13945303000000.0,14043308000000.0,14029576000000.0,14260855000000.0,14212190000000.0,13900709000000.0,13554896000000.0,13954295000000.0,13900700000000.0,13963839000000.0,13850436000000.0,14158857000000.0,14167812000000.0,13857262000000.0
2031.0,13840810000000.0,13987000000000.0,13939953000000.0,14233337000000.0,14158848000000.0,13804289000000.0,13432794000000.0,13899967000000.0,13846700000000.0,13902218000000.0,13787099000000.0,14114552000000.0,14164283000000.0,13809022000000.0
2032.0,13722266000000.0,13921775000000.0,13849985000000.0,14147740000000.0,14132321000000.0,13708160000000.0,13325060000000.0,13854078000000.0,13801765000000.0,13862576000000.0,13711714000000.0,14065877000000.0,14111328000000.0,13728575000000.0
2033.0,13646430000000.0,13847257000000.0,13822545000000.0,14065714000000.0,14064297000000.0,13636308000000.0,13232013000000.0,13814233000000.0,13669289000000.0,13759420000000.0,13604448000000.0,14019573000000.0,14028915000000.0,13656281000000.0
2034.0,13547522000000.0,13797091000000.0,13767516000000.0,14006475000000.0,14033925000000.0,13567450000000.0,13135005000000.0,13743056000000.0,13597482000000.0,13689947000000.0,13518416000000.0,13937686000000.0,13969184000000.0,13627320000000.0
2035.0,13453778000000.0,13754103000000.0,13697928000000.0,13944617000000.0,13980743000000.0,13455310000000.0,13045681000000.0,13683955000000.0,13514699000000.0,13625256000000.0,13518881000000.0,13883621000000.0,13940824000000.0,13549931000000.0
2036.0,13349333000000.0,13662305000000.0,13615569000000.0,13890483000000.0,13955644000000.0,13428062000000.0,12905572000000.0,13605942000000.0,13438325000000.0,13560576000000.0,13470537000000.0,13820145000000.0,13849474000000.0,13480180000000.0
2037.0,13278056000000.0,13583455000000.0,13604262000000.0,13837527000000.0,13934211000000.0,13336901000000.0,12783597000000.0,13520390000000.0,13333429000000.0,13495874000000.0,13431361000000.0,13767128000000.0,13695700000000.0,13408782000000.0
2038.0,13208242000000.0,13494132000000.0,13559846000000.0,13777255000000.0,13879672000000.0,13317938000000.0,12650787000000.0,13424643000000.0,13217661000000.0,13422606000000.0,13381176000000.0,13708041000000.0,13562129000000.0,13266139000000.0
2039.0,13132712000000.0,13411884000000.0,13439066000000.0,13735684000000.0,13850398000000.0,13241615000000.0,12522882000000.0,13349036000000.0,13168461000000.0,13375966000000.0,13288931000000.0,13677083000000.0,13449018000000.0,13191640000000.0
2040.0,13026264000000.0,13293851000000.0,13366944000000.0,13704448000000.0,13810948000000.0,13146007000000.0,12429683000000.0,13287401000000.0,13109274000000.0,13324319000000.0,13233276000000.0,13615809000000.0,13397729000000.0,13107839000000.0
2041.0,12898863000000.0,13194495000000.0,13297357000000.0,13633924000000.0,13718238000000.0,13063672000000.0,12305143000000.0,13185004000000.0,13021202000000.0,13253209000000.0,13171896000000.0,13589869000000.0,13287109000000.0,13014086000000.0
2042.0,12798971000000.0,13130833000000.0,13252247000000.0,13575186000000.0,13650416000000.0,12960233000000.0,12165027000000.0,13118291000000.0,12883170000000.0,13127230000000.0,13104700000000.0,13532474000000.0,13165405000000.0,12870758000000.0
2043.0,12688209000000.0,13048366000000.0,13145114000000.0,13547504000000.0,13564180000000.0,12896129000000.0,12088054000000.0,13094385000000.0,12810422000000.0,13075107000000.0,13075191000000.0,13511712000000.0,13062926000000.0,12743863000000.0
2044.0,12590261000000.0,12925696000000.0,13066479000000.0,13498618000000.0,13481747000000.0,12831898000000.0,11980700000000.0,13007564000000.0,12700039000000.0,12995907000000.0,13048386000000.0,13464167000000.0,12883306000000.0,12663002000000.0
2045.0,12470046000000.0,12854962000000.0,13007687000000.0,13401904000000.0,13441548000000.0,12745750000000.0,11877825000000.0,12942277000000.0,12629838000000.0,12925177000000.0,13027729000000.0,13385123000000.0,12740998000000.0,12582748000000.0
2046.0,12384067000000.0,12773605000000.0,12966534000000.0,13363802000000.0,13377786000000.0,12626936000000.0,11741171000000.0,12895522000000.0,12555576000000.0,12872891000000.0,12926809000000.0,13367644000000.0,12588436000000.0,12508923000000.0
2047.0,12261128000000.0,12677513000000.0,12914411000000.0,13320416000000.0,13324053000000.0,12605454000000.0,11610180000000.0,12830415000000.0,12468330000000.0,12774722000000.0,12868739000000.0,13349691000000.0,12446642000000.0,12390378000000.0
2048.0,12181203000000.0,12589158000000.0,12832497000000.0,13300965000000.0,13249289000000.0,12541771000000.0,11497534000000.0,12748040000000.0,12362902000000.0,12686710000000.0,12795545000000.0,13283171000000.0,12316859000000.0,12302368000000.0
2049.0,12084075000000.0,12531631000000.0,12803327000000.0,13279698000000.0,13191550000000.0,12452226000000.0,11393606000000.0,12681921000000.0,12318982000000.0,12600971000000.0,12687442000000.0,13221530000000.0,12210754000000.0,12232744000000.0
2050.0,11935872000000.0,12427164000000.0,12797355000000.0,13212647000000.0,13110426000000.0,12385406000000.0,11295850000000.0,12648024000000.0,12209216000000.0,12492461000000.0,12602032000000.0,13138163000000.0,12058945000000.0,12145358000000.0
2051.0,11791718000000.0,12332541000000.0,12728710000000.0,13161239000000.0,13031697000000.0,12318431000000.0,11122296000000.0,12599550000000.0,12154907000000.0,12451088000000.0,12487149000000.0,13103245000000.0,11947168000000.0,12044150000000.0
2052.0,11685217000000.0,12229206000000.0,12639903000000.0,13078988000000.0,12959702000000.0,12237219000000.0,10982266000000.0,12521270000000.0,12083950000000.0,12373832000000.0,12353897000000.0,13071832000000.0,11802723000000.0,11951729000000.0
2053.0,11546524000000.0,12148851000000.0,12575915000000.0,13033899000000.0,12867207000000.0,12170730000000.0,10906821000000.0,12438571000000.0,11991573000000.0,12289380000000.0,12250442000000.0,13059004000000.0,11632005000000.0,11905110000000.0
2054.0,11429241000000.0,12066024000000.0,12508765000000.0,12976826000000.0,12782751000000.0,12133891000000.0,10775025000000.0,12395224000000.0,11925310000000.0,12192659000000.0,12120718000000.0,13001617000000.0,11450457000000.0,11835112000000.0
2055.0,11317453000000.0,11982563000000.0,12431352000000.0,12895173000000.0,12708665000000.0,11996681000000.0,10603885000000.0,12334436000000.0,11867017000000.0,12172509000000.0,12049443000000.0,12941992000000.0,11274931000000.0,11769474000000.0
2056.0,11188381000000.0,11933026000000.0,12371481000000.0,12833479000000.0,12610306000000.0,11902883000000.0,10467317000000.0,12261696000000.0,11771940000000.0,12096377000000.0,11964631000000.0,12882046000000.0,11147708000000.0,11701502000000.0
2057.0,11057443000000.0,11863551000000.0,12330801000000.0,12788707000000.0,12568809000000.0,11768346000000.0,10298893000000.0,12226685000000.0,11691906000000.0,12010934000000.0,11848588000000.0,12800676000000.0,11029475000000.0,11647305000000.0
2058.0,10933360000000.0,11786109000000.0,12303875000000.0,12779320000000.0,12504343000000.0,11667181000000.0,10159751000000.0,12161595000000.0,11615612000000.0,11935857000000.0,11746855000000.0,12716888000000.0,10877889000000.0,11529008000000.0
2059.0,10804413000000.0,11736754000000.0,12247377000000.0,12746300000000.0,12454507000000.0,11540301000000.0,10011205000000.0,12082239000000.0,11530751000000.0,11842470000000.0,11605634000000.0,12697423000000.0,10718046000000.0,11441384000000.0
2060.0,10674356000000.0,11651249000000.0,12183936000000.0,12658067000000.0,12386825000000.0,11431811000000.0,9876630000000.0,12019382000000.0,11445444000000.0,11762381000000.0,11448286000000.0,12629600000000.0,10596106000000.0,11332954000000.0
2061.0,10595860000000.0,11549981000000.0,12111224000000.0,12622020000000.0,12317277000000.0,11384758000000.0,9721958000000.0,11960090000000.0,11377033000000.0,11710087000000.0,11322029000000.0,12579859000000.0,10517771000000.0,11283183000000.0
2062.0,10494829000000.0,11472972000000.0,12046878000000.0,12562046000000.0,12287384000000.0,11282378000000.0,9585698000000.0,11901655000000.0,11341962000000.0,11638984000000.0,11171510000000.0,12517996000000.0,10399455000000.0,11178157000000.0
2063.0,10364778000000.0,11376051000000.0,11982718000000.0,12492231000000.0,12229709000000.0,11143396000000.0,9423836000000.0,11823644000000.0,11267705000000.0,11621051000000.0,11070776000000.0,12461404000000.0,10265555000000.0,11075375000000.0
2064.0,10264142000000.0,11285520000000.0,11878800000000.0,12445680000000.0,12196702000000.0,11074306000000.0,9283916000000.0,11764252000000.0,11185785000000.0,11543826000000.0,10946341000000.0,12428946000000.0,10152314000000.0,10989859000000.0
