time,EC-EARTH3-VEG,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,NORESM2-MM,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,EC-EARTH3,CESM2,MRI-ESM2-0,CAMS-CSM1-0,CESM2-WACCM
2000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0
