time,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,GFDL-ESM4
2000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0
2001.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0
2002.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0
2003.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0
2004.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0
2005.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0
2006.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0
2007.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0
2008.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0
2009.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0
2010.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0
2020.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0
2021.0,7277901000000.0,7250880000000.0,7285092000000.0,7247769400000.0
2022.0,7265948500000.0,7213900000000.0,7267696500000.0,7235521000000.0
2023.0,7230980000000.0,7164706000000.0,7249672500000.0,7205630000000.0
2024.0,7220423600000.0,7145148000000.0,7234779000000.0,7197892000000.0
2025.0,7219789000000.0,7089809000000.0,7226849000000.0,7183901700000.0
2026.0,7183350000000.0,7037413500000.0,7207616000000.0,7168185000000.0
2027.0,7143526000000.0,6974470600000.0,7184248000000.0,7132935000000.0
2028.0,7111629000000.0,6921247000000.0,7152923000000.0,7111697000000.0
2029.0,7076115400000.0,6825791500000.0,7115047400000.0,7072110300000.0
2030.0,7028918500000.0,6789894500000.0,7107503500000.0,7058441600000.0
2031.0,6992359000000.0,6738367000000.0,7064737000000.0,7028822500000.0
2032.0,6959472300000.0,6693726000000.0,7029085700000.0,7012101000000.0
2033.0,6936119000000.0,6652409000000.0,6999408000000.0,6992073600000.0
2034.0,6893902000000.0,6623709400000.0,6950261000000.0,6975421000000.0
2035.0,6875729000000.0,6578910000000.0,6903229000000.0,6963058000000.0
2036.0,6820985000000.0,6551121000000.0,6889502000000.0,6946956000000.0
2037.0,6798161500000.0,6485194000000.0,6872032000000.0,6918176000000.0
2038.0,6776328000000.0,6441021700000.0,6836605000000.0,6893304500000.0
2039.0,6726044000000.0,6365156700000.0,6804914300000.0,6865949300000.0
2040.0,6688284000000.0,6325236000000.0,6761725000000.0,6836496400000.0
2041.0,6658026000000.0,6262108000000.0,6735859000000.0,6810326000000.0
2042.0,6628968000000.0,6229113000000.0,6720853000000.0,6786487700000.0
2043.0,6573873000000.0,6199896000000.0,6688285000000.0,6771234000000.0
2044.0,6528865000000.0,6158805000000.0,6676804000000.0,6743020500000.0
2045.0,6485978000000.0,6127749000000.0,6651073500000.0,6710296000000.0
2046.0,6470114500000.0,6068650000000.0,6628234000000.0,6685300000000.0
2047.0,6437984500000.0,6018089600000.0,6597763400000.0,6672851400000.0
2048.0,6367048400000.0,5969200300000.0,6572047600000.0,6651298000000.0
2049.0,6335242000000.0,5931028400000.0,6553464700000.0,6638415000000.0
2050.0,6283540000000.0,5845569000000.0,6524580700000.0,6609713000000.0
2051.0,6242797400000.0,5789176600000.0,6510862000000.0,6597207700000.0
2052.0,6210283000000.0,5688438300000.0,6489522000000.0,6554428000000.0
2053.0,6176717000000.0,5606022000000.0,6445913300000.0,6534338700000.0
2054.0,6129852000000.0,5529327400000.0,6407136500000.0,6499860500000.0
2055.0,6086067000000.0,5419131500000.0,6378467000000.0,6488222000000.0
2056.0,6030662000000.0,5330147700000.0,6377119400000.0,6463843500000.0
