time,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4,ACCESS-ESM1-5,CANESM5,EC-EARTH3-VEG,MRI-ESM2-0,IPSL-CM6A-LR,CESM2,MPI-ESM1-2-HR,BCC-CSM2-MR,FGOALS-F3-L,ACCESS-CM2,INM-CM4-8,INM-CM5-0,NORESM2-MM,EC-EARTH3
2000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0
2001.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0
2002.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0
2003.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0
2004.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0
2005.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0
2006.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0
2007.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0
2008.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0
2009.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0
2010.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0
