time,MRI-ESM2-0,INM-CM5-0,INM-CM4-8,MPI-ESM1-2-HR,EC-EARTH3,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4,CMCC-CM2-SR5,NORESM2-MM,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,CESM2
2000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0
2001.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0
2002.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0
2003.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0
2004.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0
2005.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0
2006.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0
2007.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0
2008.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0
2009.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0
2010.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0
2011.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0
2012.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0
2013.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0
2014.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0
2015.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0
2016.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0
2017.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0
2018.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0
2019.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0
2020.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0
2021.0,257360580000.0,256033300000.0,255796400000.0,258773000000.0,258637020000.0,258649490000.0,260934350000.0,258165010000.0,264370680000.0,257174270000.0,256335660000.0,259208500000.0,258878500000.0,257423750000.0
2022.0,252781480000.0,255571670000.0,251335200000.0,257295700000.0,253370200000.0,255106600000.0,258552630000.0,254126930000.0,264431140000.0,255560350000.0,251871940000.0,257429130000.0,256930840000.0,253934500000.0
2023.0,250551620000.0,252481040000.0,251407930000.0,251735920000.0,250497290000.0,252103280000.0,254587200000.0,249070900000.0,261964610000.0,252603880000.0,247790680000.0,254517310000.0,251818750000.0,253440460000.0
2024.0,247187650000.0,249705660000.0,248590000000.0,247698160000.0,246843280000.0,252119140000.0,254010640000.0,243896190000.0,261574600000.0,249098850000.0,245693380000.0,252568320000.0,249914980000.0,250789150000.0
2025.0,242928960000.0,244219610000.0,248091660000.0,244989440000.0,242276900000.0,246766490000.0,249259050000.0,240749510000.0,260219080000.0,245229240000.0,241890920000.0,247087940000.0,248635880000.0,248794530000.0
2026.0,239333100000.0,242002790000.0,245811990000.0,243959580000.0,238533000000.0,240208580000.0,243497810000.0,236734630000.0,256316560000.0,245997220000.0,241590810000.0,244517980000.0,249538070000.0,248242830000.0
2027.0,233547320000.0,238780480000.0,240540530000.0,243296200000.0,232917040000.0,236159680000.0,238859530000.0,231343080000.0,253345510000.0,242907150000.0,236721290000.0,239875420000.0,247711170000.0,247102950000.0
2028.0,231150130000.0,233623760000.0,240271920000.0,240851350000.0,226263190000.0,230739940000.0,236207330000.0,227507220000.0,252452630000.0,243327120000.0,239849800000.0,234481780000.0,247834210000.0,243123800000.0
2029.0,227184530000.0,229942480000.0,235631590000.0,237951170000.0,224737210000.0,228700420000.0,232741470000.0,223956840000.0,246006400000.0,242749010000.0,235901350000.0,227642900000.0,244718570000.0,240411930000.0
2030.0,222687280000.0,228453350000.0,236018930000.0,234806150000.0,219192430000.0,224272530000.0,227573350000.0,220557020000.0,244483540000.0,240098310000.0,231917240000.0,224198770000.0,243757430000.0,236370380000.0
