time,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0,MRI-ESM2-0
2000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0
2001.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0
2002.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0
2003.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0
2004.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0
2005.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0
2006.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0
2007.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0
2008.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0
2009.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0
2010.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0
2011.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0
2012.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0
2013.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0
2014.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0
2015.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0
2016.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0
2017.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0
2018.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0
2019.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0
2020.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0
2021.0,13714597000000.0,13726498000000.0,13739294000000.0,13720997000000.0
2022.0,13685660000000.0,13706326000000.0,13725950000000.0,13711256000000.0
2023.0,13665030000000.0,13675158000000.0,13729468000000.0,13659812000000.0
2024.0,13637754000000.0,13655404000000.0,13710794000000.0,13611557000000.0
2025.0,13564769000000.0,13646205000000.0,13691786000000.0,13592861000000.0
2026.0,13511186000000.0,13610585000000.0,13671811000000.0,13551969000000.0
2027.0,13451077000000.0,13560710000000.0,13667178000000.0,13493953000000.0
2028.0,13374080000000.0,13544810000000.0,13650866000000.0,13457360000000.0
2029.0,13299254000000.0,13520197000000.0,13624001000000.0,13427266000000.0
2030.0,13228498000000.0,13510945000000.0,13611410000000.0,13392554000000.0
2031.0,13178215000000.0,13475412000000.0,13590760000000.0,13361412000000.0
2032.0,13123084000000.0,13439369000000.0,13576289000000.0,13328800000000.0
2033.0,13043048000000.0,13423897000000.0,13549912000000.0,13292629000000.0
2034.0,12995592000000.0,13406566000000.0,13529831000000.0,13218072000000.0
2035.0,12927501000000.0,13385673000000.0,13518212000000.0,13181544000000.0
2036.0,12901071000000.0,13371390000000.0,13498025000000.0,13123868000000.0
2037.0,12843357000000.0,13338021000000.0,13489082000000.0,13066470000000.0
2038.0,12803571000000.0,13296872000000.0,13473567000000.0,12986605000000.0
2039.0,12747232000000.0,13266686000000.0,13456097000000.0,12944056000000.0
2040.0,12695717000000.0,13250558000000.0,13447544000000.0,12883291000000.0
2041.0,12628231000000.0,13211966000000.0,13449806000000.0,12828677000000.0
2042.0,12600860000000.0,13178374000000.0,13443584000000.0,12775557000000.0
2043.0,12577192000000.0,13148977000000.0,13429323000000.0,12725977000000.0
2044.0,12526567000000.0,13121866000000.0,13408767000000.0,12682134000000.0
2045.0,12507584000000.0,13075114000000.0,13395987000000.0,12652311000000.0
2046.0,12453105000000.0,13045854000000.0,13364675000000.0,12601305000000.0
2047.0,12403838000000.0,13018624000000.0,13350748000000.0,12545905000000.0
