time,BCC-CSM2-MR,FGOALS-F3-L,CESM2,GFDL-ESM4,NORESM2-MM,EC-EARTH3-VEG,EC-EARTH3,INM-CM5-0,INM-CM4-8,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,CMCC-CM2-SR5,MPI-ESM1-2-HR
2000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0
2001.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0
2002.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0
2003.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0
2004.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0
2005.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0
2006.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0
2007.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0
2008.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0
2009.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0
2010.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0
2011.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0
2012.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0
2013.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0
2014.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0
2015.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0
2016.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0
2017.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0
2018.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0
2019.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0
2020.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0
2021.0,13732434000000.0,13733046000000.0,13738698000000.0,13716621000000.0,13734589000000.0,13729294000000.0,13728091000000.0,13727139000000.0,13749394000000.0,13732231000000.0,13745838000000.0,13740998000000.0,13785700000000.0,13751370000000.0
2022.0,13714443000000.0,13714409000000.0,13713521000000.0,13698046000000.0,13709399000000.0,13685628000000.0,13715873000000.0,13681525000000.0,13723950000000.0,13719262000000.0,13742680000000.0,13706480000000.0,13785529000000.0,13744563000000.0
2023.0,13676882000000.0,13702592000000.0,13691987000000.0,13696420000000.0,13704752000000.0,13657423000000.0,13686431000000.0,13635030000000.0,13696919000000.0,13703241000000.0,13717136000000.0,13678935000000.0,13787867000000.0,13723490000000.0
2024.0,13626768000000.0,13685351000000.0,13666868000000.0,13693567000000.0,13700790000000.0,13641037000000.0,13673093000000.0,13608680000000.0,13679137000000.0,13690800000000.0,13691292000000.0,13649424000000.0,13771550000000.0,13715392000000.0
2025.0,13615769000000.0,13666261000000.0,13647457000000.0,13665421000000.0,13705124000000.0,13614866000000.0,13630222000000.0,13585096000000.0,13641538000000.0,13672817000000.0,13664865000000.0,13612612000000.0,13759984000000.0,13688564000000.0
2026.0,13611459000000.0,13655967000000.0,13633515000000.0,13621337000000.0,13687528000000.0,13573573000000.0,13587861000000.0,13565850000000.0,13622915000000.0,13642118000000.0,13661394000000.0,13556799000000.0,13738234000000.0,13676220000000.0
2027.0,13593331000000.0,13641113000000.0,13601851000000.0,13606123000000.0,13685729000000.0,13544557000000.0,13556586000000.0,13554794000000.0,13626144000000.0,13640749000000.0,13651176000000.0,13508752000000.0,13719995000000.0,13663184000000.0
2028.0,13556674000000.0,13636109000000.0,13579207000000.0,13574877000000.0,13674771000000.0,13470509000000.0,13538016000000.0,13547322000000.0,13607144000000.0,13619635000000.0,13623408000000.0,13469677000000.0,13696672000000.0,13622948000000.0
2029.0,13543544000000.0,13620715000000.0,13562051000000.0,13558565000000.0,13653665000000.0,13434935000000.0,13496343000000.0,13523059000000.0,13605894000000.0,13603065000000.0,13608333000000.0,13448464000000.0,13683934000000.0,13622900000000.0
2030.0,13511722000000.0,13601656000000.0,13537942000000.0,13514792000000.0,13648378000000.0,13398951000000.0,13503229000000.0,13504220000000.0,13585047000000.0,13585641000000.0,13590785000000.0,13410275000000.0,13656482000000.0,13589689000000.0
2031.0,13498046000000.0,13554307000000.0,13521637000000.0,13485572000000.0,13632119000000.0,13351238000000.0,13469483000000.0,13465892000000.0,13577035000000.0,13570924000000.0,13573247000000.0,13366726000000.0,13661131000000.0,13550276000000.0
2032.0,13486308000000.0,13510992000000.0,13506349000000.0,13472200000000.0,13625969000000.0,13303900000000.0,13454678000000.0,13439092000000.0,13567122000000.0,13549301000000.0,13570662000000.0,13322681000000.0,13641766000000.0,13534462000000.0
2033.0,13491318000000.0,13500476000000.0,13496621000000.0,13442195000000.0,13617048000000.0,13306393000000.0,13425051000000.0,13435503000000.0,13540604000000.0,13536283000000.0,13553418000000.0,13282790000000.0,13625725000000.0,13512743000000.0
2034.0,13492235000000.0,13493550000000.0,13488034000000.0,13429671000000.0,13616197000000.0,13282181000000.0,13408474000000.0,13420785000000.0,13496015000000.0,13533639000000.0,13538714000000.0,13239126000000.0,13593193000000.0,13483539000000.0
2035.0,13447949000000.0,13469993000000.0,13485292000000.0,13406904000000.0,13604219000000.0,13245542000000.0,13365968000000.0,13401557000000.0,13458688000000.0,13520369000000.0,13526648000000.0,13204705000000.0,13579614000000.0,13451920000000.0
2036.0,13403917000000.0,13468358000000.0,13468367000000.0,13366515000000.0,13594113000000.0,13210837000000.0,13326214000000.0,13379909000000.0,13418125000000.0,13511836000000.0,13501498000000.0,13153944000000.0,13564698000000.0,13400673000000.0
2037.0,13391541000000.0,13448952000000.0,13441710000000.0,13326753000000.0,13587699000000.0,13166256000000.0,13298486000000.0,13378444000000.0,13368986000000.0,13501013000000.0,13459953000000.0,13106722000000.0,13542454000000.0,13358488000000.0
2038.0,13374480000000.0,13408630000000.0,13400659000000.0,13290103000000.0,13572294000000.0,13123776000000.0,13264136000000.0,13375559000000.0,13351979000000.0,13495112000000.0,13434493000000.0,13064160000000.0,13512434000000.0,13340294000000.0
2039.0,13349210000000.0,13394667000000.0,13352749000000.0,13259124000000.0,13566497000000.0,13087989000000.0,13242032000000.0,13338386000000.0,13329655000000.0,13472142000000.0,13427718000000.0,13014274000000.0,13488935000000.0,13327336000000.0
2040.0,13294345000000.0,13359582000000.0,13324348000000.0,13214649000000.0,13556164000000.0,13044527000000.0,13216379000000.0,13281469000000.0,13327134000000.0,13452990000000.0,13422599000000.0,12968071000000.0,13475225000000.0,13328188000000.0
