time,CESM2,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG,NORESM2-MM,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,INM-CM4-8,INM-CM5-0,EC-EARTH3,MPI-ESM1-2-HR,MRI-ESM2-0
2000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0
2001.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0
2002.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0
2003.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0
2004.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0
2005.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0
2006.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0
2007.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0
2008.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0
2009.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0
2010.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0
2011.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0
2012.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0
2013.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0
2014.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0
2015.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0
2016.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0
2017.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0
2018.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0
2019.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0
2020.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0
2021.0,13742832000000.0,13724119000000.0,13743033000000.0,13743383000000.0,13765547000000.0,13717953000000.0,13744574000000.0,13745559000000.0,13745195000000.0,13727070000000.0,13729340000000.0,13738296000000.0,13741537000000.0
2022.0,13713888000000.0,13680858000000.0,13739446000000.0,13717355000000.0,13758771000000.0,13708304000000.0,13743408000000.0,13718534000000.0,13735492000000.0,13694095000000.0,13674743000000.0,13719259000000.0,13721371000000.0
