time,MPI-ESM1-2-HR,EC-EARTH3,NORESM2-MM,INM-CM4-8,INM-CM5-0,ACCESS-CM2,CESM2,CAMS-CSM1-0,CESM2-WACCM,ACCESS-ESM1-5,EC-EARTH3-VEG,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,BCC-CSM2-MR,FGOALS-F3-L,GFDL-ESM4
2000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0
2021.0,104133510000.0,101842560000.0,103632860000.0,104124900000.0,104292470000.0,103589580000.0,104135090000.0,105041630000.0,103818220000.0,103326155000.0,104347690000.0,102770080000.0,104127180000.0,103494190000.0,103532560000.0,104576750000.0,104732580000.0
2022.0,103663520000.0,98388990000.0,102017140000.0,103444330000.0,101259850000.0,101165020000.0,103602274000.0,102992580000.0,101765240000.0,101833340000.0,101450280000.0,100592060000.0,103151990000.0,101284760000.0,102154306000.0,103063200000.0,103282270000.0
2023.0,102184420000.0,94180640000.0,99366410000.0,102276320000.0,99555810000.0,98127135000.0,101369940000.0,102427240000.0,98961790000.0,99344260000.0,99315490000.0,97801100000.0,101024940000.0,98941260000.0,100477300000.0,101185044000.0,101902100000.0
2024.0,100778470000.0,90687545000.0,96966100000.0,99834590000.0,99598710000.0,95839216000.0,99491455000.0,99656030000.0,96858200000.0,97537565000.0,95856525000.0,94832165000.0,99322360000.0,95673550000.0,98462870000.0,98921460000.0,100101270000.0
2025.0,98102760000.0,87352060000.0,94826320000.0,96990160000.0,98252010000.0,92903014000.0,96998670000.0,98289530000.0,95314450000.0,94259634000.0,94442226000.0,92239045000.0,97001470000.0,92545060000.0,97350400000.0,96632590000.0,98364826000.0
2026.0,95062426000.0,83463760000.0,91752866000.0,94571820000.0,95622770000.0,89572290000.0,94618140000.0,96110530000.0,92390924000.0,92185290000.0,92196760000.0,90726220000.0,95367350000.0,89883296000.0,95628100000.0,93876265000.0,96917880000.0
2027.0,91784200000.0,79216410000.0,89636920000.0,92805300000.0,93197560000.0,87768030000.0,91979020000.0,93436310000.0,90706170000.0,90356875000.0,89248784000.0,88158330000.0,93162800000.0,87284930000.0,93884800000.0,91832700000.0,95415840000.0
2028.0,89908110000.0,74441550000.0,87902626000.0,92215210000.0,92020580000.0,85036410000.0,90671190000.0,92831780000.0,88643910000.0,87106030000.0,86143130000.0,86884140000.0,92535325000.0,84964880000.0,91736334000.0,89870760000.0,93990490000.0
