time,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5
2000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0
2021.0,103665190000.0,104100280000.0,103176590000.0,103701635000.0
2022.0,103529955000.0,102085630000.0,100455145000.0,101344960000.0
2023.0,102180585000.0,100887920000.0,97416240000.0,99165315000.0
2024.0,100743480000.0,97919730000.0,95313070000.0,97393960000.0
2025.0,98848030000.0,96684430000.0,91994490000.0,94942230000.0
2026.0,95680310000.0,94238500000.0,88324960000.0,92385640000.0
2027.0,93178315000.0,92111495000.0,84905970000.0,90022040000.0
2028.0,90473870000.0,88945295000.0,82123690000.0,87538470000.0
2029.0,88329470000.0,86533595000.0,78610150000.0,84516360000.0
2030.0,86257260000.0,84067410000.0,76229630000.0,81557955000.0
2031.0,84580060000.0,81924465000.0,73472205000.0,78318870000.0
2032.0,82702480000.0,80421140000.0,69805970000.0,75020280000.0
2033.0,81107710000.0,77853110000.0,66856145000.0,71835190000.0
2034.0,78063140000.0,74501060000.0,64250778000.0,68956330000.0
2035.0,75283505000.0,71136760000.0,61519847000.0,67042193000.0
2036.0,72564700000.0,68905705000.0,60026230000.0,64772563000.0
2037.0,69634240000.0,66858967000.0,57456440000.0,61164958000.0
2038.0,67835490000.0,65081397000.0,54130320000.0,57850868000.0
2039.0,65487217000.0,62451960000.0,50790687000.0,55654232000.0
2040.0,62734370000.0,59673432000.0,48590250000.0,52994613000.0
2041.0,60404680000.0,56005243000.0,47281670000.0,50639196000.0
2042.0,57625890000.0,53868147000.0,44247760000.0,47973847000.0
2043.0,54933914000.0,51207004000.0,41857390000.0,45176950000.0
2044.0,52780950000.0,49034370000.0,40391430000.0,42253017000.0
2045.0,50414445000.0,45993680000.0,38402798000.0,40024400000.0
2046.0,47715320000.0,43442040000.0,36650807000.0,37816013000.0
2047.0,45461520000.0,41302946000.0,35661650000.0,35542630000.0
2048.0,43074350000.0,39333126000.0,34385072000.0,33511504000.0
2049.0,40882030000.0,37128987000.0,33088719000.0,31828175000.0
2050.0,38838923000.0,35346096000.0,31743551000.0,29777558000.0
