time,GFDL-ESM4,MRI-ESM2-0,CAMS-CSM1-0,EC-EARTH3-VEG
2000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0
2001.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0
2002.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0
2003.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0
2004.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0
2005.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0
2006.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0
2007.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0
2008.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0
2009.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0
2010.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0
2011.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0
2012.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0
2013.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0
2014.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0
2015.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0
2016.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0
2017.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0
2018.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0
2019.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0
2020.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0
2021.0,88942660000.0,88293460000.0,89698600000.0,87938390000.0
2022.0,88431460000.0,82511070000.0,91674750000.0,81908924000.0
2023.0,88165140000.0,79122280000.0,89611990000.0,77714030000.0
2024.0,85754640000.0,74960570000.0,87054600000.0,77205500000.0
2025.0,84521510000.0,71614180000.0,88125964000.0,72726680000.0
2026.0,83358690000.0,66233400000.0,85518340000.0,71385326000.0
2027.0,80713720000.0,63430824000.0,84737960000.0,69102450000.0
2028.0,79489655000.0,59406574000.0,83565060000.0,65477580000.0
2029.0,77504990000.0,55880960000.0,84298760000.0,63564530000.0
2030.0,75183464000.0,53838960000.0,82978970000.0,60161274000.0
2031.0,73508310000.0,52192997000.0,82347480000.0,59565412000.0
2032.0,70016160000.0,50158320000.0,81878170000.0,57954746000.0
2033.0,67151220000.0,47540765000.0,79357660000.0,55827747000.0
2034.0,65432900000.0,43527217000.0,77408190000.0,54559478000.0
2035.0,64652538000.0,41803203000.0,78815110000.0,51886526000.0
2036.0,63463703000.0,38709590000.0,79855450000.0,50119460000.0
2037.0,62263673000.0,35954800000.0,77489850000.0,48034177000.0
2038.0,61499728000.0,35081617000.0,78528480000.0,47949816000.0
2039.0,59899020000.0,32921866000.0,78008710000.0,46458122000.0
2040.0,57835823000.0,30921587000.0,77262680000.0,46415163000.0
2041.0,55840928000.0,29205960000.0,75902650000.0,45081264000.0
2042.0,55752462000.0,27438025000.0,76943340000.0,45748593000.0
2043.0,54131196000.0,26809450000.0,76256230000.0,44098236000.0
2044.0,52731064000.0,25980776000.0,75500040000.0,43002880000.0
2045.0,48939164000.0,25998530000.0,74312310000.0,42571390000.0
2046.0,48137458000.0,24510972000.0,74090320000.0,40878870000.0
2047.0,46685503000.0,24628881000.0,72673760000.0,39784880000.0
2048.0,46507400000.0,24004330000.0,70726490000.0,38484267000.0
