time,ACCESS-ESM1-5,EC-EARTH3-VEG,EC-EARTH3,ACCESS-CM2,INM-CM5-0,INM-CM4-8,IPSL-CM6A-LR,NORESM2-MM,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,FGOALS-F3-L,BCC-CSM2-MR,CANESM5,MRI-ESM2-0,GFDL-ESM4,CESM2
2000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0
2001.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0
2002.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0
2003.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0
2004.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0
2005.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0
2006.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0
2007.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0
2008.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0
2009.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0
2010.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0
2011.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0
2012.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0
2013.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0
2014.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0
2015.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0
2016.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0
2017.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0
2018.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0
2019.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0
2020.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0
2021.0,87436900000.0,88595590000.0,87789300000.0,89216080000.0,89563110000.0,88652100000.0,88722510000.0,84702355000.0,88192660000.0,90234840000.0,86059930000.0,88482850000.0,88931880000.0,89591880000.0,88460984000.0,89763920000.0,88499044000.0
2022.0,85194736000.0,84589420000.0,85831100000.0,87467210000.0,89419320000.0,86737140000.0,85435556000.0,81017300000.0,89276140000.0,87172506000.0,83377550000.0,84481920000.0,87631310000.0,86181085000.0,85356460000.0,87637570000.0,89437910000.0
2023.0,80090300000.0,84390760000.0,83159660000.0,84322820000.0,86679760000.0,85050294000.0,82093500000.0,74868650000.0,87876080000.0,85430230000.0,80788955000.0,84699350000.0,86112550000.0,85769570000.0,82024710000.0,85545000000.0,83802500000.0
2024.0,78405680000.0,82453450000.0,78797800000.0,81017580000.0,84759355000.0,81276990000.0,79828300000.0,72609360000.0,86110500000.0,83249820000.0,77665260000.0,81147860000.0,83059460000.0,81085630000.0,76885540000.0,81247500000.0,81287650000.0
2025.0,80195350000.0,82498510000.0,75159740000.0,75376520000.0,81927100000.0,80710580000.0,77698286000.0,70981120000.0,85909830000.0,81644724000.0,76460190000.0,77826790000.0,82344034000.0,79424864000.0,73636050000.0,75516220000.0,81006880000.0
2026.0,79088340000.0,77406495000.0,74372700000.0,71062280000.0,78072710000.0,81390130000.0,77505460000.0,68511846000.0,84424950000.0,78479780000.0,72715580000.0,73764150000.0,78434796000.0,75834880000.0,71612110000.0,72941060000.0,79491160000.0
2027.0,79194505000.0,75622900000.0,67668894000.0,68382800000.0,73892780000.0,81977836000.0,76200470000.0,67335100000.0,82982800000.0,78180900000.0,70267430000.0,71013650000.0,76654710000.0,73411560000.0,68158636000.0,71410180000.0,77233890000.0
2028.0,77679220000.0,71165570000.0,67210453000.0,66264380000.0,72040920000.0,78247320000.0,74395700000.0,66647396000.0,84028735000.0,77213510000.0,69528730000.0,69864080000.0,72713626000.0,70175840000.0,66342105000.0,68693310000.0,75807310000.0
2029.0,77246980000.0,69849506000.0,66263757000.0,63881220000.0,71859560000.0,76330490000.0,71030890000.0,65345356000.0,83316950000.0,78283055000.0,69407120000.0,67966680000.0,71262150000.0,67758526000.0,62015336000.0,66526810000.0,78501970000.0
2030.0,74267180000.0,68780720000.0,67154756000.0,59142590000.0,69255570000.0,75349050000.0,70318950000.0,64441684000.0,84268210000.0,83604350000.0,67511538000.0,63910650000.0,69440635000.0,64999170000.0,59426427000.0,63974113000.0,73354820000.0
2031.0,72018070000.0,65592443000.0,66684617000.0,54621570000.0,66071770000.0,71304640000.0,68585120000.0,64627626000.0,79815440000.0,79798780000.0,68514140000.0,64730420000.0,67317477000.0,62487240000.0,55038636000.0,60967900000.0,70157705000.0
2032.0,69902620000.0,63623143000.0,63989580000.0,52278480000.0,63546663000.0,70265070000.0,67406574000.0,62658450000.0,78983820000.0,78630660000.0,68746480000.0,64628716000.0,66347590000.0,62812287000.0,52013523000.0,58827043000.0,67564450000.0
2033.0,69477070000.0,60076392000.0,62018360000.0,50311820000.0,60217647000.0,70446400000.0,66244920000.0,59649647000.0,76695570000.0,78018640000.0,68771635000.0,63506730000.0,65583456000.0,61346610000.0,50200093000.0,57060217000.0,65425265000.0
