time,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0,GFDL-ESM4
2000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0
2001.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0
2002.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0
2003.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0
2004.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0
2005.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0
2006.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0
2007.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0
2008.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0
2009.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0
2010.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0
2011.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0
2012.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0
2013.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0
2014.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0
2015.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0
2016.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0
2017.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0
2018.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0
2019.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0
2020.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0
2021.0,47400124000.0,46532510000.0,46892130000.0,47562592000.0
2022.0,48037080000.0,43205750000.0,44995723000.0,46562406000.0
2023.0,48322990000.0,41796110000.0,43854033000.0,45381640000.0
2024.0,47008260000.0,39636115000.0,42426620000.0,42852803000.0
2025.0,46687920000.0,38536680000.0,42707063000.0,40754586000.0
2026.0,46416703000.0,36999262000.0,42174240000.0,39237652000.0
2027.0,46620586000.0,36054393000.0,41850343000.0,38073876000.0
2028.0,46339203000.0,34171658000.0,41074614000.0,36961804000.0
2029.0,46269800000.0,33100329000.0,40375095000.0,37017633000.0
2030.0,45624037000.0,31551320000.0,38430736000.0,36891110000.0
2031.0,45457568000.0,30615620000.0,37077380000.0,35962868000.0
