time,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,IPSL-CM6A-LR,ACCESS-CM2,MPI-ESM1-2-HR,NORESM2-MM,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3,ACCESS-ESM1-5,MRI-ESM2-0,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,CANESM5,CESM2
2000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0
2001.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0
2002.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0
2003.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0
2004.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0
2005.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0
2006.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0
2007.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0
2008.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0
2009.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0
2010.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0
2011.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0
2012.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0
2013.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0
2014.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0
2015.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0
2016.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0
2017.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0
2018.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0
2019.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0
2020.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0
2021.0,46586585000.0,48157790000.0,46220935000.0,46673867000.0,48251160000.0,46629550000.0,47708680000.0,46809900000.0,47150610000.0,47125283000.0,47487894000.0,47319278000.0,46803290000.0,48419967000.0,47237470000.0,45890118000.0,47986520000.0
2022.0,45916630000.0,46669066000.0,44565885000.0,45582602000.0,46699254000.0,46619808000.0,46101370000.0,46407260000.0,46094480000.0,46985966000.0,46541427000.0,45967536000.0,46226940000.0,48026268000.0,46775017000.0,44457656000.0,45517914000.0
2023.0,43647283000.0,46053855000.0,42774200000.0,43522590000.0,45834480000.0,45188567000.0,45712355000.0,45062676000.0,45214510000.0,46176860000.0,44767404000.0,45032730000.0,45235610000.0,46908120000.0,45031318000.0,44480987000.0,44614230000.0
2024.0,42836220000.0,45106920000.0,41620080000.0,42439365000.0,44499984000.0,44241650000.0,44273920000.0,45007466000.0,42802233000.0,46023037000.0,44341015000.0,43377283000.0,45370372000.0,46327415000.0,43989295000.0,43118764000.0,43241740000.0
2025.0,41586710000.0,42527044000.0,40861490000.0,41598906000.0,42629390000.0,43906560000.0,43499500000.0,44616410000.0,42595754000.0,45078130000.0,42868450000.0,43550855000.0,44284360000.0,45735195000.0,41362862000.0,41511817000.0,42533245000.0
2026.0,42184110000.0,41555374000.0,38459430000.0,39586320000.0,42367058000.0,42123580000.0,42456285000.0,43825603000.0,41600094000.0,41840095000.0,41919353000.0,41409260000.0,43237077000.0,45202450000.0,39962743000.0,40582680000.0,41666757000.0
2027.0,40731197000.0,39292117000.0,37072080000.0,38434464000.0,41245090000.0,40143460000.0,41502982000.0,42088722000.0,39880160000.0,38857880000.0,39735900000.0,39945757000.0,42800500000.0,44399616000.0,40817110000.0,40652435000.0,40669530000.0
2028.0,39379653000.0,39439000000.0,36343157000.0,37873963000.0,39476900000.0,38758060000.0,41397105000.0,40952893000.0,37580850000.0,37613683000.0,39303807000.0,39242908000.0,42515943000.0,42258457000.0,41121665000.0,39013392000.0,38240230000.0
2029.0,38629175000.0,37787040000.0,35366523000.0,36981957000.0,37364605000.0,38770983000.0,40458396000.0,40546173000.0,38645146000.0,36768250000.0,38690746000.0,39045030000.0,40537490000.0,40871383000.0,39070216000.0,38192357000.0,36845965000.0
2030.0,38635553000.0,37074612000.0,35092484000.0,36293284000.0,36980210000.0,36509730000.0,39688626000.0,40575934000.0,38456852000.0,34133887000.0,37886046000.0,38424097000.0,39194608000.0,41280650000.0,38071132000.0,37133520000.0,36467585000.0
2031.0,37956805000.0,36241360000.0,34064781000.0,36136650000.0,35809247000.0,34958490000.0,38996247000.0,39220535000.0,37065347000.0,31938314000.0,36681360000.0,36619383000.0,39503470000.0,41283355000.0,37247246000.0,35422953000.0,35148722000.0
2032.0,36434465000.0,35425133000.0,33257261000.0,35005596000.0,35760505000.0,33884748000.0,38921548000.0,38520586000.0,35914846000.0,30539594000.0,35763986000.0,35357954000.0,38512562000.0,40950530000.0,36714590000.0,35591496000.0,34164080000.0
2033.0,34396148000.0,34624230000.0,32167018000.0,34074110000.0,34139947000.0,33345331000.0,38672732000.0,38036970000.0,36291903000.0,30009797000.0,34773967000.0,33865714000.0,38236164000.0,39657087000.0,35131957000.0,34344344000.0,32874242000.0
2034.0,34258741000.0,34504704000.0,31130638000.0,33528260000.0,33498372000.0,32880181000.0,38456123000.0,36917200000.0,37410690000.0,29795467000.0,34784514000.0,33028542000.0,37630964000.0,38881220000.0,34981090000.0,33357904000.0,32777488000.0
2035.0,32893753000.0,34118410000.0,29176529000.0,32982026000.0,33455372000.0,32066703000.0,37219488000.0,35660340000.0,37078040000.0,28884462000.0,33695050000.0,32599237000.0,36297986000.0,38109490000.0,34182960000.0,32766470000.0,31144483000.0
2036.0,31746263000.0,31999955000.0,29102879000.0,31668445000.0,31827300000.0,32242640000.0,36423557000.0,35037037000.0,35477140000.0,28136255000.0,32584835000.0,31279127000.0,35656716000.0,36255457000.0,34128497000.0,32107495000.0,29831733000.0
2037.0,31385442000.0,31639308000.0,28819575000.0,30486833000.0,29631414000.0,31461478000.0,35804787000.0,34238312000.0,33725049000.0,27802106000.0,32764174000.0,30617397000.0,36097524000.0,36169940000.0,32643609000.0,31388242000.0,29512362000.0
2038.0,29799508000.0,31462146000.0,28191600000.0,30036030000.0,29229210000.0,31518300000.0,36214700000.0,33086480000.0,34061335000.0,26498687000.0,32444404000.0,29861528000.0,35273980000.0,34717876000.0,31899830000.0,30197640000.0,28486232000.0
2039.0,29179260000.0,30936353000.0,27454034000.0,29200810000.0,28870404000.0,30956888000.0,35011457000.0,31364550000.0,33443774000.0,24653270000.0,32296075000.0,29891338000.0,34068040000.0,33193525000.0,30700794000.0,29193056000.0,27908549000.0
2040.0,29136722000.0,31521405000.0,26514502000.0,28496546000.0,28377743000.0,30454395000.0,34469130000.0,30728227000.0,33692291000.0,24040397000.0,31653370000.0,29646025000.0,33917344000.0,32627840000.0,30129664000.0,29601036000.0,26958430000.0
2041.0,28432153000.0,30877043000.0,26107898000.0,28005437000.0,28306274000.0,30206736000.0,33384340000.0,29971114000.0,33119666000.0,23268379000.0,30476777000.0,29551387000.0,33854490000.0,32691610000.0,28931002000.0,28614808000.0,25594260000.0
2042.0,28020800000.0,30858842000.0,25545777000.0,27048167000.0,27184046000.0,29749555000.0,33236793000.0,29125745000.0,32406274000.0,22927337000.0,30086947000.0,28307704000.0,33506286000.0,32275390000.0,29060428000.0,28291617000.0,25020563000.0
2043.0,28219185000.0,30382533000.0,25700060000.0,26855856000.0,26351157000.0,29937713000.0,32358156000.0,28056297000.0,31323060000.0,21591988000.0,29073773000.0,27666852000.0,33230453000.0,31811586000.0,28811553000.0,27487025000.0,24794774000.0
2044.0,27798403000.0,30619834000.0,25768753000.0,25658170000.0,25535320000.0,29481296000.0,31235370000.0,27230966000.0,31284675000.0,20565494000.0,27933256000.0,26807388000.0,32749158000.0,30881597000.0,27803780000.0,26931825000.0,23697822000.0
2045.0,27798163000.0,29326404000.0,24870212000.0,25612366000.0,24899142000.0,29774596000.0,31527643000.0,26473044000.0,31181226000.0,20435000000.0,27364649000.0,26476870000.0,31811068000.0,30455874000.0,28048234000.0,26857617000.0,22753600000.0
2046.0,27288627000.0,29930530000.0,24447040000.0,24391432000.0,24021290000.0,30157570000.0,31550863000.0,25117772000.0,30627117000.0,19977943000.0,26464965000.0,26263597000.0,31685640000.0,29982417000.0,26763040000.0,25559350000.0,22195270000.0
2047.0,26297575000.0,29373389000.0,24512422000.0,23857498000.0,22626597000.0,29713992000.0,30747392000.0,24227447000.0,29819695000.0,19705686000.0,25276090000.0,25799481000.0,31116425000.0,28655340000.0,25731050000.0,23617214000.0,22125701000.0
2048.0,26377368000.0,29300138000.0,24422248000.0,23559140000.0,21729964000.0,28971393000.0,30253318000.0,23390534000.0,29335804000.0,19607749000.0,24149522000.0,24661262000.0,30933647000.0,28563628000.0,26125007000.0,23123216000.0,21728387000.0
2049.0,25978000000.0,29449304000.0,24524640000.0,23229735000.0,21003248000.0,28116040000.0,29577828000.0,23074228000.0,29618115000.0,19368524000.0,23529249000.0,24666063000.0,31964391000.0,28307382000.0,25985782000.0,22184137000.0,20626733000.0
2050.0,25558077000.0,30010628000.0,24005192000.0,22302714000.0,21015260000.0,27008356000.0,28801788000.0,22249732000.0,28839510000.0,18620600000.0,22931118000.0,24860942000.0,31394464000.0,28411146000.0,25927985000.0,22148667000.0,20047737000.0
2051.0,25220706000.0,29319576000.0,23750195000.0,21762208000.0,20663292000.0,26158210000.0,30616812000.0,21459814000.0,29019005000.0,18341800000.0,22336487000.0,24884185000.0,31412742000.0,28298707000.0,25826615000.0,20638923000.0,19828920000.0
2052.0,24403175000.0,29188973000.0,23762895000.0,21184470000.0,19556702000.0,25953442000.0,30443141000.0,20490914000.0,29387807000.0,18029290000.0,22050953000.0,25059938000.0,31402359000.0,27609674000.0,25196704000.0,19507218000.0,19857768000.0
2053.0,24251152000.0,28772463000.0,22982773000.0,20632826000.0,18048582000.0,25762410000.0,29334071000.0,19822360000.0,28691820000.0,17273397000.0,21505528000.0,25438510000.0,31115753000.0,26931313000.0,25000700000.0,18460045000.0,19512640000.0
2054.0,24409200000.0,28774212000.0,22510277000.0,20637848000.0,18195737000.0,25475774000.0,28298000000.0,18977370000.0,28788863000.0,17195692000.0,20608086000.0,24832948000.0,30665892000.0,27014748000.0,25549052000.0,17613216000.0,19579394000.0
2055.0,24568422000.0,28525690000.0,22163823000.0,20155767000.0,17430161000.0,26019640000.0,28099109000.0,18569697000.0,29210253000.0,16955286000.0,20981115000.0,24475443000.0,30226383000.0,26210456000.0,25940066000.0,16787401000.0,18983295000.0
