time,CESM2,INM-CM5-0,INM-CM4-8,MRI-ESM2-0,EC-EARTH3-VEG,EC-EARTH3,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,NORESM2-MM,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4
2000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0
2001.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0
2002.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0
2003.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0
2004.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0
2005.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0
2006.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0
2007.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0
2008.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0
2009.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0
2010.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0
2011.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0
2012.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0
2013.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0
2014.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0
2015.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0
2016.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0
2017.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0
2018.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0
2019.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0
2020.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0
2021.0,47500186000.0,47911535000.0,48024250000.0,47550435000.0,47700400000.0,46443774000.0,47544283000.0,46889087000.0,46396396000.0,46626210000.0,48426420000.0,47064973000.0,47728173000.0
2022.0,46784274000.0,45810737000.0,48702400000.0,45217014000.0,48024960000.0,45332380000.0,46443240000.0,44471435000.0,46456762000.0,46058648000.0,47768170000.0,45514990000.0,46232550000.0
2023.0,46629454000.0,45208200000.0,47458440000.0,45883370000.0,48275290000.0,44083438000.0,45149684000.0,44468940000.0,44904247000.0,44993460000.0,46476886000.0,45446996000.0,45470294000.0
2024.0,45708990000.0,44378420000.0,47324967000.0,44170210000.0,47482470000.0,43624948000.0,44194390000.0,43725623000.0,43626877000.0,43476124000.0,45323403000.0,43723796000.0,44568244000.0
2025.0,44407886000.0,43795030000.0,44461048000.0,41520500000.0,46311800000.0,40976390000.0,44004585000.0,42297350000.0,42798195000.0,42268640000.0,44178980000.0,42120364000.0,43260596000.0
2026.0,42413326000.0,41862402000.0,44949488000.0,40331440000.0,46013230000.0,40638517000.0,42479587000.0,42818822000.0,40955450000.0,41993613000.0,41423397000.0,41852810000.0,42946480000.0
2027.0,40145924000.0,40738120000.0,44284068000.0,39332135000.0,46024704000.0,39719326000.0,41715280000.0,42389720000.0,41444258000.0,41225368000.0,39595630000.0,40562643000.0,42035905000.0
2028.0,39625480000.0,40844580000.0,43949003000.0,37642707000.0,45513850000.0,39849497000.0,41152640000.0,42098780000.0,41065746000.0,40754282000.0,39431107000.0,39657710000.0,41920213000.0
2029.0,38632874000.0,41022120000.0,42888960000.0,36663812000.0,44833750000.0,37908394000.0,39964496000.0,41803633000.0,41210020000.0,41578516000.0,38065340000.0,37822386000.0,40908005000.0
2030.0,37478162000.0,40741724000.0,41071780000.0,35042087000.0,43472302000.0,35407647000.0,38267994000.0,41337102000.0,39676540000.0,40131610000.0,37520966000.0,36961250000.0,40064844000.0
2031.0,37633300000.0,40042234000.0,40830288000.0,34783343000.0,42221847000.0,34484986000.0,38450220000.0,40884790000.0,39812000000.0,38684213000.0,37002478000.0,37265450000.0,38809285000.0
2032.0,36629750000.0,40353747000.0,39318274000.0,34108955000.0,42679693000.0,32912888000.0,38752633000.0,39846826000.0,39508600000.0,37781148000.0,36014494000.0,36327535000.0,37104144000.0
2033.0,35495293000.0,40703087000.0,38084186000.0,32852435000.0,42524303000.0,32259900000.0,37074800000.0,38315220000.0,39017116000.0,37110610000.0,34659217000.0,35274945000.0,35373420000.0
2034.0,34302441000.0,39092520000.0,35690942000.0,32249776000.0,42412610000.0,31269548000.0,35835113000.0,37367220000.0,39957615000.0,35766310000.0,34138590000.0,33954090000.0,34586972000.0
2035.0,34105220000.0,38404256000.0,36113430000.0,31051825000.0,41537606000.0,30404330000.0,35153506000.0,37484253000.0,40266818000.0,34880230000.0,33210348000.0,33191447000.0,34226490000.0
2036.0,32808040000.0,38232105000.0,34760086000.0,30437294000.0,39790453000.0,28799427000.0,33946573000.0,36714058000.0,39328350000.0,34235566000.0,32370416000.0,32047985000.0,34311526000.0
2037.0,31709911000.0,37854994000.0,33506330000.0,29158896000.0,40435266000.0,28089244000.0,33189618000.0,35654660000.0,38717500000.0,34178273000.0,32450638000.0,30582764000.0,32636563000.0
2038.0,31655903000.0,37046284000.0,32078817000.0,28138322000.0,40917443000.0,27431740000.0,32283154000.0,34043750000.0,37418004000.0,34263073000.0,31185924000.0,30330330000.0,30975144000.0
