time,CAMS-CSM1-0,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0
2000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0
2001.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0
2002.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0
2003.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0
2004.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0
2005.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0
2006.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0
2007.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0
2008.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0
2009.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0
2010.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0
2011.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0
2012.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0
2013.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0
2014.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0
2015.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0
2016.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0
2017.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0
2018.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0
2019.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0
2020.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0
2021.0,3076610000000.0,3057746200000.0,3062461000000.0,3060038400000.0
2022.0,3059329000000.0,3030352700000.0,3034330000000.0,3041473900000.0
2023.0,3058147000000.0,3021177600000.0,3004969000000.0,3004269900000.0
2024.0,3037625000000.0,3006989900000.0,2977977600000.0,2977264600000.0
2025.0,3017702000000.0,2981303200000.0,2943176700000.0,2941153000000.0
2026.0,3003371500000.0,2942931300000.0,2917540300000.0,2904866000000.0
2027.0,2992585600000.0,2915054600000.0,2903372700000.0,2861014500000.0
2028.0,2985044000000.0,2889513700000.0,2865692400000.0,2815220800000.0
2029.0,2963420500000.0,2861667000000.0,2846390700000.0,2781691500000.0
2030.0,2933133400000.0,2837491500000.0,2808588500000.0,2751611000000.0
2031.0,2894665400000.0,2826089800000.0,2788590600000.0,2710191200000.0
