time,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM
2000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0
2001.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0
2002.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0
2003.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0
2004.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0
2005.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0
2006.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0
2007.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0
2008.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0
2009.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0
2010.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0
2011.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0
2012.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0
2013.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0
2014.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0
2015.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0
2016.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0
2017.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0
2018.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0
2019.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0
2020.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0
2021.0,3050888800000.0,3082314800000.0,3060189600000.0,3067336000000.0
2022.0,3005693000000.0,3066229200000.0,3039517200000.0,3032350700000.0
2023.0,2946724500000.0,3059727700000.0,2989592700000.0,2990403000000.0
2024.0,2888642300000.0,3027527500000.0,2950874300000.0,2956843300000.0
2025.0,2832681100000.0,3009544200000.0,2910597400000.0,2924448300000.0
2026.0,2760465400000.0,2987074800000.0,2884221300000.0,2879909800000.0
2027.0,2706512000000.0,2957387200000.0,2838634700000.0,2859034000000.0
2028.0,2656455400000.0,2940956300000.0,2801622800000.0,2816524000000.0
2029.0,2589643200000.0,2914280000000.0,2754358000000.0,2788016300000.0
2030.0,2527979400000.0,2888844400000.0,2718547000000.0,2747055000000.0
2031.0,2459488200000.0,2871146000000.0,2688194400000.0,2726069000000.0
