time,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CESM2,EC-EARTH3,NORESM2-MM,INM-CM4-8,INM-CM5-0
2000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0
2001.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0
2002.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0
2003.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0
2004.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0
2005.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0
2006.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0
2007.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0
2008.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0
2009.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0
2010.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0
2011.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0
2012.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0
2013.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0
2014.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0
2015.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0
2016.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0
2017.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0
2018.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0
2019.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0
2020.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0
2021.0,2762678700000.0,2760667000000.0,2768801000000.0,2761886500000.0,2753137200000.0,2769104100000.0,2776255000000.0,2755428000000.0,2766810600000.0,2746170000000.0,2768650000000.0,2754932400000.0,2759177800000.0
2022.0,2739090200000.0,2761846700000.0,2747858400000.0,2762579600000.0,2742336600000.0,2760599000000.0,2768332400000.0,2755035400000.0,2749527200000.0,2705082800000.0,2746116000000.0,2747718200000.0,2747917100000.0
2023.0,2716073700000.0,2742187700000.0,2725571700000.0,2749914000000.0,2717115500000.0,2738233500000.0,2746174000000.0,2745627000000.0,2733826600000.0,2671646600000.0,2722099600000.0,2753197000000.0,2731759400000.0
2024.0,2706954000000.0,2740821400000.0,2701379800000.0,2703102000000.0,2699570700000.0,2730612800000.0,2758113800000.0,2736656200000.0,2729561800000.0,2656226200000.0,2713874000000.0,2736145000000.0,2725489100000.0
2025.0,2687044000000.0,2730792600000.0,2675541300000.0,2701655800000.0,2686732700000.0,2728682600000.0,2747523000000.0,2724908500000.0,2710758200000.0,2619952600000.0,2704437700000.0,2738284400000.0,2709673700000.0
2026.0,2651961700000.0,2729901600000.0,2664896100000.0,2696407700000.0,2674865700000.0,2744285700000.0,2729484500000.0,2690279000000.0,2709996000000.0,2587319000000.0,2687777400000.0,2722222600000.0,2693732500000.0
2027.0,2626421300000.0,2724470500000.0,2645388200000.0,2688434300000.0,2655316300000.0,2722587700000.0,2704584500000.0,2672857400000.0,2693460100000.0,2550341000000.0,2693707600000.0,2709484000000.0,2687672800000.0
2028.0,2614285000000.0,2701785000000.0,2619827600000.0,2662492800000.0,2630648600000.0,2715638800000.0,2693846500000.0,2663264300000.0,2672671600000.0,2526051000000.0,2687892200000.0,2699295200000.0,2675158800000.0
2029.0,2578616000000.0,2689198200000.0,2596819200000.0,2647237900000.0,2597444400000.0,2699904700000.0,2678769300000.0,2658836400000.0,2657323300000.0,2496642700000.0,2678649500000.0,2681214600000.0,2657533600000.0
2030.0,2546710300000.0,2680125000000.0,2575224000000.0,2644361300000.0,2581050000000.0,2694847400000.0,2659817400000.0,2642609400000.0,2653924600000.0,2453805200000.0,2669069000000.0,2655584800000.0,2624660000000.0
2031.0,2525429500000.0,2653575200000.0,2570258700000.0,2630184000000.0,2556603000000.0,2673238300000.0,2641437000000.0,2618533300000.0,2632476000000.0,2414555000000.0,2655968300000.0,2632558600000.0,2609950000000.0
