time,CESM2-WACCM,ACCESS-CM2,CAMS-CSM1-0,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,IPSL-CM6A-LR,INM-CM4-8,NORESM2-MM,INM-CM5-0,EC-EARTH3,CESM2,GFDL-ESM4,MPI-ESM1-2-HR,TAIESM1,BCC-CSM2-MR,FGOALS-F3-L,CMCC-CM2-SR5,MRI-ESM2-0
2000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0
2001.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0
2002.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0
2003.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0
2004.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0
2005.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0
2006.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0
2007.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0
2008.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0
2009.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0
2010.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0
2011.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0
2012.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0
2013.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0
2014.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0
2015.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0
2016.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0
2017.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0
2018.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0
2019.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0
2020.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0
2021.0,2755712300000.0,2767857600000.0,2764748000000.0,2758174300000.0,2755769700000.0,2752767600000.0,2760795200000.0,2769077100000.0,2765632800000.0,2752404800000.0,2746777000000.0,2748957900000.0,2754271000000.0,2743119400000.0,2773538800000.0,2758530000000.0,2774312400000.0,2773682000000.0,2766120200000.0
2022.0,2739008400000.0,2761572500000.0,2756430000000.0,2727953300000.0,2738585900000.0,2748102000000.0,2760153000000.0,2757227000000.0,2766445200000.0,2729220200000.0,2708040600000.0,2723105200000.0,2755004000000.0,2743593900000.0,2746990200000.0,2740634000000.0,2772647300000.0,2765717500000.0,2757148300000.0
2023.0,2717633700000.0,2739429400000.0,2751911000000.0,2691150600000.0,2733700300000.0,2716396700000.0,2764512000000.0,2734871000000.0,2747413800000.0,2727699000000.0,2682043200000.0,2705113200000.0,2741429000000.0,2729282400000.0,2717708000000.0,2727380800000.0,2764986000000.0,2746559800000.0,2726650400000.0
2024.0,2697665700000.0,2716380200000.0,2758890200000.0,2657844000000.0,2736502600000.0,2702501000000.0,2747104200000.0,2731434000000.0,2741725800000.0,2726924400000.0,2637510700000.0,2689852500000.0,2721869000000.0,2705285400000.0,2723121000000.0,2714304500000.0,2749817400000.0,2717348500000.0,2703979200000.0
2025.0,2677800700000.0,2707888500000.0,2749507300000.0,2621468800000.0,2726103000000.0,2681695400000.0,2730423700000.0,2714835600000.0,2722819000000.0,2715860900000.0,2604236800000.0,2679289700000.0,2706670400000.0,2687309200000.0,2709592200000.0,2695455800000.0,2737319700000.0,2694789500000.0,2689193200000.0
2026.0,2648757000000.0,2724362200000.0,2743070000000.0,2575223500000.0,2704765400000.0,2658153000000.0,2703474000000.0,2699257000000.0,2712411800000.0,2714345100000.0,2589762800000.0,2658256600000.0,2698274000000.0,2649986000000.0,2688856000000.0,2682530300000.0,2723178300000.0,2700468800000.0,2667753200000.0
