time,MRI-ESM2-0,CAMS-CSM1-0,GFDL-ESM4,EC-EARTH3-VEG
2000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0
2001.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0
2002.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0
2003.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0
2004.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0
2005.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0
2006.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0
2007.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0
2008.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0
2009.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0
2010.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0
2011.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0
2012.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0
2013.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0
2014.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0
2015.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0
2016.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0
2017.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0
2018.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0
2019.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0
2020.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0
2021.0,722170150000.0,729256030000.0,728555260000.0,719606050000.0
2022.0,702676500000.0,713795440000.0,736051300000.0,707931800000.0
2023.0,687220400000.0,696106600000.0,721721600000.0,704197750000.0
2024.0,667060700000.0,677984300000.0,707310200000.0,694220800000.0
2025.0,652249400000.0,666558460000.0,683107750000.0,683209850000.0
2026.0,638309040000.0,658417450000.0,675781540000.0,674475900000.0
2027.0,624069400000.0,648526000000.0,662367100000.0,656780400000.0
2028.0,600365300000.0,639635000000.0,648087340000.0,650012700000.0
2029.0,586143560000.0,631429700000.0,644509500000.0,638495000000.0
2030.0,570332800000.0,621267800000.0,634467300000.0,633823760000.0
2031.0,552542340000.0,612449400000.0,623867660000.0,629491200000.0
2032.0,534550120000.0,609633100000.0,610033100000.0,623585800000.0
2033.0,531076550000.0,598377960000.0,603449460000.0,610101760000.0
2034.0,522871340000.0,594428170000.0,587969660000.0,602067300000.0
2035.0,515619700000.0,583492960000.0,574426050000.0,583668860000.0
2036.0,499938660000.0,575601640000.0,564960560000.0,578927900000.0
2037.0,495263700000.0,566699400000.0,552724660000.0,567239100000.0
2038.0,485619240000.0,558921400000.0,542876270000.0,557239570000.0
2039.0,475701740000.0,550317600000.0,530609180000.0,552418000000.0
2040.0,463740860000.0,535269900000.0,522342660000.0,541632820000.0
2041.0,456574100000.0,526407340000.0,509862450000.0,526087160000.0
2042.0,446139760000.0,522433300000.0,498234330000.0,514475900000.0
2043.0,436581240000.0,518974930000.0,492597580000.0,506139380000.0
2044.0,427051320000.0,516418400000.0,487462760000.0,503728730000.0
2045.0,425174400000.0,518350600000.0,484278000000.0,495939130000.0
2046.0,418481440000.0,508915600000.0,475635740000.0,488522120000.0
2047.0,413963060000.0,497696930000.0,468419000000.0,482650620000.0
2048.0,403555780000.0,493967180000.0,456903430000.0,478351400000.0
2049.0,403849600000.0,487293100000.0,455657850000.0,474630800000.0
2050.0,396683050000.0,479229580000.0,449659140000.0,472434740000.0
2051.0,391131230000.0,477152700000.0,450960360000.0,466427970000.0
2052.0,385806570000.0,469057440000.0,443223470000.0,460174460000.0
2053.0,376253450000.0,464341900000.0,431277600000.0,451401680000.0
2054.0,371997300000.0,467249230000.0,420265400000.0,451927180000.0
2055.0,368063680000.0,467104300000.0,419031150000.0,449150700000.0
2056.0,366985500000.0,467766250000.0,407817450000.0,446053680000.0
2057.0,362331570000.0,463678730000.0,399647670000.0,438757030000.0
2058.0,356523250000.0,462775030000.0,393284600000.0,435925250000.0
2059.0,351266730000.0,454439900000.0,382770940000.0,435513100000.0
2060.0,345961300000.0,454677300000.0,379133200000.0,423384550000.0
2061.0,342767080000.0,458465540000.0,375627120000.0,419165630000.0
