time,NORESM2-MM,ACCESS-ESM1-5,IPSL-CM6A-LR,EC-EARTH3-VEG,GFDL-ESM4,CESM2,ACCESS-CM2,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3,MRI-ESM2-0,CANESM5,INM-CM4-8,INM-CM5-0,BCC-CSM2-MR,FGOALS-F3-L,MPI-ESM1-2-HR
2000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0
2001.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0
2002.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0
2003.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0
2004.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0
2005.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0
2006.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0
2007.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0
2008.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0
2009.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0
2010.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0
2011.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0
2012.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0
2013.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0
2014.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0
2015.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0
2016.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0
2017.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0
2018.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0
2019.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0
2020.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0
2021.0,717974900000.0,716043260000.0,720105960000.0,727269600000.0,725153350000.0,721380700000.0,720864000000.0,712804900000.0,725793200000.0,717301100000.0,716135800000.0,756732660000.0,724186500000.0,729452400000.0,709362000000.0,718205800000.0,725324800000.0
2022.0,699231960000.0,696003500000.0,706926540000.0,713281900000.0,708727400000.0,701241500000.0,707514000000.0,696970200000.0,713695600000.0,710183800000.0,706282700000.0,788271000000.0,713783200000.0,720184100000.0,700048540000.0,707870600000.0,719026000000.0
2023.0,686312800000.0,687917200000.0,698847400000.0,701594140000.0,694068600000.0,688760360000.0,696551740000.0,685929660000.0,704335450000.0,700634760000.0,693314500000.0,766119250000.0,704406400000.0,712704460000.0,696891900000.0,695472200000.0,708089900000.0
