time,EC-EARTH3-VEG,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,CMCC-CM2-SR5,MRI-ESM2-0,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR,CESM2,NORESM2-MM,EC-EARTH3,INM-CM4-8,INM-CM5-0
2000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0
2021.0,70325756000.0,72218310000.0,71232460000.0,74307830000.0,75579660000.0,72933370000.0,71929315000.0,75150840000.0,69440080000.0,70547570000.0,68262340000.0,73710090000.0,71196180000.0,73694405000.0
2022.0,69572370000.0,71573230000.0,68786725000.0,74833830000.0,74934530000.0,72722830000.0,67230960000.0,73063290000.0,66647620000.0,66504204000.0,66023944000.0,74398630000.0,68068192000.0,73860360000.0
2023.0,69041000000.0,67859722000.0,67651195000.0,73819040000.0,73207150000.0,69068570000.0,65229230000.0,68932166000.0,63919350000.0,68001920000.0,64194770000.0,72688630000.0,66880963000.0,72591830000.0
2024.0,67915395000.0,64332260000.0,66572070000.0,71117700000.0,70717250000.0,65812136000.0,66779780000.0,68589613000.0,62618456000.0,68412305000.0,62431486000.0,70722036000.0,66448056000.0,72463890000.0
2025.0,64643895000.0,64043655000.0,65539658000.0,68298945000.0,69112906000.0,65316380000.0,64522050000.0,66937143000.0,59007087000.0,66160288000.0,62179070000.0,68974805000.0,62926737000.0,69792550000.0
2026.0,60963443000.0,59907895000.0,64880020000.0,66698965000.0,68368740000.0,63877740000.0,62293810000.0,62287073000.0,56663216000.0,63813755000.0,63954480000.0,62976115000.0,60465242000.0,68178200000.0
2027.0,61180650000.0,55123526000.0,60572170000.0,63682572000.0,68227252000.0,60637530000.0,63909350000.0,59807515000.0,58621313000.0,60424810000.0,64311250000.0,58766980000.0,58412294000.0,68459885000.0
2028.0,59510690000.0,55492590000.0,58372624000.0,61141230000.0,66491666000.0,56917260000.0,63409210000.0,57512313000.0,60749685000.0,57097870000.0,63613990000.0,58897555000.0,55890715000.0,67722860000.0
2029.0,58182400000.0,54588980000.0,55272063000.0,60109830000.0,62306270000.0,53856055000.0,63508110000.0,53139173000.0,60980300000.0,54251803000.0,62819238000.0,58693325000.0,53919908000.0,67017392000.0
2030.0,56627573000.0,51082290000.0,54298546000.0,59510383000.0,59340587000.0,49321734000.0,63772697000.0,47107924000.0,57694580000.0,52327772000.0,61396960000.0,55621005000.0,53650276000.0,66962850000.0
2031.0,55125864000.0,51156500000.0,52027912000.0,56000532000.0,57070100000.0,48940710000.0,66280520000.0,46394737000.0,56689627000.0,50335994000.0,57915370000.0,54946718000.0,52701800000.0,65593670000.0
2032.0,53423860000.0,49872687000.0,50762437000.0,54578274000.0,56616657000.0,48047133000.0,64162730000.0,45387354000.0,56611710000.0,47156662000.0,57011196000.0,53604983000.0,52049375000.0,63726970000.0
2033.0,51705690000.0,47128110000.0,51110294000.0,53607400000.0,55401066000.0,46119436000.0,61077103000.0,42263785000.0,55978713000.0,46649197000.0,56137077000.0,50381115000.0,50038870000.0,62061200000.0
2034.0,46977830000.0,42515360000.0,51303375000.0,53781037000.0,53589656000.0,44682084000.0,58153374000.0,41835532000.0,54622470000.0,45267698000.0,54003560000.0,49520040000.0,49824200000.0,60443996000.0
2035.0,44411556000.0,41498018000.0,51641065000.0,52815550000.0,51332470000.0,43546972000.0,57980690000.0,41075200000.0,50852114000.0,43379040000.0,52249457000.0,47575200000.0,49305494000.0,60482052000.0
2036.0,42980467000.0,40944333000.0,50517623000.0,52233190000.0,48352750000.0,42020397000.0,59003020000.0,37776680000.0,48787120000.0,41158734000.0,53156504000.0,44477280000.0,49681060000.0,59293810000.0
2037.0,41691836000.0,37269164000.0,49764135000.0,51900727000.0,45692473000.0,40226107000.0,57699920000.0,38063970000.0,48860960000.0,39775770000.0,52423373000.0,45294014000.0,49663270000.0,57203070000.0
2038.0,42100666000.0,36471316000.0,47618458000.0,49763054000.0,41695113000.0,37291200000.0,58633376000.0,37621006000.0,48201236000.0,39343700000.0,48867455000.0,45157770000.0,49483340000.0,56332165000.0
2039.0,42447954000.0,36496364000.0,44473740000.0,48657154000.0,40944697000.0,35751444000.0,59098510000.0,34258321000.0,46352417000.0,36951937000.0,45003117000.0,42732704000.0,48422904000.0,54040236000.0
2040.0,38984794000.0,33539725000.0,40750342000.0,47095660000.0,40087396000.0,34178148000.0,58413960000.0,33904253000.0,45782077000.0,35841290000.0,44867584000.0,40487576000.0,48789430000.0,52583604000.0
