time,CESM2-WACCM,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0
2021.0,69212290000.0,70661900000.0,72955036000.0,73112584000.0
2022.0,63158936000.0,68535410000.0,70419550000.0,69587540000.0
2023.0,60352573000.0,66576140000.0,69340620000.0,67856610000.0
2024.0,58489414000.0,61377720000.0,68450050000.0,67147600000.0
2025.0,56267035000.0,59100590000.0,65997128000.0,66638496000.0
2026.0,50139214000.0,57987637000.0,62976130000.0,64550830000.0
2027.0,46998110000.0,54316716000.0,61033040000.0,63698543000.0
2028.0,44729640000.0,52827630000.0,58268283000.0,62364787000.0
2029.0,41418703000.0,51058560000.0,55187493000.0,58535920000.0
2030.0,40335490000.0,49555534000.0,53194056000.0,54387950000.0
2031.0,39035363000.0,48669220000.0,50503750000.0,49739588000.0
2032.0,37294680000.0,45496250000.0,47954040000.0,47889660000.0
2033.0,36016316000.0,42764026000.0,43544860000.0,47301263000.0
2034.0,35687154000.0,38084882000.0,42058375000.0,46671258000.0
2035.0,34142466000.0,36276350000.0,41137010000.0,44759130000.0
2036.0,32469936000.0,35429120000.0,39060920000.0,44467143000.0
2037.0,30216165000.0,32857490000.0,36625437000.0,42974015000.0
2038.0,27479505000.0,31196121000.0,34365506000.0,41766343000.0
2039.0,27308538000.0,30624190000.0,32567300000.0,39133938000.0
2040.0,26379911000.0,28550160000.0,30995864000.0,37082907000.0
2041.0,25687112000.0,25821147000.0,29128503000.0,35898330000.0
2042.0,23357688000.0,22991442000.0,26703223000.0,32693873000.0
2043.0,22999333000.0,21432023000.0,25743778000.0,28463972000.0
2044.0,21638447000.0,20493793000.0,25294438000.0,27261145000.0
2045.0,19586335000.0,19000257000.0,23904170000.0,25485120000.0
2046.0,19194872000.0,17592711000.0,22796770000.0,23414581000.0
2047.0,17753203000.0,17721442000.0,21717785000.0,21708108000.0
2048.0,15991468000.0,16646973000.0,20023943000.0,20255089000.0
2049.0,14940148000.0,15790213000.0,19984058000.0,19253940000.0
2050.0,13730554000.0,15446575000.0,19821270000.0,17938120000.0
2051.0,13332053000.0,15022084000.0,19164486000.0,16738349000.0
2052.0,12375406000.0,13630628000.0,18656475000.0,16429997000.0
2053.0,12068787000.0,13480214000.0,17964446000.0,16471670000.0
2054.0,10923954000.0,13486924000.0,17856152000.0,15652067000.0
2055.0,10920424000.0,13195073000.0,17919394000.0,14711305000.0
2056.0,10019219000.0,12522031000.0,17529764000.0,14542154000.0
2057.0,9402674000.0,11860524000.0,16771286000.0,14347965000.0
2058.0,9430711000.0,11570640000.0,16548196000.0,13915764000.0
2059.0,8911759000.0,11014196000.0,16344380000.0,13465064000.0
2060.0,8968655000.0,10549472000.0,15629736000.0,13607427000.0
2061.0,8734225000.0,10667954000.0,15399861000.0,13348659000.0
2062.0,8458650600.0,10236076000.0,15513426000.0,12867255000.0
2063.0,8348714000.0,9796628000.0,14823381000.0,12816754000.0
2064.0,7903088000.0,9341267000.0,14212498000.0,12674627000.0
2065.0,7981601000.0,9199540000.0,13672591000.0,12083913000.0
2066.0,7880888000.0,8829112000.0,14064982000.0,12226858000.0
2067.0,7851457500.0,8988529000.0,14350947000.0,12269061000.0
2068.0,8058635000.0,8834954000.0,13984958000.0,11480031000.0
2069.0,7816099300.0,8824667000.0,14029102000.0,10779819000.0
