time,INM-CM4-8,INM-CM5-0,EC-EARTH3,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L
2000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0
2001.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0
2002.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0
2003.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0
2004.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0
2005.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0
2006.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0
2007.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0
2008.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0
2009.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0
2010.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0
2011.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0
2012.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0
2013.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0
2014.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0
2015.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0
2016.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0
2017.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0
2018.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0
2019.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0
2020.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0
2021.0,4634997000000.0,4660143300000.0,4668480000000.0,4666047000000.0,4660958000000.0,4666133000000.0,4683327300000.0,4646970000000.0,4648893000000.0,4639031000000.0,4695120000000.0,4678633400000.0,4650526000000.0,4667337000000.0
2022.0,4595914000000.0,4645490500000.0,4647698000000.0,4649284000000.0,4618681000000.0,4646751400000.0,4683357000000.0,4614332600000.0,4621242700000.0,4618195600000.0,4681060300000.0,4664217000000.0,4633748600000.0,4647045000000.0
2023.0,4577995000000.0,4626530000000.0,4594846400000.0,4612850500000.0,4596447600000.0,4610874000000.0,4664170000000.0,4579418700000.0,4579826600000.0,4609402000000.0,4664161500000.0,4638683700000.0,4592599300000.0,4611368000000.0
2024.0,4550870000000.0,4614197300000.0,4556951000000.0,4562128000000.0,4582421000000.0,4568156000000.0,4641628600000.0,4536389000000.0,4535553000000.0,4580084000000.0,4627483000000.0,4601022500000.0,4571493000000.0,4563998300000.0
2025.0,4507500000000.0,4595897600000.0,4499353600000.0,4524830000000.0,4564650600000.0,4543870000000.0,4624391000000.0,4526066600000.0,4511883000000.0,4535224000000.0,4626534000000.0,4571075700000.0,4556712300000.0,4537453000000.0
2026.0,4492300000000.0,4569388500000.0,4487698000000.0,4498232700000.0,4541323000000.0,4518845000000.0,4579437600000.0,4511988400000.0,4505531300000.0,4507065400000.0,4609664000000.0,4541787000000.0,4516573300000.0,4501490000000.0
2027.0,4461417000000.0,4556025000000.0,4455966000000.0,4474535000000.0,4500110700000.0,4467594400000.0,4544373700000.0,4509420500000.0,4478325000000.0,4464570000000.0,4606190000000.0,4492213400000.0,4479850600000.0,4459925600000.0
2028.0,4420518000000.0,4532176000000.0,4420274000000.0,4441396000000.0,4466056600000.0,4425948600000.0,4524390000000.0,4471515000000.0,4466933000000.0,4449434600000.0,4560777000000.0,4463453500000.0,4420271000000.0,4435978000000.0
2029.0,4394978000000.0,4493429000000.0,4387399300000.0,4403203000000.0,4456346300000.0,4386843000000.0,4493768400000.0,4459174300000.0,4445750400000.0,4420900000000.0,4521803000000.0,4418025600000.0,4340160700000.0,4396002800000.0
2030.0,4366428800000.0,4461864400000.0,4367899200000.0,4374716500000.0,4437147000000.0,4333864000000.0,4468864700000.0,4402900000000.0,4434717300000.0,4400597700000.0,4487828000000.0,4391346400000.0,4296610200000.0,4360965700000.0
2031.0,4332233000000.0,4419012300000.0,4336155400000.0,4350651400000.0,4403174000000.0,4309374700000.0,4455202000000.0,4356748600000.0,4420286300000.0,4371024700000.0,4462164000000.0,4350379800000.0,4251689200000.0,4307128000000.0
2032.0,4295098000000.0,4379007300000.0,4331775700000.0,4331176200000.0,4362421400000.0,4298879500000.0,4437342400000.0,4325282700000.0,4413380400000.0,4348743500000.0,4450406000000.0,4311341600000.0,4194445300000.0,4267814200000.0
2033.0,4258413400000.0,4352666200000.0,4308247000000.0,4318468200000.0,4328296300000.0,4243726000000.0,4386955200000.0,4299753300000.0,4394776300000.0,4321979000000.0,4438200700000.0,4289149800000.0,4179181000000.0,4237568000000.0
2034.0,4235304400000.0,4333211200000.0,4280089300000.0,4285024000000.0,4313865000000.0,4208036000000.0,4354509600000.0,4255661700000.0,4368573100000.0,4305603800000.0,4425826000000.0,4254826800000.0,4157801000000.0,4195338200000.0
2035.0,4219749300000.0,4321171700000.0,4265700800000.0,4231566700000.0,4290587000000.0,4159403700000.0,4329940000000.0,4223430800000.0,4343248700000.0,4288537700000.0,4414632000000.0,4215322400000.0,4125752300000.0,4156422000000.0
2036.0,4205456400000.0,4295920200000.0,4239964500000.0,4192279000000.0,4270689400000.0,4089894100000.0,4277579300000.0,4218362300000.0,4332972700000.0,4260240800000.0,4398168000000.0,4164997600000.0,4103672200000.0,4101666000000.0
2037.0,4182798800000.0,4280295400000.0,4194430400000.0,4170250200000.0,4247849300000.0,4054176500000.0,4237329000000.0,4199882400000.0,4309780800000.0,4224301100000.0,4377229000000.0,4135534500000.0,4069546800000.0,4060506000000.0
2038.0,4155537600000.0,4255728000000.0,4163616600000.0,4145298000000.0,4216017000000.0,4046422300000.0,4193039400000.0,4155075200000.0,4300060800000.0,4211159600000.0,4333638000000.0,4121359800000.0,4034372600000.0,4019436000000.0
2039.0,4130186700000.0,4253735500000.0,4139155000000.0,4130217000000.0,4181845000000.0,3996281200000.0,4176289000000.0,4112977800000.0,4291767300000.0,4196421900000.0,4308421800000.0,4079151200000.0,3989214000000.0,4006803700000.0
2040.0,4118083500000.0,4231938000000.0,4121070700000.0,4092372000000.0,4157836000000.0,3963127000000.0,4185540800000.0,4098051300000.0,4291888000000.0,4167327000000.0,4286571300000.0,4054290300000.0,3936719200000.0,3963693300000.0
2041.0,4099216200000.0,4197161600000.0,4088117600000.0,4048070600000.0,4127663800000.0,3917875500000.0,4176270900000.0,4084149300000.0,4266190700000.0,4169260600000.0,4266674000000.0,4022540200000.0,3894927700000.0,3918549500000.0
2042.0,4067687100000.0,4185201300000.0,4045133300000.0,4022925300000.0,4096232000000.0,3894586600000.0,4155975100000.0,4064857000000.0,4255088400000.0,4148819700000.0,4257497500000.0,3969052800000.0,3874681800000.0,3893684600000.0
2043.0,4042844000000.0,4155638800000.0,4010481000000.0,3993665800000.0,4065674000000.0,3893446600000.0,4137224000000.0,4032844000000.0,4219230200000.0,4124729700000.0,4244197000000.0,3954768300000.0,3853787300000.0,3868742400000.0
2044.0,4017177000000.0,4135136500000.0,3979781900000.0,3959828000000.0,4047276600000.0,3878554400000.0,4105893300000.0,4015600000000.0,4184677300000.0,4099864000000.0,4214219000000.0,3912438400000.0,3820507400000.0,3837224800000.0
2045.0,3993093800000.0,4124763000000.0,3942637000000.0,3931283000000.0,4030484000000.0,3831755000000.0,4056846700000.0,3986220600000.0,4158594000000.0,4069741000000.0,4180636300000.0,3884716700000.0,3799926000000.0,3801195500000.0
