time,EC-EARTH3-VEG,CAMS-CSM1-0,GFDL-ESM4,MRI-ESM2-0
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,55677137000.0,55663534000.0,54889878000.0,54508945000.0
2022.0,54937653000.0,56037040000.0,53604794000.0,53927060000.0
2023.0,53239013000.0,55183880000.0,54380077000.0,53738900000.0
2024.0,52589187000.0,54034276000.0,53993366000.0,53592470000.0
2025.0,51110986000.0,53613298000.0,53864428000.0,51815862000.0
2026.0,50881085000.0,53130790000.0,53134430000.0,49503998000.0
2027.0,50783700000.0,52709680000.0,52510654000.0,48264280000.0
2028.0,48998480000.0,52889280000.0,52638930000.0,47552565000.0
2029.0,48172370000.0,54448640000.0,52007158000.0,47233597000.0
2030.0,46140404000.0,54357012000.0,52053422000.0,46286946000.0
2031.0,45881016000.0,53720453000.0,52092215000.0,45441900000.0
2032.0,45289927000.0,52489515000.0,52228116000.0,45940020000.0
2033.0,44867965000.0,51487500000.0,52349272000.0,44614586000.0
2034.0,44338446000.0,50273886000.0,52648430000.0,44032770000.0
2035.0,43153890000.0,50261115000.0,52157575000.0,44715890000.0
2036.0,41649400000.0,50475550000.0,53335724000.0,45373137000.0
2037.0,40836755000.0,50135806000.0,52190056000.0,43827290000.0
2038.0,40917390000.0,50108260000.0,51104063000.0,42964582000.0
2039.0,40918290000.0,50319905000.0,49884553000.0,42813410000.0
2040.0,40229216000.0,49760367000.0,49542310000.0,42255540000.0
2041.0,40477426000.0,48861606000.0,49205527000.0,42358256000.0
2042.0,41562630000.0,49181370000.0,49199220000.0,43633054000.0
2043.0,40993497000.0,48855417000.0,49447310000.0,43311854000.0
2044.0,40387277000.0,48033595000.0,48523590000.0,42967548000.0
2045.0,40126810000.0,47003005000.0,48535070000.0,43726914000.0
2046.0,40890110000.0,46911627000.0,48976970000.0,44050760000.0
2047.0,40476213000.0,45953200000.0,48937220000.0,45212533000.0
2048.0,40235213000.0,44795535000.0,49019826000.0,44716480000.0
