time,CANESM5,MRI-ESM2-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4,TAIESM1,EC-EARTH3,ACCESS-CM2,IPSL-CM6A-LR,INM-CM5-0,INM-CM4-8,BCC-CSM2-MR,FGOALS-F3-L,NORESM2-MM,ACCESS-ESM1-5,EC-EARTH3-VEG,CESM2
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,55018447000.0,53036680000.0,54920827000.0,55201650000.0,55173040000.0,55079776000.0,54093090000.0,53882986000.0,54898643000.0,55436050000.0,55375643000.0,54915300000.0,55672680000.0,54536130000.0,53644055000.0,53605120000.0,53430620000.0,55241140000.0,54551085000.0
2022.0,54078830000.0,53789720000.0,55623050000.0,54577640000.0,54263580000.0,55403140000.0,52631540000.0,52633250000.0,54144123000.0,54183694000.0,55792714000.0,54644023000.0,54633530000.0,54377038000.0,52348480000.0,53802865000.0,52909540000.0,53697585000.0,53916865000.0
2023.0,52949017000.0,53038854000.0,55796610000.0,54113526000.0,52433830000.0,54827037000.0,51850408000.0,50049830000.0,53875474000.0,53325890000.0,54907994000.0,52834850000.0,54128726000.0,53904000000.0,51138070000.0,54184340000.0,51995410000.0,53238910000.0,53575574000.0
2024.0,51331070000.0,52556640000.0,54708380000.0,53178552000.0,50969793000.0,54624186000.0,52363180000.0,47727860000.0,54531396000.0,53250840000.0,53489160000.0,51282194000.0,53483586000.0,52694155000.0,50305410000.0,54723125000.0,50566033000.0,53458256000.0,52445260000.0
2025.0,49714266000.0,53481830000.0,54177518000.0,51911373000.0,51329180000.0,53963460000.0,52842828000.0,46566494000.0,53907313000.0,51710894000.0,51786908000.0,50921530000.0,54330606000.0,51166550000.0,50084614000.0,56420040000.0,49388100000.0,52549226000.0,52169896000.0
2026.0,47395783000.0,52871287000.0,54355820000.0,50165273000.0,49703645000.0,54663340000.0,52983120000.0,45358600000.0,54169702000.0,51371780000.0,50263410000.0,50478817000.0,53603060000.0,50807415000.0,49958887000.0,55363880000.0,47832154000.0,50993566000.0,52297208000.0
2027.0,46083020000.0,51221357000.0,54669590000.0,49131127000.0,48361247000.0,54087954000.0,51693350000.0,42985140000.0,53837030000.0,50035180000.0,50188636000.0,50025427000.0,52936167000.0,50863670000.0,48656007000.0,55514040000.0,47170195000.0,50033705000.0,51487350000.0
