time,MRI-ESM2-0
2000.0,45427584000000.0
2001.0,45422265000000.0
2002.0,45417870000000.0
2003.0,45298777000000.0
2004.0,45264610000000.0
2005.0,45238513000000.0
2006.0,45268930000000.0
2007.0,45171232000000.0
2008.0,45116606000000.0
2009.0,45098348000000.0
2010.0,45014344000000.0
2011.0,44989137000000.0
2012.0,44923960000000.0
2013.0,44930806000000.0
2014.0,44832274000000.0
2015.0,44916692000000.0
2016.0,44887520000000.0
2017.0,44900456000000.0
2018.0,44760346000000.0
2019.0,44722706000000.0
2020.0,44706545000000.0
2021.0,44588543000000.0
2022.0,44511730000000.0
2023.0,44490572000000.0
2024.0,44335000000000.0
2025.0,44203780000000.0
2026.0,44127547000000.0
2027.0,44051160000000.0
2028.0,43907388000000.0
2029.0,43941085000000.0
2030.0,43958500000000.0
2031.0,43911683000000.0
2032.0,43810097000000.0
2033.0,43763984000000.0
2034.0,43688995000000.0
2035.0,43581125000000.0
2036.0,43468530000000.0
2037.0,43353698000000.0
2038.0,43319418000000.0
2039.0,43194314000000.0
2040.0,43093590000000.0
2041.0,43033878000000.0
2042.0,42972080000000.0
2043.0,42955608000000.0
2044.0,42790690000000.0
2045.0,42654350000000.0
2046.0,42493773000000.0
2047.0,42343835000000.0
2048.0,42213990000000.0
2049.0,42080177000000.0
2050.0,41908690000000.0
2051.0,41726085000000.0
2052.0,41494740000000.0
2053.0,41335900000000.0
2054.0,41134328000000.0
2055.0,40728750000000.0
2056.0,40456010000000.0
2057.0,40209866000000.0
2058.0,39927027000000.0
2059.0,39785326000000.0
2060.0,39538177000000.0
2061.0,39289190000000.0
2062.0,39039546000000.0
2063.0,38879520000000.0
2064.0,38705010000000.0
2065.0,38474770000000.0
2066.0,38220510000000.0
2067.0,37905586000000.0
2068.0,37620713000000.0
2069.0,37385224000000.0
2070.0,37095905000000.0
2071.0,36955330000000.0
2072.0,36754426000000.0
2073.0,36508187000000.0
2074.0,36160684000000.0
2075.0,35904786000000.0
2076.0,35589835000000.0
2077.0,35375450000000.0
2078.0,35208850000000.0
2079.0,34877523000000.0
2080.0,34573048000000.0
2081.0,34162800000000.0
2082.0,33797588000000.0
2083.0,33485778000000.0
2084.0,33223743000000.0
2085.0,32998467000000.0
2086.0,32691957000000.0
2087.0,32342769000000.0
2088.0,32115830000000.0
2089.0,31816382000000.0
2090.0,31491190000000.0
2091.0,31225654000000.0
2092.0,30911148000000.0
2093.0,30553032000000.0
2094.0,30276510000000.0
2095.0,29881409000000.0
2096.0,29560163000000.0
2097.0,29361930000000.0
2098.0,29098708000000.0
2099.0,28866758000000.0
2100.0,28603826000000.0
