time,ACCESS-CM2,CESM2,MPI-ESM1-2-HR,NORESM2-MM,TAIESM1,CAMS-CSM1-0,CESM2-WACCM,IPSL-CM6A-LR,GFDL-ESM4,CMCC-CM2-SR5,EC-EARTH3,INM-CM4-8,INM-CM5-0,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG,MRI-ESM2-0,ACCESS-ESM1-5,CANESM5
2000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0
2001.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0
2002.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0
2003.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0
2004.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0
2005.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0
2006.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0
2007.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0
2008.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0
2009.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0
2010.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0
2011.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0
