time,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0
2000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0
2001.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0
2002.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0
2003.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0
2004.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0
2005.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0
2006.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0
2007.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0
2008.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0
2009.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0
2010.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0
2011.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0
2012.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0
2013.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0
2014.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0
2015.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0
2016.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0
2017.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0
2018.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0
2019.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0
2020.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0
2021.0,149237757950000.0,148990958231000.0,149287565564000.0,149311816390000.0
2022.0,148729953495000.0,148403687267000.0,148775188130000.0,148984724543000.0
2023.0,148196620145000.0,147947362831000.0,148180295550000.0,148532460508000.0
2024.0,147704609001000.0,147406116477000.0,147607737107000.0,148046459543000.0
2025.0,147271325377000.0,146615708849000.0,146919977345000.0,147525263695000.0
2026.0,146728087382000.0,145903734664000.0,146531932490000.0,147063522188000.0
2027.0,146283828990000.0,145178844722000.0,145872217314000.0,146633467226000.0
2028.0,145781041676000.0,144331958763000.0,145184272054000.0,146123202921000.0
2029.0,145345142549000.0,143565449213000.0,144650095276000.0,145650311780000.0
2030.0,144686862421000.0,142833666435000.0,144031878026000.0,145220684461000.0
2031.0,144167905855000.0,142208077824000.0,143363353482000.0,144772020999000.0
