time,MRI-ESM2-0
2000.0,155883043170000.0
2001.0,155779205191000.0
2002.0,155592127748000.0
2003.0,155262743320000.0
2004.0,154956107467000.0
2005.0,154710417164000.0
2006.0,154504724079000.0
2007.0,154215587104000.0
2008.0,153815662943000.0
2009.0,153551803537000.0
2010.0,153044885850000.0
2011.0,152686289981000.0
2012.0,152331033509000.0
2013.0,152009992826000.0
2014.0,151673157868000.0
2015.0,151502829550000.0
2016.0,151212590709000.0
2017.0,150794690001000.0
2018.0,150379787446000.0
2019.0,150123630180000.0
2020.0,149684129552000.0
2021.0,149165356554000.0
2022.0,148653221906000.0
2023.0,147923995977000.0
2024.0,147417546056000.0
2025.0,146834253342000.0
2026.0,146215322910000.0
2027.0,145700586406000.0
2028.0,144956676599000.0
2029.0,144231568995000.0
2030.0,143717004221000.0
2031.0,143281339674000.0
2032.0,142733863272000.0
2033.0,142120917445000.0
2034.0,141462265871000.0
2035.0,140649892733000.0
2036.0,140087710549000.0
2037.0,139373037364000.0
2038.0,138732776061000.0
2039.0,137920497335000.0
2040.0,137164650037000.0
2041.0,136492282240000.0
2042.0,135799967042000.0
2043.0,135038815259000.0
2044.0,134211173648000.0
2045.0,133423430018000.0
2046.0,132769441289000.0
2047.0,131984312713000.0
2048.0,131095103389000.0
2049.0,130240049160000.0
2050.0,129527115482000.0
2051.0,128741076648000.0
2052.0,128078723832000.0
2053.0,127375132369000.0
2054.0,126510790427000.0
2055.0,125645340533000.0
2056.0,125019074373000.0
2057.0,124345524048000.0
2058.0,123468009338000.0
2059.0,122616361211000.0
2060.0,121701496705000.0
2061.0,120889762958000.0
2062.0,120124627422000.0
2063.0,119325275667000.0
2064.0,118529978265000.0
2065.0,117699847309000.0
2066.0,116736327660000.0
2067.0,115842963690000.0
2068.0,115035145639000.0
2069.0,114171879002000.0
2070.0,113335521087000.0
2071.0,112545049802000.0
2072.0,111728483204000.0
2073.0,110850245196000.0
2074.0,110041972437000.0
2075.0,109349094067000.0
2076.0,108489196019000.0
2077.0,107681243734000.0
2078.0,106834884714000.0
2079.0,106004783585000.0
2080.0,105214312800000.0
2081.0,104505655165000.0
2082.0,103914294212000.0
2083.0,102957639746000.0
2084.0,102319861633000.0
2085.0,101712584621000.0
2086.0,101070287443000.0
2087.0,100164136657000.0
2088.0,99280373330000.0
2089.0,98461870593000.0
2090.0,97568034888000.0
2091.0,96762323293000.0
2092.0,96033710244000.0
2093.0,95341760429000.0
2094.0,94387854670000.0
2095.0,93638658897000.0
2096.0,93009671488000.0
2097.0,92289139292000.0
2098.0,91573306544000.0
2099.0,90997516818000.0
2100.0,90547156887000.0
