time,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM
2000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0
2001.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0
2002.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0
2003.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0
2004.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0
2005.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0
2006.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0
2007.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0
2008.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0
2009.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0
2010.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0
2011.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0
2012.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0
2013.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0
2014.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0
2015.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0
2016.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0
2017.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0
2018.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0
2019.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0
2020.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0
2021.0,149135996427000.0,149237320981000.0,149223326891000.0,149200543066000.0
2022.0,148544635230000.0,148868626728000.0,148481893721000.0,148543727761000.0
2023.0,147907555302000.0,148120174814000.0,147923686588000.0,147938409899000.0
2024.0,147194521624000.0,147498173125000.0,147511480725000.0,147417122196000.0
2025.0,146354419581000.0,146922293034000.0,146884893000000.0,146749092897000.0
2026.0,145786985134000.0,146338711393000.0,146078335470000.0,146072540270000.0
2027.0,145184466386000.0,145793103131000.0,145638668540000.0,145390219169000.0
2028.0,144372720660000.0,145099900007000.0,145037333782000.0,144771686070000.0
2029.0,143473972814000.0,144558444343000.0,144472963152000.0,144181603429000.0
2030.0,142894059450000.0,144061464146000.0,143790641849000.0,143735534598000.0
2031.0,142018616324000.0,143258240142000.0,142951743255000.0,143295316278000.0
