time,CESM2-WACCM,ACCESS-ESM1-5,ACCESS-CM2,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18041243000000.0,18043736000000.0,18223819000000.0,18083430000000.0,18040876000000.0,18185565000000.0
2022.0,17865596000000.0,17870426000000.0,18158128000000.0,17998413000000.0,17882285000000.0,18095431000000.0
2023.0,17716092000000.0,17797560000000.0,18002330000000.0,17944150000000.0,17836949000000.0,18042138000000.0
2024.0,17535121000000.0,17727618000000.0,17867936000000.0,17878640000000.0,17707928000000.0,17952265000000.0
2025.0,17337566000000.0,17653507000000.0,17734167000000.0,17762712000000.0,17535464000000.0,17765207000000.0
2026.0,17110370000000.0,17492947000000.0,17591733000000.0,17657440000000.0,17460035000000.0,17609300000000.0
2027.0,16993790000000.0,17356490000000.0,17517816000000.0,17503321000000.0,17239610000000.0,17549165000000.0
2028.0,16792934000000.0,17051759000000.0,17400206000000.0,17435601000000.0,17100232000000.0,17515178000000.0
2029.0,16581941000000.0,16804256000000.0,17279870000000.0,17333306000000.0,16994242000000.0,17410338000000.0
2030.0,16419584000000.0,16669809000000.0,17084814000000.0,17249504000000.0,16872921000000.0,17327671000000.0
2031.0,16340242000000.0,16544105000000.0,16860081000000.0,17169988000000.0,16646161000000.0,17283355000000.0
2032.0,16247180000000.0,16297863000000.0,16672270000000.0,17075879000000.0,16481335000000.0,17155747000000.0
