time,CANESM5,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0,ACCESS-CM2,ACCESS-ESM1-5
2000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0
2001.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0
2002.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0
2003.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0
2004.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0
2005.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0
2006.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0
2007.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0
2008.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0
2009.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0
2010.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0
2011.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0
2012.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0
2013.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0
2014.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0
2015.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0
2016.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0
2017.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0
2018.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0
2019.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0
2020.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0
2021.0,841367160000.0,835278900000.0,847738960000.0,839042600000.0,830919300000.0,835449600000.0
2022.0,816721200000.0,824878760000.0,824465600000.0,822653800000.0,812660600000.0,825799000000.0
2023.0,792416750000.0,810919600000.0,802020850000.0,819698300000.0,787006600000.0,827942960000.0
2024.0,768888140000.0,794695600000.0,784275800000.0,807294100000.0,770854100000.0,809496700000.0
2025.0,743837400000.0,770931800000.0,755440750000.0,787929560000.0,750869900000.0,794224700000.0
2026.0,727773600000.0,758016440000.0,731092550000.0,775859540000.0,730721500000.0,780909300000.0
2027.0,706360500000.0,751265050000.0,716178060000.0,763987200000.0,720067200000.0,759395000000.0
2028.0,687269400000.0,741166940000.0,683942400000.0,748144300000.0,705836350000.0,750103000000.0
