time,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0,CANESM5,ACCESS-ESM1-5,ACCESS-CM2
2000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0
2001.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0
2002.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0
2003.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0
2004.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0
2005.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0
2006.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0
2007.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0
2008.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0
2009.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0
2010.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0
2011.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0
2012.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0
2013.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0
2014.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0
2015.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0
2016.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0
2017.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0
2018.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0
2019.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0
2020.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0
2021.0,824203600000.0,833043400000.0,836024500000.0,831422900000.0,838559140000.0,833380700000.0
2022.0,803177800000.0,798152650000.0,828426400000.0,814230140000.0,834340600000.0,818959160000.0
2023.0,786781700000.0,776454800000.0,813731900000.0,799158240000.0,827019000000.0,807436800000.0
2024.0,774322700000.0,757386250000.0,787711200000.0,776902300000.0,827759100000.0,786527750000.0
2025.0,758911800000.0,728344800000.0,761812200000.0,757294240000.0,809810600000.0,777423900000.0
2026.0,733881570000.0,708462840000.0,739496760000.0,739446500000.0,797974000000.0,752949300000.0
2027.0,718787900000.0,687093840000.0,731510540000.0,723325500000.0,770516000000.0,728718200000.0
2028.0,689041400000.0,660032650000.0,713620500000.0,701956800000.0,746866100000.0,699939100000.0
