time,CANESM5,ACCESS-ESM1-5,MRI-ESM2-0,IPSL-CM6A-LR,ACCESS-CM2,CESM2-WACCM
2000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0
2001.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0
2002.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0
2003.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0
2004.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0
2005.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0
2006.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0
2007.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0
2008.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0
2009.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0
2010.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0
2011.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0
2012.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0
2013.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0
2014.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0
2015.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0
2016.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0
2017.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0
2018.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0
2019.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0
2020.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0
2021.0,8093927700000.0,8098275700000.0,8107230500000.0,8117436000000.0,8099851000000.0,8114349300000.0
2022.0,8047342000000.0,8065177400000.0,8080213000000.0,8066987000000.0,8037128500000.0,8088526500000.0
2023.0,7994759000000.0,8029731300000.0,8033394500000.0,8018371500000.0,7997684700000.0,8055502000000.0
2024.0,7941470000000.0,7992740700000.0,7992759500000.0,7992793000000.0,7966573500000.0,8023491000000.0
2025.0,7864893600000.0,7945056700000.0,7951183500000.0,7948630000000.0,7928396400000.0,7976813000000.0
2026.0,7831469000000.0,7913895600000.0,7907651000000.0,7895861000000.0,7900687000000.0,7938074000000.0
2027.0,7784746700000.0,7875336300000.0,7864885700000.0,7856701000000.0,7851561000000.0,7899634500000.0
2028.0,7713776500000.0,7839446000000.0,7823435000000.0,7815261300000.0,7805024600000.0,7870239700000.0
2029.0,7649591600000.0,7803478500000.0,7786343700000.0,7765804000000.0,7758510000000.0,7844722600000.0
2030.0,7600694400000.0,7775426400000.0,7753000600000.0,7719236000000.0,7704862500000.0,7803820000000.0
2031.0,7549729400000.0,7743374600000.0,7730137400000.0,7683005000000.0,7670178000000.0,7773732000000.0
