time,IPSL-CM6A-LR,ACCESS-CM2,ACCESS-ESM1-5,CESM2-WACCM,CANESM5,MRI-ESM2-0
2000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14518394000000.0,14502661000000.0,14546156000000.0,14499127000000.0,14523170000000.0,14470845000000.0
2022.0,14453539000000.0,14415286000000.0,14516281000000.0,14454569000000.0,14521861000000.0,14392131000000.0
2023.0,14394737000000.0,14357760000000.0,14450679000000.0,14439308000000.0,14476497000000.0,14274957000000.0
2024.0,14384053000000.0,14349757000000.0,14405442000000.0,14341134000000.0,14421323000000.0,14202466000000.0
2025.0,14294506000000.0,14323109000000.0,14337625000000.0,14236315000000.0,14337829000000.0,14067922000000.0
2026.0,14250434000000.0,14286502000000.0,14259910000000.0,14125882000000.0,14255500000000.0,13967389000000.0
2027.0,14232816000000.0,14232897000000.0,14216105000000.0,13997780000000.0,14167317000000.0,13875215000000.0
2028.0,14166674000000.0,14167194000000.0,14113030000000.0,13932781000000.0,14129440000000.0,13756035000000.0
2029.0,14117279000000.0,14068575000000.0,14035887000000.0,13887706000000.0,14069397000000.0,13664596000000.0
2030.0,14063515000000.0,13992000000000.0,13964952000000.0,13809386000000.0,13994983000000.0,13585014000000.0
2031.0,14035277000000.0,13894404000000.0,13908101000000.0,13713784000000.0,13921287000000.0,13487163000000.0
2032.0,14026991000000.0,13798913000000.0,13862811000000.0,13579871000000.0,13874061000000.0,13370640000000.0
2033.0,13910476000000.0,13788557000000.0,13779545000000.0,13496682000000.0,13775999000000.0,13350808000000.0
2034.0,13850250000000.0,13750952000000.0,13713375000000.0,13446562000000.0,13695217000000.0,13279629000000.0
2035.0,13757805000000.0,13683364000000.0,13664048000000.0,13383778000000.0,13588342000000.0,13165694000000.0
2036.0,13642179000000.0,13655205000000.0,13602028000000.0,13291998000000.0,13490788000000.0,13079632000000.0
2037.0,13600504000000.0,13641227000000.0,13595947000000.0,13169026000000.0,13382358000000.0,13011379000000.0
2038.0,13554365000000.0,13612995000000.0,13550568000000.0,13112846000000.0,13276810000000.0,12897308000000.0
2039.0,13487011000000.0,13498548000000.0,13515919000000.0,13011899000000.0,13145025000000.0,12811022000000.0
2040.0,13403420000000.0,13421338000000.0,13468138000000.0,12927715000000.0,13068101000000.0,12745135000000.0
2041.0,13379831000000.0,13309553000000.0,13411859000000.0,12817300000000.0,12988002000000.0,12684219000000.0
