time,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-CM2,ACCESS-ESM1-5
2000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0
2001.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0
2002.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0
2003.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0
2004.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0
2005.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0
2006.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0
2007.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0
2008.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0
2009.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0
2010.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3429778000000.0,3448490000000.0,3448522700000.0,3445117400000.0,3430670400000.0,3455585400000.0
2022.0,3404394700000.0,3425122400000.0,3440596200000.0,3428317000000.0,3413013200000.0,3449298600000.0
2023.0,3360043000000.0,3407038600000.0,3424154000000.0,3405312200000.0,3392343000000.0,3434368000000.0
2024.0,3318665400000.0,3394487500000.0,3418169000000.0,3372758900000.0,3371300300000.0,3437206700000.0
2025.0,3283972000000.0,3383600000000.0,3405781700000.0,3345837500000.0,3368526800000.0,3423195400000.0
