time,ACCESS-ESM1-5,CANESM5,ACCESS-CM2,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM
2000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0
2001.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0
2002.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0
2003.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0
2004.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0
2005.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0
2006.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0
2007.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0
2008.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0
2009.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0
2010.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0
2011.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0
2012.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0
2013.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0
2014.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0
2015.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0
2016.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0
2017.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0
2018.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0
2019.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0
2020.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0
2021.0,256266860000.0,253962940000.0,253975400000.0,257897070000.0,259975950000.0,257638170000.0
2022.0,254109830000.0,250013580000.0,251326050000.0,257432270000.0,259277260000.0,254097670000.0
2023.0,252233350000.0,242093930000.0,245686580000.0,253507880000.0,257606340000.0,251665660000.0
2024.0,250460700000.0,236377260000.0,242178280000.0,250677150000.0,252060160000.0,248182520000.0
2025.0,249007670000.0,231522680000.0,239576400000.0,245921900000.0,248295110000.0,244464270000.0
2026.0,244386700000.0,227938730000.0,234200450000.0,243238600000.0,242417370000.0,242885080000.0
2027.0,242774340000.0,224019120000.0,232125510000.0,237857880000.0,237388020000.0,241431580000.0
2028.0,241827840000.0,215275370000.0,227019230000.0,232012480000.0,235314410000.0,240845100000.0
