time,ACCESS-CM2,CANESM5,IPSL-CM6A-LR,ACCESS-ESM1-5,CESM2-WACCM,MRI-ESM2-0
2000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0
2001.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0
2002.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0
2003.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0
2004.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0
2005.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0
2006.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0
2007.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0
2008.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0
2009.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0
2010.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0
2011.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0
2012.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0
2013.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0
2014.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0
2015.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0
2016.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0
2017.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0
2018.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0
2019.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0
2020.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0
2021.0,13763932000000.0,13706651000000.0,13740140000000.0,13732656000000.0,13751796000000.0,13723577000000.0
2022.0,13751712000000.0,13664748000000.0,13710640000000.0,13720722000000.0,13724037000000.0,13707210000000.0
2023.0,13728512000000.0,13611781000000.0,13698124000000.0,13712562000000.0,13703588000000.0,13659571000000.0
2024.0,13723409000000.0,13550181000000.0,13683950000000.0,13699612000000.0,13695544000000.0,13581124000000.0
2025.0,13697723000000.0,13491529000000.0,13656734000000.0,13696283000000.0,13675423000000.0,13561241000000.0
2026.0,13693794000000.0,13395153000000.0,13647032000000.0,13682830000000.0,13662245000000.0,13522816000000.0
2027.0,13687717000000.0,13289539000000.0,13623572000000.0,13658749000000.0,13645135000000.0,13483320000000.0
2028.0,13666157000000.0,13176346000000.0,13595443000000.0,13639986000000.0,13632310000000.0,13427217000000.0
2029.0,13665202000000.0,13089391000000.0,13577150000000.0,13637501000000.0,13611868000000.0,13366251000000.0
2030.0,13646006000000.0,12989467000000.0,13544135000000.0,13619455000000.0,13614664000000.0,13331401000000.0
2031.0,13640511000000.0,12870047000000.0,13492175000000.0,13610206000000.0,13605862000000.0,13266032000000.0
2032.0,13628043000000.0,12775279000000.0,13466307000000.0,13600763000000.0,13574225000000.0,13206655000000.0
2033.0,13608499000000.0,12667105000000.0,13432703000000.0,13599802000000.0,13555587000000.0,13134993000000.0
2034.0,13565674000000.0,12558050000000.0,13401876000000.0,13585552000000.0,13541181000000.0,13054511000000.0
2035.0,13525909000000.0,12432756000000.0,13361314000000.0,13573036000000.0,13529929000000.0,12996146000000.0
2036.0,13498416000000.0,12324585000000.0,13334782000000.0,13546958000000.0,13511887000000.0,12922762000000.0
2037.0,13464046000000.0,12196078000000.0,13303735000000.0,13529538000000.0,13483538000000.0,12837303000000.0
2038.0,13400933000000.0,12061377000000.0,13264413000000.0,13457541000000.0,13439271000000.0,12728045000000.0
2039.0,13356750000000.0,11908578000000.0,13216776000000.0,13410341000000.0,13417460000000.0,12650804000000.0
2040.0,13326429000000.0,11770101000000.0,13154826000000.0,13386547000000.0,13406075000000.0,12550720000000.0
