time,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,CESM2-WACCM,ACCESS-CM2,ACCESS-ESM1-5
2000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0
2021.0,102770080000.0,104127180000.0,103494190000.0,103818220000.0,103589580000.0,103326155000.0
2022.0,100592060000.0,103151990000.0,101284760000.0,101765240000.0,101165020000.0,101833340000.0
2023.0,97801100000.0,101024940000.0,98941260000.0,98961790000.0,98127135000.0,99344260000.0
2024.0,94832165000.0,99322360000.0,95673550000.0,96858200000.0,95839216000.0,97537565000.0
2025.0,92239045000.0,97001470000.0,92545060000.0,95314450000.0,92903014000.0,94259634000.0
2026.0,90726220000.0,95367350000.0,89883296000.0,92390924000.0,89572290000.0,92185290000.0
2027.0,88158330000.0,93162800000.0,87284930000.0,90706170000.0,87768030000.0,90356875000.0
2028.0,86884140000.0,92535325000.0,84964880000.0,88643910000.0,85036410000.0,87106030000.0
2029.0,84055245000.0,91621560000.0,81600870000.0,86972220000.0,83108010000.0,85446300000.0
2030.0,81789910000.0,90344790000.0,78509700000.0,84855140000.0,81127610000.0,82208820000.0
2031.0,79845940000.0,88162680000.0,75527170000.0,83279440000.0,79472900000.0,79938535000.0
2032.0,77565020000.0,86454860000.0,73604160000.0,81278610000.0,77805320000.0,77741244000.0
2033.0,76131350000.0,84716820000.0,71091040000.0,79919360000.0,75086980000.0,75519400000.0
2034.0,73559835000.0,82077200000.0,68001944000.0,77901250000.0,71851210000.0,72499730000.0
2035.0,71494800000.0,79309400000.0,64924940000.0,76381550000.0,69720280000.0,69998360000.0
