time,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-CM2,ACCESS-ESM1-5,CANESM5,CESM2-WACCM
2000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0
2021.0,104100280000.0,103176590000.0,103311090000.0,103740730000.0,103701635000.0,103665190000.0
2022.0,102085630000.0,100455145000.0,100516190000.0,100288470000.0,101344960000.0,103529955000.0
2023.0,100887920000.0,97416240000.0,99041530000.0,98355460000.0,99165315000.0,102180585000.0
2024.0,97919730000.0,95313070000.0,97489910000.0,96009670000.0,97393960000.0,100743480000.0
2025.0,96684430000.0,91994490000.0,94721204000.0,92763040000.0,94942230000.0,98848030000.0
2026.0,94238500000.0,88324960000.0,91528810000.0,89469210000.0,92385640000.0,95680310000.0
2027.0,92111495000.0,84905970000.0,88444740000.0,86814230000.0,90022040000.0,93178315000.0
2028.0,88945295000.0,82123690000.0,85507220000.0,84080550000.0,87538470000.0,90473870000.0
2029.0,86533595000.0,78610150000.0,82721160000.0,81632030000.0,84516360000.0,88329470000.0
2030.0,84067410000.0,76229630000.0,80376185000.0,78884760000.0,81557955000.0,86257260000.0
2031.0,81946330000.0,73463390000.0,77061070000.0,76667400000.0,78305150000.0,84582154000.0
2032.0,80463020000.0,69801110000.0,73405460000.0,73557380000.0,74999090000.0,82706055000.0
2033.0,77935370000.0,66866827000.0,70491520000.0,70602750000.0,71829545000.0,81136350000.0
2034.0,74606666000.0,64267880000.0,68159275000.0,67900436000.0,68962630000.0,78091840000.0
2035.0,71302040000.0,61548070000.0,65138053000.0,64571310000.0,67074180000.0,75303160000.0
