time,MRI-ESM2-0,ACCESS-ESM1-5,IPSL-CM6A-LR,CESM2-WACCM,ACCESS-CM2,CANESM5
2000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0
2001.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0
2002.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0
2003.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0
2004.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0
2005.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0
2006.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0
2007.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0
2008.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0
2009.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0
2010.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0
2011.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0
2012.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0
2013.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0
2014.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0
2015.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0
2016.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0
2017.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0
2018.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0
2019.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0
2020.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0
2021.0,88359510000.0,86924210000.0,89761430000.0,90179910000.0,89438750000.0,87744230000.0
2022.0,84470020000.0,83384880000.0,84553744000.0,88790500000.0,84825280000.0,83244030000.0
2023.0,82977100000.0,83808800000.0,83708620000.0,88619280000.0,82539450000.0,81630430000.0
2024.0,80109670000.0,79532100000.0,79329450000.0,85884660000.0,79774474000.0,82153470000.0
2025.0,76953090000.0,76489750000.0,78532330000.0,87440280000.0,77014490000.0,79793545000.0
2026.0,73273970000.0,75221070000.0,76216710000.0,85288060000.0,76856070000.0,77172690000.0
2027.0,70821000000.0,74338796000.0,73324356000.0,81939130000.0,73022770000.0,75790720000.0
2028.0,66843267000.0,72016036000.0,72141870000.0,75163530000.0,69714050000.0,72363250000.0
2029.0,63900140000.0,69443480000.0,70929030000.0,72796550000.0,66807720000.0,71332420000.0
2030.0,61561704000.0,68839950000.0,68652438000.0,71645710000.0,63957910000.0,68675334000.0
2031.0,55664325000.0,65448980000.0,64910803000.0,68830620000.0,62544093000.0,68085363000.0
