time,CESM2-WACCM,ACCESS-ESM1-5,ACCESS-CM2,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0
2001.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0
2002.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0
2003.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0
2004.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0
2005.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0
2006.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0
2007.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0
2008.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0
2009.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0
2010.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0
2011.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0
2012.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0
2013.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0
2014.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0
2015.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0
2016.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0
2017.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0
2018.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0
2019.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0
2020.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0
2021.0,46809900000.0,47487894000.0,48251160000.0,46673867000.0,45890118000.0,47319278000.0
2022.0,46407260000.0,46541427000.0,46699254000.0,45582602000.0,44457656000.0,45967536000.0
2023.0,45062676000.0,44767404000.0,45834480000.0,43522590000.0,44480987000.0,45032730000.0
2024.0,45007466000.0,44341015000.0,44499984000.0,42439365000.0,43118764000.0,43377283000.0
2025.0,44616410000.0,42868450000.0,42629390000.0,41598906000.0,41511817000.0,43550855000.0
2026.0,43825603000.0,41919353000.0,42367058000.0,39586320000.0,40582680000.0,41409260000.0
2027.0,42088722000.0,39735900000.0,41245090000.0,38434464000.0,40652435000.0,39945757000.0
2028.0,40952893000.0,39303807000.0,39476900000.0,37873963000.0,39013392000.0,39242908000.0
2029.0,40546173000.0,38690746000.0,37364605000.0,36981957000.0,38192357000.0,39045030000.0
2030.0,40575934000.0,37886046000.0,36980210000.0,36293284000.0,37133520000.0,38424097000.0
2031.0,39220535000.0,36681360000.0,35809247000.0,36136650000.0,35422953000.0,36619383000.0
2032.0,38520586000.0,35763986000.0,35760505000.0,35005596000.0,35591496000.0,35357954000.0
2033.0,38036970000.0,34773967000.0,34139947000.0,34074110000.0,34344344000.0,33865714000.0
2034.0,36917200000.0,34784514000.0,33498372000.0,33528260000.0,33357904000.0,33028542000.0
