time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,ACCESS-ESM1-5,CESM2-WACCM,ACCESS-CM2
2000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0
2001.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0
2002.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0
2003.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0
2004.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0
2005.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0
2006.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0
2007.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0
2008.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0
2009.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0
2010.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0
2011.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0
2012.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0
2013.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0
2014.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0
2015.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0
2016.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0
2017.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0
2018.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0
2019.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0
2020.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0
2021.0,2766120200000.0,2758174300000.0,2760795200000.0,2752767600000.0,2755712300000.0,2767857600000.0
2022.0,2757148300000.0,2727953300000.0,2760153000000.0,2748102000000.0,2739008400000.0,2761572500000.0
2023.0,2726650400000.0,2691150600000.0,2764512000000.0,2716396700000.0,2717633700000.0,2739429400000.0
2024.0,2703979200000.0,2657844000000.0,2747104200000.0,2702501000000.0,2697665700000.0,2716380200000.0
2025.0,2689193200000.0,2621468800000.0,2730423700000.0,2681695400000.0,2677800700000.0,2707888500000.0
2026.0,2667753200000.0,2575223500000.0,2703474000000.0,2658153000000.0,2648757000000.0,2724362200000.0
2027.0,2633167500000.0,2574733300000.0,2684702400000.0,2639088300000.0,2634261700000.0,2711318000000.0
2028.0,2605062600000.0,2538691600000.0,2668671800000.0,2608590000000.0,2611101800000.0,2711541300000.0
2029.0,2587302800000.0,2504407400000.0,2641259100000.0,2587725100000.0,2603567800000.0,2689641500000.0
2030.0,2573776700000.0,2462047000000.0,2626811900000.0,2577759000000.0,2569527000000.0,2671003000000.0
2031.0,2550190800000.0,2417109000000.0,2612772200000.0,2562718000000.0,2558773200000.0,2656406600000.0
2032.0,2535152700000.0,2384088000000.0,2591922600000.0,2538957400000.0,2539633800000.0,2638506400000.0
2033.0,2501935400000.0,2340519700000.0,2573188000000.0,2510340200000.0,2504872000000.0,2618616000000.0
2034.0,2470693300000.0,2319493000000.0,2542678600000.0,2477114800000.0,2480011200000.0,2609885200000.0
2035.0,2447061300000.0,2255895700000.0,2515862300000.0,2438537700000.0,2483154000000.0,2579435600000.0
2036.0,2419526200000.0,2215168000000.0,2502996500000.0,2411266300000.0,2477960700000.0,2546607000000.0
2037.0,2393149800000.0,2174500600000.0,2489681700000.0,2376980800000.0,2456958000000.0,2526189000000.0
2038.0,2349571200000.0,2139660900000.0,2473266500000.0,2352164400000.0,2433343800000.0,2515074500000.0
2039.0,2307372000000.0,2078003600000.0,2446713200000.0,2346411400000.0,2404174500000.0,2488131600000.0
2040.0,2290095800000.0,2084388300000.0,2421497500000.0,2321451600000.0,2368693300000.0,2447515800000.0
2041.0,2253906800000.0,2052180800000.0,2384703800000.0,2302253200000.0,2323212000000.0,2426607500000.0
2042.0,2221716500000.0,2007012900000.0,2356514000000.0,2285897000000.0,2303070800000.0,2394771700000.0
