time,ACCESS-ESM1-5,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,ACCESS-CM2,CESM2-WACCM
2000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0
2001.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0
2002.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0
2003.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0
2004.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0
2005.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0
2006.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0
2007.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0
2008.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0
2009.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0
2010.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0
2011.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0
2012.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0
2013.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0
2014.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0
2015.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0
2016.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0
2017.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0
2018.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0
2019.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0
2020.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0
2021.0,716043260000.0,720105960000.0,716135800000.0,756732660000.0,720864000000.0,712804900000.0
2022.0,696003500000.0,706926540000.0,706282700000.0,788271000000.0,707514000000.0,696970200000.0
2023.0,687917200000.0,698847400000.0,693314500000.0,766119250000.0,696551740000.0,685929660000.0
2024.0,673747570000.0,687206600000.0,682009030000.0,749723650000.0,687410900000.0,671058560000.0
2025.0,658519600000.0,681698260000.0,669698600000.0,738037700000.0,667436600000.0,656816200000.0
2026.0,645139000000.0,664017300000.0,656332900000.0,726039130000.0,644750970000.0,648682730000.0
2027.0,621863400000.0,648188850000.0,632726000000.0,699857240000.0,626755700000.0,634007000000.0
2028.0,611894950000.0,634434000000.0,610823050000.0,685891650000.0,610932100000.0,623967500000.0
2029.0,608381440000.0,621859900000.0,595548200000.0,657875530000.0,591255760000.0,623635660000.0
2030.0,589899560000.0,597364000000.0,583690000000.0,656987300000.0,578030100000.0,606694600000.0
2031.0,574025100000.0,581473140000.0,568761840000.0,650305540000.0,569068000000.0,593965000000.0
2032.0,554960400000.0,565278000000.0,555476300000.0,625355600000.0,553485300000.0,586078900000.0
2033.0,543994640000.0,546470130000.0,537647700000.0,596473300000.0,538959100000.0,567742700000.0
2034.0,528829780000.0,544101470000.0,525284870000.0,570290200000.0,534250900000.0,547582540000.0
2035.0,515891460000.0,534246100000.0,508882220000.0,562141100000.0,523371220000.0,533057300000.0
2036.0,506707440000.0,518637550000.0,493078480000.0,529581640000.0,520825630000.0,513718980000.0
2037.0,493618200000.0,504741900000.0,473706100000.0,531783450000.0,517542000000.0,506136500000.0
2038.0,481353920000.0,488784630000.0,458347640000.0,516103960000.0,503774120000.0,495224300000.0
2039.0,474747860000.0,473959560000.0,444602700000.0,493724040000.0,489287940000.0,477542880000.0
2040.0,462637070000.0,464300770000.0,423377100000.0,477853550000.0,477794100000.0,463350330000.0
2041.0,443436900000.0,449182920000.0,408334630000.0,467219000000.0,462018970000.0,451034120000.0
2042.0,435342000000.0,440404770000.0,392107200000.0,447876860000.0,453288130000.0,449779860000.0
2043.0,416480200000.0,426695100000.0,388108450000.0,424400300000.0,440159470000.0,431782720000.0
2044.0,406385260000.0,425659800000.0,379398230000.0,407399460000.0,422799540000.0,420780670000.0
2045.0,392232400000.0,416461850000.0,367775400000.0,407416770000.0,412401600000.0,407810050000.0
2046.0,386912800000.0,402220940000.0,362309780000.0,398272000000.0,398943450000.0,392020160000.0
2047.0,377305000000.0,403353100000.0,353220170000.0,393943550000.0,386646800000.0,375152540000.0
2048.0,367108030000.0,395284450000.0,342231450000.0,383013780000.0,375263800000.0,362613300000.0
2049.0,357178970000.0,388567900000.0,336955440000.0,383475800000.0,355597220000.0,352732050000.0
2050.0,352689600000.0,382690230000.0,330778280000.0,377660240000.0,340236860000.0,343053000000.0
2051.0,345543050000.0,368814030000.0,325246520000.0,382577100000.0,332939560000.0,336346150000.0
2052.0,333839560000.0,359627160000.0,322575800000.0,390528170000.0,319410300000.0,329154230000.0
2053.0,324973950000.0,357734400000.0,315823500000.0,402711380000.0,304621880000.0,317375250000.0
2054.0,318430250000.0,352858730000.0,313392860000.0,390659500000.0,293973130000.0,308897450000.0
2055.0,308424180000.0,351282200000.0,309542520000.0,380329300000.0,285619160000.0,301248300000.0
2056.0,306167580000.0,352807940000.0,306187930000.0,360489880000.0,284690200000.0,296895940000.0
2057.0,303118900000.0,347571400000.0,303977630000.0,355282300000.0,279722030000.0,290834250000.0
2058.0,298690180000.0,345051600000.0,298142200000.0,356173600000.0,272166960000.0,283992200000.0
2059.0,295492600000.0,342764750000.0,296068200000.0,350277630000.0,266071050000.0,277530870000.0
2060.0,292176040000.0,336293900000.0,291077460000.0,345032980000.0,259318190000.0,274702250000.0
2061.0,287056170000.0,327569150000.0,288948550000.0,361163520000.0,249207370000.0,269221610000.0
2062.0,283825800000.0,326967620000.0,288893860000.0,344103000000.0,240604730000.0,267901910000.0
2063.0,281295950000.0,327436500000.0,288822600000.0,334316040000.0,237806100000.0,265219570000.0
2064.0,275997980000.0,320412750000.0,282130800000.0,327653920000.0,230332150000.0,262512950000.0
2065.0,271013870000.0,318954570000.0,279459700000.0,313114530000.0,223951440000.0,260169940000.0
2066.0,268984470000.0,314157200000.0,279714100000.0,314040700000.0,218429640000.0,255412080000.0
2067.0,269758790000.0,311495850000.0,275508200000.0,300874700000.0,211493470000.0,253240890000.0
2068.0,266955300000.0,312211440000.0,270034190000.0,286721180000.0,208914420000.0,250497300000.0
2069.0,266529000000.0,317716730000.0,270368230000.0,272792400000.0,209903290000.0,246083700000.0
2070.0,261651580000.0,321464570000.0,263307050000.0,270396700000.0,208142750000.0,242233080000.0
2071.0,256316390000.0,315056880000.0,261369300000.0,264087730000.0,210561810000.0,237301650000.0
2072.0,252696220000.0,313745470000.0,261021970000.0,253514220000.0,207464820000.0,232757230000.0
2073.0,252799730000.0,310428370000.0,254287860000.0,254284810000.0,202619600000.0,231787940000.0
2074.0,251419150000.0,309676440000.0,251703930000.0,251273970000.0,200771140000.0,230631720000.0
2075.0,247798300000.0,304769860000.0,251393400000.0,244241370000.0,202578430000.0,228402870000.0
2076.0,242796040000.0,297910760000.0,251621130000.0,231493580000.0,197233980000.0,226845030000.0
2077.0,235773720000.0,296960800000.0,249154850000.0,231854100000.0,192324390000.0,223371740000.0
