time,MRI-ESM2-0,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2
2000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0
2021.0,71633440000.0,72885510000.0,72651780000.0,72454090000.0,68903140000.0,72320720000.0
2022.0,71562630000.0,71507214000.0,69410160000.0,69550050000.0,63419847000.0,70142280000.0
2023.0,72429240000.0,71092700000.0,63393430000.0,68643360000.0,62817395000.0,66033603000.0
2024.0,71267400000.0,68342395000.0,61648364000.0,67170000000.0,61853530000.0,63039615000.0
2025.0,67263220000.0,65883673000.0,58607833000.0,64078856000.0,60184023000.0,56209480000.0
2026.0,64546734000.0,64982950000.0,54159020000.0,61812417000.0,58080730000.0,51354698000.0
2027.0,61078480000.0,64346046000.0,53774586000.0,61424680000.0,56486060000.0,50546410000.0
2028.0,60893585000.0,61935014000.0,53288993000.0,61127510000.0,55105323000.0,48329286000.0
2029.0,57433956000.0,60064772000.0,51011174000.0,59355898000.0,53435540000.0,45298240000.0
2030.0,53818757000.0,57675514000.0,49048680000.0,57683685000.0,52736803000.0,42508337000.0
2031.0,52526744000.0,55157715000.0,45929984000.0,55552848000.0,50188083000.0,40478180000.0
2032.0,50487970000.0,52014630000.0,47167894000.0,53205164000.0,47502574000.0,38887936000.0
2033.0,48762220000.0,48690553000.0,47036924000.0,51476990000.0,44905415000.0,38246450000.0
2034.0,46742147000.0,46379010000.0,45488865000.0,47283210000.0,42939433000.0,36847555000.0
2035.0,43194380000.0,43340665000.0,41970300000.0,45424380000.0,41689395000.0,36527264000.0
2036.0,43442150000.0,40739574000.0,40263530000.0,43715870000.0,39098225000.0,35046230000.0
2037.0,42193998000.0,39990270000.0,36739944000.0,42969480000.0,37419057000.0,34020217000.0
2038.0,40982560000.0,39163924000.0,35853165000.0,40197825000.0,35757780000.0,32453954000.0
2039.0,40406155000.0,37741100000.0,33776564000.0,37157780000.0,33457912000.0,31163599000.0
2040.0,38539866000.0,36376670000.0,31759618000.0,35973870000.0,30459486000.0,30702470000.0
2041.0,36548375000.0,34963874000.0,30290970000.0,36012990000.0,30437767000.0,29787857000.0
