time,CANESM5,CESM2-WACCM,MRI-ESM2-0,ACCESS-CM2,IPSL-CM6A-LR,ACCESS-ESM1-5
2000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0
2021.0,70661900000.0,69212290000.0,72955036000.0,69275615000.0,73112584000.0,72918295000.0
2022.0,68535410000.0,63158936000.0,70419550000.0,64536994000.0,69587540000.0,71809114000.0
2023.0,66576140000.0,60352573000.0,69340620000.0,64358638000.0,67856610000.0,71722940000.0
2024.0,61377720000.0,58489414000.0,68450050000.0,61045760000.0,67147600000.0,71199030000.0
2025.0,59100590000.0,56267035000.0,65997128000.0,60043190000.0,66638496000.0,68612014000.0
2026.0,57987637000.0,50139214000.0,62976130000.0,57323440000.0,64550830000.0,66053210000.0
2027.0,54316716000.0,46998110000.0,61033040000.0,55270175000.0,63698543000.0,61719610000.0
2028.0,52827630000.0,44729640000.0,58268283000.0,51457024000.0,62364787000.0,59003613000.0
2029.0,51058560000.0,41418703000.0,55187493000.0,48379494000.0,58535920000.0,56625017000.0
2030.0,49555534000.0,40335490000.0,53194056000.0,47703410000.0,54387950000.0,50305937000.0
2031.0,48698765000.0,39033844000.0,50498773000.0,45256340000.0,49745410000.0,43421360000.0
2032.0,45585960000.0,37299880000.0,47948247000.0,42031247000.0,47929033000.0,39442076000.0
2033.0,42900630000.0,35997102000.0,43515080000.0,41630368000.0,47416267000.0,37621090000.0
2034.0,38233680000.0,35656282000.0,41980390000.0,40025022000.0,46817710000.0,35919725000.0
2035.0,36423700000.0,34122588000.0,41033527000.0,38453535000.0,44914065000.0,34316870000.0
2036.0,35590140000.0,32443523000.0,38955725000.0,37020213000.0,44626256000.0,33291354000.0
2037.0,33002020000.0,30190012000.0,36519293000.0,35437666000.0,43156287000.0,32191523000.0
2038.0,31311358000.0,27464910000.0,34248829000.0,32630540000.0,41960730000.0,30929304000.0
2039.0,30722281000.0,27298437000.0,32429844000.0,31822295000.0,39325463000.0,28440652000.0
2040.0,28613577000.0,26370343000.0,30825603000.0,31513098000.0,37268920000.0,25019703000.0
2041.0,27067992000.0,25594595000.0,28863990000.0,29514525000.0,36421652000.0,23066204000.0
