time,ACCESS-ESM1-5,MRI-ESM2-0,CANESM5,CESM2-WACCM,ACCESS-CM2,IPSL-CM6A-LR
2000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0
2001.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0
2002.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0
2003.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0
2004.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0
2005.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0
2006.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0
2007.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0
2008.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0
2009.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0
2010.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0
2011.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0
2012.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0
2013.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0
2014.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0
2015.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0
2016.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0
2017.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0
2018.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0
2019.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0
2020.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0
2021.0,4652371300000.0,4669606000000.0,4675770000000.0,4641143700000.0,4631247000000.0,4650891000000.0
2022.0,4625419000000.0,4644814000000.0,4634149700000.0,4591608400000.0,4584066000000.0,4616815600000.0
2023.0,4610727600000.0,4626656000000.0,4607877600000.0,4547994000000.0,4564149300000.0,4594167000000.0
2024.0,4582087000000.0,4621694000000.0,4565495000000.0,4507635300000.0,4537048400000.0,4587218500000.0
2025.0,4548115000000.0,4596704500000.0,4537060400000.0,4460409000000.0,4508268000000.0,4556443400000.0
2026.0,4503497600000.0,4578640000000.0,4518835000000.0,4407052700000.0,4477051000000.0,4507054000000.0
2027.0,4463460000000.0,4562975500000.0,4473286000000.0,4389395500000.0,4455328600000.0,4478517000000.0
2028.0,4452636400000.0,4515688300000.0,4421186500000.0,4367190000000.0,4401188000000.0,4456005000000.0
2029.0,4433617000000.0,4496251400000.0,4395983700000.0,4329771000000.0,4349662600000.0,4419677000000.0
2030.0,4390197700000.0,4467134600000.0,4386485700000.0,4305525000000.0,4319305500000.0,4360078600000.0
2031.0,4352708700000.0,4436195300000.0,4357017800000.0,4285870000000.0,4286143300000.0,4325348000000.0
2032.0,4307073400000.0,4417743000000.0,4309737500000.0,4249132000000.0,4230043400000.0,4280968800000.0
2033.0,4271690700000.0,4410419700000.0,4281259800000.0,4220527300000.0,4179482000000.0,4241321400000.0
2034.0,4255796700000.0,4390559400000.0,4259585500000.0,4179916500000.0,4122654500000.0,4221439000000.0
2035.0,4228262700000.0,4373826200000.0,4228590600000.0,4156492000000.0,4089298600000.0,4188781400000.0
2036.0,4205282600000.0,4358317000000.0,4199817700000.0,4113082600000.0,4052226400000.0,4156264000000.0
2037.0,4194688300000.0,4336093000000.0,4172009400000.0,4074866500000.0,4031770500000.0,4136234000000.0
2038.0,4168641700000.0,4306239800000.0,4132076500000.0,4021912600000.0,3998121000000.0,4099598500000.0
2039.0,4163416600000.0,4271346300000.0,4091840600000.0,3995814300000.0,3961585100000.0,4073255900000.0
2040.0,4120914700000.0,4240710000000.0,4061464400000.0,3961473000000.0,3912939300000.0,4053292000000.0
2041.0,4088813600000.0,4208980400000.0,4022658000000.0,3934432300000.0,3890443200000.0,4032453400000.0
2042.0,4059561500000.0,4142324500000.0,3996671000000.0,3889623000000.0,3855497600000.0,3991945600000.0
2043.0,4021813000000.0,4095294300000.0,3954536000000.0,3842396400000.0,3818785900000.0,3948584400000.0
2044.0,3983902500000.0,4050597700000.0,3911465300000.0,3811136200000.0,3789839100000.0,3911123000000.0
2045.0,3957162200000.0,4021499700000.0,3842439000000.0,3772867400000.0,3734909500000.0,3848376200000.0
2046.0,3925884800000.0,3980080400000.0,3782745000000.0,3734027600000.0,3695013300000.0,3808722400000.0
2047.0,3885013700000.0,3953598000000.0,3735958000000.0,3705849500000.0,3658377000000.0,3778496200000.0
2048.0,3868083600000.0,3917185500000.0,3687242800000.0,3671805400000.0,3646822500000.0,3746114800000.0
2049.0,3856849400000.0,3875594000000.0,3649012500000.0,3627390000000.0,3626023000000.0,3711883300000.0
2050.0,3841746300000.0,3828383000000.0,3608450400000.0,3569484300000.0,3610568000000.0,3690781700000.0
2051.0,3824837200000.0,3787304200000.0,3569491400000.0,3555717800000.0,3567744200000.0,3670486000000.0
2052.0,3813560500000.0,3774655500000.0,3538928000000.0,3536766600000.0,3542663800000.0,3634271000000.0
2053.0,3788856400000.0,3757626000000.0,3492003700000.0,3500392300000.0,3497702200000.0,3588447300000.0
2054.0,3744807500000.0,3715223800000.0,3463661500000.0,3474146500000.0,3448097000000.0,3548648000000.0
2055.0,3706288300000.0,3695043000000.0,3415671600000.0,3418667000000.0,3404394400000.0,3518337000000.0
2056.0,3656821500000.0,3668676700000.0,3351366000000.0,3387208800000.0,3358124100000.0,3486917600000.0
2057.0,3641763700000.0,3636971000000.0,3296005700000.0,3339248000000.0,3317659300000.0,3455962600000.0
2058.0,3619219000000.0,3611547100000.0,3242589400000.0,3292921600000.0,3289667900000.0,3404839300000.0
2059.0,3574275500000.0,3585337500000.0,3217662000000.0,3273021500000.0,3236754400000.0,3378655500000.0
2060.0,3527814000000.0,3555198800000.0,3175335600000.0,3244351000000.0,3193987000000.0,3347990400000.0
2061.0,3506347700000.0,3524085400000.0,3133905600000.0,3191871000000.0,3154408000000.0,3295590500000.0
2062.0,3456175200000.0,3509876400000.0,3093489000000.0,3140910600000.0,3096656200000.0,3273127000000.0
2063.0,3425065000000.0,3484244000000.0,3043263300000.0,3092584000000.0,3047213500000.0,3231183800000.0
2064.0,3387276400000.0,3458056600000.0,3008004400000.0,3032677600000.0,3004384100000.0,3198595400000.0
2065.0,3347282400000.0,3427371300000.0,2966770700000.0,2993197200000.0,2942605500000.0,3158581000000.0
2066.0,3306893600000.0,3367064000000.0,2934701300000.0,2918772400000.0,2896263000000.0,3127214900000.0
2067.0,3266194000000.0,3325939700000.0,2882321500000.0,2871357600000.0,2846267000000.0,3082266000000.0
