time,ACCESS-ESM1-5,CANESM5,ACCESS-CM2,CESM2-WACCM,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,55010968000.0,54982423000.0,53408002000.0,54109802000.0,55739190000.0,53924733000.0
2022.0,56353133000.0,52736730000.0,53671244000.0,52212707000.0,56473612000.0,52174852000.0
2023.0,55009563000.0,50020434000.0,53546240000.0,53308150000.0,56210067000.0,51430105000.0
2024.0,52125057000.0,49265332000.0,52288283000.0,51715660000.0,56414233000.0,50499318000.0
2025.0,49518674000.0,49302454000.0,51572666000.0,51528335000.0,56785760000.0,51221512000.0
2026.0,47670284000.0,48187550000.0,50134045000.0,51461894000.0,56227110000.0,51331367000.0
2027.0,45037388000.0,47075963000.0,47852740000.0,50273202000.0,55582798000.0,49552140000.0
2028.0,44448220000.0,46154210000.0,46743392000.0,48945320000.0,53585908000.0,47818040000.0
2029.0,43875095000.0,44308890000.0,46140203000.0,47363838000.0,52562560000.0,47053324000.0
2030.0,43044330000.0,42452197000.0,45411897000.0,46157520000.0,51976030000.0,45331685000.0
2031.0,41900270000.0,41683415000.0,44858065000.0,46698440000.0,51491700000.0,44780143000.0
2032.0,42366276000.0,40596337000.0,44057137000.0,45090537000.0,50866446000.0,44284633000.0
2033.0,43551460000.0,39965454000.0,43445756000.0,43405386000.0,51265730000.0,44578705000.0
2034.0,43773645000.0,38942212000.0,42913686000.0,42653100000.0,51512648000.0,44731486000.0
2035.0,43811930000.0,38245245000.0,41479406000.0,42892157000.0,52653076000.0,44302705000.0
2036.0,44489085000.0,36557136000.0,38969364000.0,42284730000.0,52431385000.0,43214610000.0
2037.0,43780670000.0,34759324000.0,37300355000.0,41203773000.0,53490320000.0,41748275000.0
2038.0,44623884000.0,34249630000.0,36254106000.0,39928635000.0,54208012000.0,41317870000.0
2039.0,44168483000.0,34287567000.0,34256134000.0,39978148000.0,53403275000.0,40670630000.0
2040.0,44389780000.0,34783350000.0,33138950000.0,39092208000.0,53906950000.0,41135970000.0
2041.0,44261460000.0,34189801000.0,31995374000.0,39030866000.0,53022294000.0,39921960000.0
2042.0,44119224000.0,33953735000.0,31398803000.0,40688470000.0,52777350000.0,38740574000.0
2043.0,44029796000.0,33706877000.0,30144760000.0,39714886000.0,52407157000.0,38868770000.0
2044.0,44305973000.0,34489176000.0,29796640000.0,39999780000.0,52800754000.0,38062182000.0
2045.0,45466935000.0,33747118000.0,29477427000.0,39792013000.0,53841690000.0,38003802000.0
2046.0,45116640000.0,33647640000.0,29438972000.0,38627990000.0,54560800000.0,37504508000.0
2047.0,44471747000.0,32611140000.0,29134137000.0,39157047000.0,53560730000.0,38247498000.0
2048.0,44213297000.0,31812422000.0,29627083000.0,38567936000.0,52936466000.0,37787360000.0
2049.0,43429106000.0,30951969000.0,29258072000.0,38384734000.0,52292612000.0,36548194000.0
2050.0,43747880000.0,30856944000.0,28620972000.0,37573860000.0,51806760000.0,36255110000.0
2051.0,43978854000.0,30336238000.0,28601606000.0,37953413000.0,50036494000.0,35836480000.0
2052.0,44243620000.0,29726106000.0,28475206000.0,37967303000.0,50360300000.0,36192715000.0
2053.0,43227427000.0,29579717000.0,28877849000.0,37468560000.0,50795577000.0,35386647000.0
2054.0,42654040000.0,29778584000.0,28848226000.0,37756510000.0,51240320000.0,34765830000.0
2055.0,42610483000.0,29096786000.0,28332356000.0,37657952000.0,50561880000.0,33498300000.0
2056.0,42940930000.0,28675949000.0,28651778000.0,37719503000.0,51383177000.0,32760404000.0
