time,ACCESS-CM2,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-ESM1-5
2000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0
2001.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0
2002.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0
2003.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0
2004.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0
2005.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0
2006.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0
2007.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0
2008.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0
2009.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0
2010.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0
2011.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0
2012.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0
2013.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0
2014.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0
2015.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0
2016.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0
2017.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0
2018.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0
2019.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0
2020.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0
2021.0,44495274000000.0,44604716000000.0,44658843000000.0,44629227000000.0,44571850000000.0,44616317000000.0
2022.0,44391343000000.0,44597217000000.0,44630964000000.0,44549290000000.0,44513740000000.0,44416635000000.0
2023.0,44333303000000.0,44538358000000.0,44588340000000.0,44425107000000.0,44390810000000.0,44320700000000.0
2024.0,44220040000000.0,44442417000000.0,44502736000000.0,44285487000000.0,44243930000000.0,44260225000000.0
2025.0,44119890000000.0,44382024000000.0,44427930000000.0,44141988000000.0,44029534000000.0,44211596000000.0
2026.0,44145460000000.0,44189643000000.0,44266873000000.0,43979844000000.0,43975017000000.0,44167050000000.0
2027.0,44100603000000.0,44100870000000.0,44117233000000.0,43888340000000.0,43860610000000.0,44185570000000.0
2028.0,43913030000000.0,44008424000000.0,43941018000000.0,43643654000000.0,43807680000000.0,44038275000000.0
2029.0,43811830000000.0,43965400000000.0,43916680000000.0,43523160000000.0,43709974000000.0,43949503000000.0
2030.0,43775645000000.0,43842795000000.0,43923220000000.0,43484417000000.0,43626944000000.0,43916030000000.0
2031.0,43608120000000.0,43809260000000.0,43882243000000.0,43275450000000.0,43442800000000.0,43892246000000.0
2032.0,43512863000000.0,43764115000000.0,43768850000000.0,43079977000000.0,43305850000000.0,43824915000000.0
2033.0,43439480000000.0,43570810000000.0,43660060000000.0,42981755000000.0,43156510000000.0,43639920000000.0
2034.0,43329940000000.0,43401215000000.0,43571310000000.0,42762066000000.0,43041770000000.0,43535605000000.0
2035.0,43244558000000.0,43254900000000.0,43461780000000.0,42696127000000.0,42849098000000.0,43368740000000.0
2036.0,43078623000000.0,43193094000000.0,43219006000000.0,42586860000000.0,42683234000000.0,43219065000000.0
2037.0,43037090000000.0,42984255000000.0,42963837000000.0,42519128000000.0,42616950000000.0,43055697000000.0
2038.0,42957806000000.0,42906484000000.0,42876060000000.0,42398294000000.0,42491870000000.0,42864822000000.0
2039.0,42767140000000.0,42815670000000.0,42639034000000.0,42204567000000.0,42492670000000.0,42782308000000.0
2040.0,42615236000000.0,42706000000000.0,42506926000000.0,42074690000000.0,42439784000000.0,42750900000000.0
2041.0,42489250000000.0,42575010000000.0,42324013000000.0,41943400000000.0,42237180000000.0,42618424000000.0
2042.0,42420180000000.0,42460516000000.0,42198226000000.0,41814130000000.0,42114330000000.0,42585716000000.0
2043.0,42272570000000.0,42315125000000.0,41922990000000.0,41629054000000.0,42043628000000.0,42524930000000.0
