time,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0
2001.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0
2002.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0
2003.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0
2004.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0
2005.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0
2006.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0
2007.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0
2008.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0
2009.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0
2010.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0
2011.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0
2012.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0
2013.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0
2014.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0
2015.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0
2016.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0
2017.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0
2018.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0
2019.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0
2020.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0
2021.0,149273921927000.0,149150291057000.0,149200543066000.0,149223326891000.0,149135996427000.0,149237320981000.0
2022.0,148847556364000.0,148500810848000.0,148543727761000.0,148481893721000.0,148544635230000.0,148868626728000.0
2023.0,148240518990000.0,148059600221000.0,147938409899000.0,147923686588000.0,147907555302000.0,148120174814000.0
2024.0,147794055079000.0,147370461124000.0,147417122196000.0,147511480725000.0,147194521624000.0,147498173125000.0
2025.0,147205485258000.0,146764926755000.0,146749092897000.0,146884893000000.0,146354419581000.0,146922293034000.0
2026.0,146691835834000.0,146388692902000.0,146072540270000.0,146078335470000.0,145786985134000.0,146338711393000.0
2027.0,146142387801000.0,145753067065000.0,145390219169000.0,145638668540000.0,145184466386000.0,145793103131000.0
2028.0,145638961804000.0,145106854628000.0,144771686070000.0,145037333782000.0,144372720660000.0,145099900007000.0
2029.0,145192435260000.0,144320030034000.0,144181603429000.0,144472963152000.0,143473972814000.0,144558444343000.0
2030.0,144618920800000.0,143624441579000.0,143735534598000.0,143790641849000.0,142894059450000.0,144061464146000.0
2031.0,143983864532000.0,142956768613000.0,143294175322000.0,142951787820000.0,142016096933000.0,143261834196000.0
2032.0,143343002889000.0,142230118295000.0,142773075119000.0,142160883538000.0,141088200149000.0,142554055057000.0
2033.0,142799132813000.0,141618187218000.0,142111761881000.0,141454058537000.0,140255148372000.0,141905367402000.0
