time,CESM2-WACCM,ACCESS-ESM1-5,ACCESS-CM2,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR
2000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0
2001.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0
2002.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0
2003.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0
2004.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0
2005.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0
2006.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0
2007.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0
2008.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0
2009.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0
2010.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0
2011.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0
2012.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0
2013.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0
2014.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0
2015.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0
2016.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0
2017.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0
2018.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0
2019.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0
2020.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0
2021.0,149181210822000.0,149189393407000.0,149140189732000.0,149006594582000.0,149142914341000.0,149252109360000.0
2022.0,148749539247000.0,148527909483000.0,148648323208000.0,148568711378000.0,148702946045000.0,148740723140000.0
2023.0,148424095066000.0,148013443982000.0,148126950378000.0,147999031437000.0,148167065171000.0,148250804305000.0
2024.0,147844102820000.0,147598357187000.0,147672157338000.0,147523734871000.0,147635111821000.0,147750203063000.0
2025.0,147266278368000.0,147093837031000.0,147206902690000.0,146678517340000.0,146897180348000.0,147025040160000.0
2026.0,146457173601000.0,146523671597000.0,146728503491000.0,146111956894000.0,146009411186000.0,146356605644000.0
2027.0,145782482130000.0,145982306668000.0,146214143270000.0,145371117541000.0,145162861774000.0,145899231484000.0
2028.0,145115031881000.0,145155838120000.0,145491769158000.0,144776818436000.0,144453119146000.0,145257305558000.0
2029.0,144647482475000.0,144481872831000.0,144911183108000.0,144097129327000.0,143821488425000.0,144693239189000.0
2030.0,144176952524000.0,144008927879000.0,144277720904000.0,143536327121000.0,143082458381000.0,144247920594000.0
2031.0,143727429169000.0,143563285918000.0,143501322282000.0,142755014103000.0,142248031413000.0,143619650401000.0
2032.0,143028430547000.0,142940831200000.0,142838823128000.0,142034750433000.0,141522412200000.0,142987240697000.0
2033.0,142402200670000.0,142334268572000.0,142335897703000.0,141456815107000.0,140412315421000.0,142347405325000.0
