time,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18009448000000.0,18231404000000.0,18144144000000.0,18063949000000.0,18189874000000.0
2022.0,17945994000000.0,18310209000000.0,18004608000000.0,17968031000000.0,18121943000000.0
2023.0,17906918000000.0,18309926000000.0,17868842000000.0,17872185000000.0,18027390000000.0
2024.0,17870535000000.0,18313193000000.0,17745471000000.0,17826077000000.0,17909038000000.0
2025.0,17819211000000.0,18215407000000.0,17507386000000.0,17764253000000.0,17752643000000.0
2026.0,17640697000000.0,18135766000000.0,17417173000000.0,17639468000000.0,17596180000000.0
2027.0,17404740000000.0,18027345000000.0,17186763000000.0,17553052000000.0,17423062000000.0
2028.0,17277880000000.0,17934194000000.0,17019488000000.0,17464930000000.0,17237108000000.0
2029.0,17239489000000.0,17907726000000.0,16892445000000.0,17374877000000.0,17121486000000.0
2030.0,17066835000000.0,17881698000000.0,16752738000000.0,17209266000000.0,17014146000000.0
2031.0,17006656000000.0,17774548000000.0,16600546000000.0,17155877000000.0,16881390000000.0
2032.0,17106437000000.0,17659542000000.0,16345744000000.0,17049506000000.0,16710814000000.0
2033.0,16985454000000.0,17565912000000.0,16144148000000.0,16953945000000.0,16679368000000.0
2034.0,16907613000000.0,17441024000000.0,16062896000000.0,16932615000000.0,16526553000000.0
2035.0,16914931000000.0,17468518000000.0,15968429000000.0,16923639000000.0,16423003000000.0
2036.0,16782853000000.0,17418449000000.0,15696426000000.0,16805890000000.0,16337334000000.0
2037.0,16668011000000.0,17369354000000.0,15497676000000.0,16739000000000.0,16169824000000.0
2038.0,16554935000000.0,17314527000000.0,15343204000000.0,16604563000000.0,16040758000000.0
2039.0,16333981000000.0,17290238000000.0,15113951000000.0,16527632000000.0,15985845000000.0
2040.0,16220641000000.0,17242783000000.0,14950139000000.0,16368650000000.0,15848276000000.0
2041.0,16031401000000.0,17122164000000.0,14763195000000.0,16267276000000.0,15649713000000.0
2042.0,15879266000000.0,17118169000000.0,14512180000000.0,16158594000000.0,15460382000000.0
2043.0,15827152000000.0,16960172000000.0,14303520000000.0,16043572000000.0,15322386000000.0
2044.0,15701688000000.0,16894686000000.0,14080469000000.0,15947479000000.0,15313217000000.0
2045.0,15563187000000.0,16840244000000.0,13760080000000.0,15883311000000.0,15182407000000.0
2046.0,15389477000000.0,16788688000000.0,13522348000000.0,15677655000000.0,15121899000000.0
2047.0,15096839000000.0,16643938000000.0,13292016000000.0,15630576000000.0,14936804000000.0
2048.0,14980633000000.0,16594366000000.0,13043070000000.0,15529578000000.0,14801027000000.0
2049.0,14768494000000.0,16508498000000.0,12773844000000.0,15471390000000.0,14761941000000.0
2050.0,14491739000000.0,16370119000000.0,12528122000000.0,15450613000000.0,14636237000000.0
2051.0,14294541000000.0,16275940000000.0,12271398000000.0,15385106000000.0,14439705000000.0
2052.0,14100888000000.0,16196143000000.0,12053567000000.0,15321299000000.0,14203677000000.0
2053.0,13883061000000.0,16087497000000.0,11766475000000.0,15220422000000.0,13999177000000.0
2054.0,13760476000000.0,16063171000000.0,11512592000000.0,15021119000000.0,13848137000000.0
2055.0,13598708000000.0,15938698000000.0,11284859000000.0,14927112000000.0,13705400000000.0
2056.0,13370354000000.0,15742424000000.0,11104268000000.0,14818256000000.0,13642784000000.0
2057.0,13264927000000.0,15682991000000.0,10875049000000.0,14764590000000.0,13489050000000.0
2058.0,13109643000000.0,15503880000000.0,10605068000000.0,14678876000000.0,13273328000000.0
2059.0,12964335000000.0,15319930000000.0,10271518000000.0,14559031000000.0,13062224000000.0
2060.0,12842554000000.0,15213433000000.0,10025234000000.0,14526529000000.0,13006892000000.0
2061.0,12583292000000.0,15092066000000.0,9812788000000.0,14421650000000.0,12902762000000.0
2062.0,12476480000000.0,14988214000000.0,9603076000000.0,14361636000000.0,12789802000000.0
2063.0,12267955000000.0,14939437000000.0,9375783000000.0,14245562000000.0,12632279000000.0
2064.0,12116189000000.0,14913986000000.0,9184416000000.0,14173510000000.0,12627908000000.0
2065.0,11879851000000.0,14839831000000.0,8937789000000.0,14118810000000.0,12496683000000.0
2066.0,11627803000000.0,14718264000000.0,8632898000000.0,13983055000000.0,12404671000000.0
2067.0,11494629000000.0,14596146000000.0,8407235000000.0,13874451000000.0,12212992000000.0
2068.0,11384772000000.0,14507395000000.0,8133228000000.0,13846053000000.0,12091826000000.0
2069.0,11196271000000.0,14410846000000.0,7935019000000.0,13734601000000.0,12065592000000.0
2070.0,11100504000000.0,14336435000000.0,7760213700000.0,13645628000000.0,11969922000000.0
2071.0,10908820000000.0,14218093000000.0,7534297000000.0,13517980000000.0,11824749000000.0
2072.0,10729054000000.0,14113879000000.0,7266040300000.0,13407866000000.0,11606579000000.0
2073.0,10566656000000.0,14037106000000.0,7084336000000.0,13205625000000.0,11489455000000.0
2074.0,10386753000000.0,13995999000000.0,6887509000000.0,13008233000000.0,11404511000000.0
2075.0,10237314000000.0,13925650000000.0,6723287400000.0,12882849000000.0,11222572000000.0
2076.0,10010004000000.0,13782194000000.0,6500498500000.0,12819754000000.0,11120021000000.0
2077.0,9809046000000.0,13734079000000.0,6316699000000.0,12727156000000.0,10998096000000.0
2078.0,9640211000000.0,13644091000000.0,6117208400000.0,12641325000000.0,10819019000000.0
2079.0,9512951000000.0,13495953000000.0,5930712300000.0,12545965000000.0,10664264000000.0
2080.0,9322163000000.0,13341865000000.0,5736780300000.0,12474999000000.0,10543666000000.0
2081.0,9135219000000.0,13270022000000.0,5547836000000.0,12343628000000.0,10401244000000.0
2082.0,8987901000000.0,13174648000000.0,5378584600000.0,12213292000000.0,10209336000000.0
2083.0,8833680000000.0,13084024000000.0,5211911400000.0,12104806000000.0,10049955000000.0
2084.0,8700652700000.0,13037524000000.0,5075033400000.0,11951690000000.0,9950664000000.0
2085.0,8562968000000.0,12961010000000.0,4888008000000.0,11812675000000.0,9849591000000.0
2086.0,8351534000000.0,12940253000000.0,4758616700000.0,11658787000000.0,9692357000000.0
