time,GFDL-ESM4,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18120125000000.0,18088928000000.0,18151843000000.0,18115551000000.0,18125538000000.0
2022.0,18118783000000.0,17997782000000.0,18098860000000.0,17953475000000.0,18077205000000.0
2023.0,18011950000000.0,17830416000000.0,18007537000000.0,17857970000000.0,17901280000000.0
2024.0,17898876000000.0,17756928000000.0,17884881000000.0,17758100000000.0,17774530000000.0
2025.0,17818087000000.0,17552564000000.0,17789752000000.0,17571710000000.0,17628242000000.0
2026.0,17755090000000.0,17482855000000.0,17827833000000.0,17481469000000.0,17540540000000.0
2027.0,17599740000000.0,17287083000000.0,17688248000000.0,17418701000000.0,17444940000000.0
2028.0,17485962000000.0,16943405000000.0,17662860000000.0,17286347000000.0,17397826000000.0
2029.0,17380859000000.0,16697839000000.0,17614366000000.0,17132317000000.0,17235865000000.0
2030.0,17213423000000.0,16585538000000.0,17582014000000.0,16936007000000.0,17208835000000.0
2031.0,17069730000000.0,16367503000000.0,17493735000000.0,16679358000000.0,16932811000000.0
2032.0,16968008000000.0,16175222000000.0,17432967000000.0,16579767000000.0,16773746000000.0
2033.0,16872429000000.0,15893161000000.0,17332542000000.0,16524338000000.0,16626659000000.0
2034.0,16783930000000.0,15636833000000.0,17220491000000.0,16438181000000.0,16555644000000.0
2035.0,16735836000000.0,15364192000000.0,17010654000000.0,16402392000000.0,16522813000000.0
2036.0,16687239000000.0,15210253000000.0,16879970000000.0,16356765000000.0,16428153000000.0
2037.0,16635935000000.0,15086003000000.0,16838984000000.0,16229805000000.0,16307402000000.0
2038.0,16527053000000.0,14926434000000.0,16772319000000.0,16073296000000.0,16056088000000.0
2039.0,16439495000000.0,14696613000000.0,16655624000000.0,15960977000000.0,15868908000000.0
2040.0,16361157000000.0,14532080000000.0,16707184000000.0,15773803000000.0,15644779000000.0
2041.0,16320866000000.0,14335604000000.0,16718933000000.0,15650511000000.0,15546609000000.0
2042.0,16158663000000.0,14122191000000.0,16629323000000.0,15545776000000.0,15268530000000.0
2043.0,16062665000000.0,13943834000000.0,16450208000000.0,15447502000000.0,15138080000000.0
2044.0,15980129000000.0,13727341000000.0,16332483000000.0,15320873000000.0,14999270000000.0
2045.0,15811633000000.0,13505113000000.0,16246356000000.0,15141866000000.0,14829748000000.0
2046.0,15697114000000.0,13314534000000.0,16215797000000.0,14931494000000.0,14721269000000.0
2047.0,15589238000000.0,13046954000000.0,16085754000000.0,14690490000000.0,14570992000000.0
2048.0,15445173000000.0,12811420000000.0,15945746000000.0,14531226000000.0,14409213000000.0
2049.0,15356846000000.0,12480684000000.0,15883589000000.0,14303393000000.0,14209949000000.0
2050.0,15201250000000.0,12231607000000.0,15726231000000.0,14112201000000.0,14069285000000.0
2051.0,15059135000000.0,11957182000000.0,15642646000000.0,13950401000000.0,13877711000000.0
2052.0,15009734000000.0,11706697000000.0,15544458000000.0,13704859000000.0,13824889000000.0
2053.0,14942150000000.0,11388037000000.0,15436482000000.0,13517735000000.0,13720170000000.0
2054.0,14775403000000.0,11158444000000.0,15347902000000.0,13252432000000.0,13564845000000.0
2055.0,14676346000000.0,10958168000000.0,15317126000000.0,13053188000000.0,13400787000000.0
2056.0,14562568000000.0,10815585000000.0,15217507000000.0,12917261000000.0,13282394000000.0
2057.0,14456918000000.0,10596188000000.0,15098910000000.0,12664316000000.0,13191777000000.0
2058.0,14370511000000.0,10288523000000.0,15001755000000.0,12449995000000.0,12971246000000.0
2059.0,14212088000000.0,10002203000000.0,14873181000000.0,12252414000000.0,12794402000000.0
2060.0,14140096000000.0,9676190000000.0,14805506000000.0,12000683000000.0,12559614000000.0
2061.0,14028902000000.0,9452361000000.0,14674353000000.0,11843517000000.0,12392724000000.0
2062.0,13896021000000.0,9184725000000.0,14608684000000.0,11564806000000.0,12266155000000.0
2063.0,13841171000000.0,8931973000000.0,14531253000000.0,11364470000000.0,12104739000000.0
2064.0,13738124000000.0,8625766500000.0,14457892000000.0,11167480000000.0,11833776000000.0
2065.0,13605771000000.0,8392641000000.0,14382440000000.0,10972713000000.0,11744184000000.0
2066.0,13512359000000.0,8147077000000.0,14312346000000.0,10714791000000.0,11563517000000.0
2067.0,13398788000000.0,7937482300000.0,14185885000000.0,10482268000000.0,11479343000000.0
2068.0,13271177000000.0,7697305000000.0,14063218000000.0,10318269000000.0,11347797000000.0
2069.0,13152306000000.0,7448661000000.0,13976472000000.0,10148216000000.0,11271846000000.0
2070.0,13051322000000.0,7137036600000.0,13956124000000.0,9954274000000.0,11182109000000.0
2071.0,12925873000000.0,6831625700000.0,13853509000000.0,9781573000000.0,11028973000000.0
2072.0,12857576000000.0,6574091300000.0,13774687000000.0,9519293000000.0,10860610000000.0
2073.0,12785943000000.0,6252637700000.0,13705832000000.0,9332598000000.0,10696014000000.0
2074.0,12618796000000.0,5985558000000.0,13513912000000.0,9183885000000.0,10546197000000.0
2075.0,12517716000000.0,5797635000000.0,13403048000000.0,8968242000000.0,10415400000000.0
2076.0,12389209000000.0,5568643000000.0,13298462000000.0,8805588000000.0,10272944000000.0
2077.0,12292840000000.0,5349275300000.0,13255820000000.0,8627477300000.0,10072003000000.0
2078.0,12148370000000.0,5147655700000.0,13172033000000.0,8461263000000.0,9884584000000.0
2079.0,12014555000000.0,4957328600000.0,13078776000000.0,8291421000000.0,9679227000000.0
2080.0,11920219000000.0,4754416600000.0,12975776000000.0,8126340300000.0,9508113000000.0
2081.0,11828859000000.0,4562833400000.0,12898713000000.0,7917704000000.0,9316830000000.0
2082.0,11777926000000.0,4357328000000.0,12821569000000.0,7656888600000.0,9163829000000.0
2083.0,11626156000000.0,4188804700000.0,12718857000000.0,7497525000000.0,9010421000000.0
2084.0,11541260000000.0,4042100300000.0,12663032000000.0,7287632600000.0,8838138000000.0
2085.0,11421137000000.0,3884021400000.0,12597024000000.0,7082490000000.0,8667210000000.0
2086.0,11274776000000.0,3713233000000.0,12549875000000.0,6912077700000.0,8534768000000.0
