time,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,UKESM1-0-LL,MRI-ESM2-0
2000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0
2001.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0
2002.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0
2003.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0
2004.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0
2005.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0
2006.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0
2007.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0
2008.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0
2009.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0
2010.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0
2011.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0
2012.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0
2013.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0
2014.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0
2015.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0
2016.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0
2017.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0
2018.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0
2019.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0
2020.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0
2021.0,820440600000.0,838602650000.0,830865340000.0,830027100000.0,830003740000.0
2022.0,806182400000.0,811926200000.0,815930100000.0,784037640000.0,808061500000.0
2023.0,799599100000.0,809395000000.0,798394700000.0,739944240000.0,801515100000.0
2024.0,797541400000.0,790937340000.0,778975400000.0,723039900000.0,786415200000.0
2025.0,800583400000.0,781046100000.0,750279070000.0,705010140000.0,765031600000.0
2026.0,779113100000.0,768104140000.0,731810800000.0,675833250000.0,752844800000.0
2027.0,757708500000.0,751680160000.0,729158300000.0,647568160000.0,736672150000.0
2028.0,749213200000.0,742166700000.0,723157840000.0,602606000000.0,714379800000.0
2029.0,727964600000.0,716409900000.0,695616800000.0,561678650000.0,698656160000.0
2030.0,710863950000.0,692769200000.0,685774860000.0,537709250000.0,669565800000.0
2031.0,689841960000.0,691373700000.0,682450100000.0,515612440000.0,652702250000.0
2032.0,672135400000.0,696912450000.0,655698170000.0,501193180000.0,626642000000.0
2033.0,649153100000.0,679177400000.0,621053200000.0,471990760000.0,605191400000.0
2034.0,632802000000.0,667326350000.0,591590850000.0,449611500000.0,583797000000.0
2035.0,616534100000.0,665775700000.0,564915900000.0,428240600000.0,542409160000.0
2036.0,598882000000.0,638226140000.0,532643000000.0,402924540000.0,536997400000.0
2037.0,581012160000.0,621166600000.0,510284760000.0,370880050000.0,514216760000.0
2038.0,568051400000.0,621949940000.0,481601220000.0,348370900000.0,489897400000.0
2039.0,559252640000.0,607587300000.0,457098430000.0,331501500000.0,480752240000.0
2040.0,540126940000.0,587852700000.0,429124060000.0,320624000000.0,465437950000.0
2041.0,534766680000.0,573867200000.0,417434960000.0,307000900000.0,447347300000.0
2042.0,516512400000.0,561738100000.0,396661160000.0,293773930000.0,431484570000.0
2043.0,500738160000.0,563237100000.0,380492220000.0,271875030000.0,424243170000.0
2044.0,489338860000.0,545417130000.0,368775070000.0,259639530000.0,403671600000.0
2045.0,473315180000.0,531829300000.0,359837860000.0,241677710000.0,387837030000.0
2046.0,454095630000.0,517759340000.0,344794230000.0,226791490000.0,370735050000.0
2047.0,450850600000.0,506838060000.0,333476400000.0,213779550000.0,364737000000.0
2048.0,448290060000.0,496279130000.0,316990800000.0,200271040000.0,350737400000.0
2049.0,435493180000.0,495818000000.0,309196550000.0,190331320000.0,340824400000.0
2050.0,425220150000.0,486469000000.0,300670420000.0,183028830000.0,334163180000.0
2051.0,420109650000.0,481265320000.0,283177250000.0,173861260000.0,316139100000.0
2052.0,414373050000.0,481306900000.0,273698520000.0,161787360000.0,305521230000.0
2053.0,409654260000.0,468552000000.0,265304800000.0,155229440000.0,298653680000.0
2054.0,403763860000.0,448579140000.0,259447650000.0,143549810000.0,291465500000.0
2055.0,396547100000.0,441671300000.0,248998460000.0,130399510000.0,277864500000.0
2056.0,388153100000.0,433168300000.0,240950460000.0,115829470000.0,269267600000.0
2057.0,378034600000.0,436593850000.0,228983060000.0,106356064000.0,263637600000.0
2058.0,368809970000.0,429903970000.0,224887650000.0,101901476000.0,262999460000.0
2059.0,356192300000.0,427006920000.0,213504770000.0,95538630000.0,254130080000.0
2060.0,350279040000.0,411771340000.0,200206190000.0,86905850000.0,245965800000.0
2061.0,341094370000.0,410547160000.0,201111160000.0,76457910000.0,239112950000.0
2062.0,325905200000.0,411070070000.0,192178980000.0,70576210000.0,233000350000.0
2063.0,317237260000.0,398728270000.0,179588270000.0,65234285000.0,229022920000.0
2064.0,312802280000.0,398640970000.0,169511470000.0,59440520000.0,224415430000.0
2065.0,306313270000.0,394717760000.0,164945560000.0,56333394000.0,215683000000.0
2066.0,304860070000.0,382701570000.0,159149310000.0,52146663000.0,206651470000.0
2067.0,296594540000.0,370564100000.0,155079050000.0,48826278000.0,201675100000.0
2068.0,295697680000.0,363752880000.0,150582660000.0,41752910000.0,201474950000.0
2069.0,289656440000.0,351997000000.0,143210890000.0,38096430000.0,194795340000.0
2070.0,282682500000.0,346854300000.0,133248640000.0,35590066000.0,190059020000.0
2071.0,274122240000.0,334196800000.0,127675150000.0,31115442000.0,187918930000.0
2072.0,268778490000.0,335807580000.0,121327580000.0,28148724000.0,183989520000.0
2073.0,262769850000.0,334885320000.0,116287130000.0,26302796000.0,177297110000.0
2074.0,258787660000.0,329169760000.0,109273790000.0,25278781000.0,178203530000.0
2075.0,251391000000.0,327454560000.0,103901060000.0,22725054000.0,173573780000.0
2076.0,248256270000.0,321023700000.0,100300775000.0,20578867000.0,168528070000.0
2077.0,245789330000.0,313752450000.0,94238800000.0,19266680000.0,164205660000.0
