time,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,MPI-ESM1-2-HR,GFDL-ESM4
2000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0
2001.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0
2002.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0
2003.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0
2004.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0
2005.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0
2006.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0
2007.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0
2008.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0
2009.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0
2010.0,27145800000000.0,27145800000000.0,27145800000000.0,27145800000000.0,27145800000000.0
2011.0,27077634000000.0,27077634000000.0,27077634000000.0,27077634000000.0,27077634000000.0
2012.0,26995537000000.0,26995537000000.0,26995537000000.0,26995537000000.0,26995537000000.0
2013.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0
2014.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0
2015.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0
2016.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0
2017.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0
2018.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0
2019.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0
2020.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0
2021.0,26672355000000.0,26693767000000.0,26717475000000.0,26829407000000.0,26754052000000.0
2022.0,26603004000000.0,26680430000000.0,26689330000000.0,26794755000000.0,26699786000000.0
2023.0,26551133000000.0,26655532000000.0,26611976000000.0,26802947000000.0,26676398000000.0
2024.0,26588230000000.0,26688684000000.0,26588400000000.0,26825909000000.0,26696032000000.0
