time,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL,MRI-ESM2-0
2000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0
2001.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0
2002.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0
2003.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0
2004.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0
2005.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0
2006.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0
2007.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0
2008.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0
2009.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0
2010.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0
2011.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0
2012.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0
2013.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0
2014.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0
2015.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0
2016.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0
2017.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0
2018.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0
2019.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0
2020.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0
2021.0,8115251000000.0,8080784400000.0,8107434000000.0,8091957500000.0,8051959500000.0
2022.0,8073833300000.0,8053004400000.0,8039164000000.0,8041731000000.0,8011206600000.0
2023.0,8063198700000.0,7989730000000.0,8042382000000.0,8006758600000.0,7957090700000.0
2024.0,8043698000000.0,7957730000000.0,8012088000000.0,8005705300000.0,7930522000000.0
2025.0,8015757400000.0,7921645600000.0,7977373000000.0,7956943300000.0,7847154000000.0
2026.0,7968080300000.0,7877026600000.0,7932025000000.0,7907135500000.0,7774216400000.0
2027.0,7907747000000.0,7815707500000.0,7916438000000.0,7863586000000.0,7668556000000.0
2028.0,7880322000000.0,7779166000000.0,7874678400000.0,7842790600000.0,7601417400000.0
2029.0,7864084600000.0,7726448000000.0,7862978000000.0,7785010000000.0,7530466500000.0
2030.0,7860916000000.0,7681828500000.0,7830054000000.0,7715113000000.0,7461101000000.0
2031.0,7830005000000.0,7627123000000.0,7772406000000.0,7670335500000.0,7375603400000.0
2032.0,7813472000000.0,7600519000000.0,7758060000000.0,7622718000000.0,7322045000000.0
2033.0,7809632000000.0,7534474700000.0,7736715600000.0,7533682500000.0,7262981600000.0
2034.0,7759004700000.0,7489950000000.0,7700325000000.0,7428670000000.0,7199449000000.0
2035.0,7706861600000.0,7406474000000.0,7670466000000.0,7368168000000.0,7137626000000.0
2036.0,7663385000000.0,7345139000000.0,7636159000000.0,7294790700000.0,7132421300000.0
2037.0,7637290000000.0,7319820000000.0,7601197000000.0,7219633000000.0,7095180000000.0
2038.0,7609185700000.0,7287616000000.0,7545901500000.0,7169331000000.0,7042212000000.0
2039.0,7546414300000.0,7254574000000.0,7508864300000.0,7074315000000.0,6961158000000.0
2040.0,7508895000000.0,7195754000000.0,7444743300000.0,7025149300000.0,6881365000000.0
2041.0,7473290000000.0,7132484700000.0,7392597000000.0,6939996000000.0,6856696000000.0
2042.0,7393337000000.0,7102587000000.0,7376096700000.0,6890982000000.0,6835336000000.0
2043.0,7349358000000.0,7063364000000.0,7328584700000.0,6805596000000.0,6756907400000.0
